 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             15.0 |           21.2121 |       0.0 |        0.0 |   1.0 |   2.0 |
          24.0 |             15.0 |           21.1528 |    0.1185 |        0.0 |   1.0 |   3.0 |
          24.0 |             15.0 |          1431.035 |       0.0 |  4714294.0 |   2.0 |   4.0 |
          24.0 |             15.0 |          1764.493 |       0.0 |  4727500.0 |   3.0 |   4.0 |
          24.0 |             15.0 |           20.8629 |    0.1125 |        0.0 |   1.0 |   5.0 |
          24.0 |             15.0 |           702.963 |  0.003978 |  4784173.5 |   4.0 |   6.0 |
          24.0 |             15.0 |           20.2987 |       0.0 |        0.0 |   1.0 |   6.0 |
          24.0 |             15.0 |           750.587 |   0.00476 |  4793199.5 |   5.0 |   6.0 |
          24.0 |             15.0 |           502.693 |   0.02019 |  4727500.0 |   3.0 |   6.0 |
          24.0 |             15.0 |           471.399 |    0.2561 |  4714294.0 |   2.0 |   6.0 |
          24.0 |             15.0 |           20.1842 |       0.0 |        0.0 |   1.0 |   7.0 |
          24.0 |             15.0 |           620.471 | 0.0001332 |  4793199.5 |   5.0 |   7.0 |
          24.0 |             15.0 |           440.786 |    0.3161 |  4727500.0 |   3.0 |   7.0 |
          24.0 |             15.0 |           416.539 |     0.271 |  4714294.0 |   2.0 |   7.0 |
          24.0 |             15.0 |           405.035 |    0.8669 |  4714294.0 |   2.0 |   8.0 |
          24.0 |             15.0 |           536.301 |  0.002079 |  4784173.5 |   4.0 |   9.0 |
          24.0 |             15.0 |           411.292 |    0.3339 |  4727500.0 |   3.0 |   9.0 |
          24.0 |             15.0 |           390.104 |   0.03131 |  4714294.0 |   2.0 |   9.0 |
          24.0 |             15.0 |            20.072 |       0.0 |        0.0 |   1.0 |  10.0 |
          24.0 |             15.0 |           529.486 |  0.009341 |  4793199.5 |   5.0 |  10.0 |
          24.0 |             15.0 |           392.832 |    0.2846 |  4727500.0 |   3.0 |  10.0 |
          24.0 |             15.0 |           373.458 |     0.376 |  4714294.0 |   2.0 |  10.0 |
          24.0 |             15.0 |           451.746 |   0.03608 |  4793199.5 |   5.0 |  11.0 |
          24.0 |             15.0 |           348.356 |    0.1023 |  4727500.0 |   3.0 |  11.0 |
          24.0 |             15.0 |           422.356 |    0.1534 |  4784173.5 |   4.0 |  12.0 |
          24.0 |             15.0 |           439.095 |    0.1921 |  4793199.5 |   5.0 |  12.0 |
          24.0 |             15.0 |           340.785 |  0.002155 |  4727500.0 |   3.0 |  12.0 |
          24.0 |             15.0 |           326.108 | 8.822e-05 |  4714294.0 |   2.0 |  12.0 |
          24.0 |             15.0 |           390.933 |    0.2071 |  4784173.5 |   4.0 |  13.0 |
          24.0 |             15.0 |           19.8414 |       0.0 |        0.0 |   1.0 |  13.0 |
          24.0 |             15.0 |           405.232 |    0.1471 |  4793199.5 |   5.0 |  13.0 |
          24.0 |             15.0 |           320.029 |  3.64e-05 |  4727500.0 |   3.0 |  13.0 |
          24.0 |             15.0 |           307.052 |    0.0342 |  4714294.0 |   2.0 |  13.0 |
          24.0 |             15.0 |           19.8345 |       0.0 |        0.0 |   1.0 |  14.0 |
          24.0 |             15.0 |           402.391 |    0.6155 |  4793199.5 |   5.0 |  14.0 |
          24.0 |             15.0 |           318.254 |  0.007999 |  4727500.0 |   3.0 |  14.0 |
          24.0 |             15.0 |           305.418 |  0.008784 |  4714294.0 |   2.0 |  14.0 |
          24.0 |             15.0 |           285.375 |     0.142 |  4793199.5 |   5.0 |  15.0 |
          24.0 |             15.0 |           240.318 |   0.08547 |  4727500.0 |   3.0 |  15.0 |
          24.0 |             15.0 |           430.094 | 0.0001486 |  5020940.5 |  12.0 |  16.0 |
          24.0 |             15.0 |           353.592 |  0.008202 |  4970636.0 |   9.0 |  16.0 |
          24.0 |             15.0 |           305.792 |     0.131 |  4926428.5 |   6.0 |  16.0 |
          24.0 |             15.0 |           468.436 |  0.007122 |  5039971.5 |  13.0 |  16.0 |
          24.0 |             15.0 |           185.476 |       0.0 |  4714294.0 |   2.0 |  16.0 |
          24.0 |             15.0 |           459.338 |  0.003924 |  5041714.0 |  14.0 |  17.0 |
          24.0 |             15.0 |           300.309 |    0.3245 |  4926428.5 |   6.0 |  17.0 |
          24.0 |             15.0 |           346.281 |  0.004843 |  4970636.0 |   9.0 |  17.0 |
          24.0 |             15.0 |           327.814 |   0.02985 |  4954367.5 |   7.0 |  17.0 |
          24.0 |             15.0 |           360.547 |   0.05585 |  4982062.0 |  10.0 |  17.0 |
          24.0 |             15.0 |           19.0135 |  0.008132 |        0.0 |   1.0 |  17.0 |
          24.0 |             15.0 |           455.691 |  0.006384 |  5039971.5 |  13.0 |  17.0 |
          24.0 |             15.0 |           408.404 |   0.01448 |  5014563.0 |  11.0 |  17.0 |
          24.0 |             15.0 |           419.326 | 0.0002071 |  5020940.5 |  12.0 |  17.0 |
          24.0 |             15.0 |            436.24 |   0.01059 |  5041714.0 |  14.0 |  18.0 |
          24.0 |             15.0 |           290.261 |    0.3183 |  4926428.5 |   6.0 |  18.0 |
          24.0 |             15.0 |            332.99 |   0.05402 |  4970636.0 |   9.0 |  18.0 |
          24.0 |             15.0 |           315.878 |   0.04929 |  4954367.5 |   7.0 |  18.0 |
          24.0 |             15.0 |            346.16 |    0.2817 |  4982062.0 |  10.0 |  18.0 |
          24.0 |             15.0 |           18.9719 |       0.0 |        0.0 |   1.0 |  18.0 |
          24.0 |             15.0 |           432.949 |  0.003372 |  5039971.5 |  13.0 |  18.0 |
          24.0 |             15.0 |           322.832 |   0.02197 |  4961186.5 |   8.0 |  18.0 |
