 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          24.0 |             18.0 |           793.084 |       0.0 |        0.0 |  1.0 |  2.0 |
          24.0 |             18.0 |           662.937 |       0.0 |        0.0 |  1.0 |  3.0 |
          24.0 |             18.0 |          4039.751 |       0.0 |   126090.0 |  2.0 |  3.0 |
          24.0 |             18.0 |           442.008 |       0.0 |        0.0 |  1.0 |  4.0 |
          24.0 |             18.0 |           998.502 |       0.0 |   126090.0 |  2.0 |  4.0 |
          24.0 |             18.0 |           1326.33 |       0.0 |   150844.0 |  3.0 |  4.0 |
          24.0 |             18.0 |           377.935 |       0.0 |        0.0 |  1.0 |  5.0 |
          24.0 |             18.0 |            721.99 |       0.0 |   126090.0 |  2.0 |  5.0 |
          24.0 |             18.0 |           879.105 |       0.0 |   150844.0 |  3.0 |  5.0 |
          24.0 |             18.0 |          2607.154 |       0.0 |   226240.0 |  4.0 |  5.0 |
          24.0 |             18.0 |           149.828 |    0.2352 |        0.0 |  1.0 |  6.0 |
          24.0 |             18.0 |           184.726 |   0.00752 |   126090.0 |  2.0 |  6.0 |
          24.0 |             18.0 |           193.578 |  0.004356 |   150844.0 |  3.0 |  6.0 |
          24.0 |             18.0 |           248.241 |  0.001256 |   264596.0 |  5.0 |  6.0 |
          24.0 |             18.0 |           139.968 |    0.1748 |        0.0 |  1.0 |  7.0 |
          24.0 |             18.0 |           169.964 |   0.00064 |   126090.0 |  2.0 |  7.0 |
          24.0 |             18.0 |           177.429 | 0.0003384 |   150844.0 |  3.0 |  7.0 |
          24.0 |             18.0 |           204.829 |  3.46e-05 |   226240.0 |  4.0 |  7.0 |
          24.0 |             18.0 |           222.294 |  0.003212 |   264596.0 |  5.0 |  7.0 |
          24.0 |             18.0 |           136.594 |    0.0924 |        0.0 |  1.0 |  8.0 |
          24.0 |             18.0 |           165.015 |  0.001004 |   126090.0 |  2.0 |  8.0 |
          24.0 |             18.0 |           197.685 |  0.001106 |   226240.0 |  4.0 |  8.0 |
          24.0 |             18.0 |           213.905 | 1.428e-05 |   264596.0 |  5.0 |  8.0 |
          24.0 |             18.0 |           108.369 |   0.00394 |        0.0 |  1.0 |  9.0 |
          24.0 |             18.0 |            125.52 |    0.3208 |   126090.0 |  2.0 |  9.0 |
          24.0 |             18.0 |           129.545 |  0.003528 |   150844.0 |  3.0 |  9.0 |
          24.0 |             18.0 |           143.567 |    0.0354 |   226240.0 |  4.0 |  9.0 |
          24.0 |             18.0 |           151.934 |   0.00832 |   264596.0 |  5.0 |  9.0 |
          24.0 |             18.0 |           107.385 |  5.68e-05 |        0.0 |  1.0 | 10.0 |
          24.0 |             18.0 |           124.202 |   8.6e-06 |   126090.0 |  2.0 | 10.0 |
          24.0 |             18.0 |           128.142 |    0.4068 |   150844.0 |  3.0 | 10.0 |
          24.0 |             18.0 |           150.007 |    0.1072 |   264596.0 |  5.0 | 10.0 |
          24.0 |             18.0 |            94.158 |  0.002432 |        0.0 |  1.0 | 11.0 |
          24.0 |             18.0 |           106.842 |    0.1144 |   126090.0 |  2.0 | 11.0 |
          24.0 |             18.0 |           119.645 |    0.1342 |   226240.0 |  4.0 | 11.0 |
          24.0 |             18.0 |           125.399 |   0.02648 |   264596.0 |  5.0 | 11.0 |
          24.0 |             18.0 |            90.632 |   0.01168 |        0.0 |  1.0 | 12.0 |
          24.0 |             18.0 |           102.326 |       0.1 |   126090.0 |  2.0 | 12.0 |
          24.0 |             18.0 |           104.985 |     0.576 |   150844.0 |  3.0 | 12.0 |
          24.0 |             18.0 |           114.009 |    0.0536 |   226240.0 |  4.0 | 12.0 |
          24.0 |             18.0 |           119.223 |    0.0768 |   264596.0 |  5.0 | 12.0 |
          24.0 |             18.0 |            85.455 | 0.0003364 |        0.0 |  1.0 | 13.0 |
          24.0 |             18.0 |            95.774 |    0.0888 |   126090.0 |  2.0 | 13.0 |
          24.0 |             18.0 |           105.935 |   0.01768 |   226240.0 |  4.0 | 13.0 |
          24.0 |             18.0 |           110.422 |    0.2828 |   264596.0 |  5.0 | 13.0 |
          24.0 |             18.0 |            93.359 |   0.00824 |   667431.0 |  6.0 | 14.0 |
          24.0 |             18.0 |            97.645 |   0.00404 |   714451.0 |  7.0 | 14.0 |
          24.0 |             18.0 |            99.357 |  0.001348 |   732094.0 |  8.0 | 14.0 |
          24.0 |             18.0 |           123.864 |     0.358 |   931230.0 | 10.0 | 14.0 |
          24.0 |             18.0 |            122.58 |     0.108 |   922777.0 |  9.0 | 14.0 |
          24.0 |             18.0 |           147.815 |    0.0932 |  1062048.0 | 11.0 | 14.0 |
          24.0 |             18.0 |           157.429 |      0.42 |  1103362.0 | 12.0 | 14.0 |
          24.0 |             18.0 |           175.946 |   0.03864 |  1170213.0 | 13.0 | 14.0 |
          24.0 |             18.0 |            90.999 |  0.000286 |   714451.0 |  7.0 | 15.0 |
          24.0 |             18.0 |            92.484 |  0.001344 |   732094.0 |  8.0 | 15.0 |
          24.0 |             18.0 |           112.285 |    0.1622 |   922777.0 |  9.0 | 15.0 |
          24.0 |             18.0 |             133.1 |   0.00426 |  1062048.0 | 11.0 | 15.0 |
          24.0 |             18.0 |           140.845 |    0.1536 |  1103362.0 | 12.0 | 15.0 |
          24.0 |             18.0 |           155.484 |     0.204 |  1170213.0 | 13.0 | 15.0 |
%CHIANTI
