 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             23.0 |            2.2034 | 1.856e-07 |        0.0 |   1.0 |   2.0 |
          24.0 |             23.0 |          472.2149 |    0.0106 |        0.0 |   2.0 |   3.0 |
          24.0 |             23.0 |            2.1925 |    0.0468 |        0.0 |   1.0 |   4.0 |
          24.0 |             23.0 |            2.1886 |       0.0 |        0.0 |   1.0 |   6.0 |
          24.0 |             23.0 |          325.0436 |    0.0773 |        0.0 |   2.0 |   6.0 |
          24.0 |             23.0 |            2.1819 |     0.733 |        0.0 |   1.0 |   7.0 |
          24.0 |             23.0 |           12.2488 |     0.016 |        0.0 |   3.0 |   8.0 |
          24.0 |             23.0 |           12.2689 |     0.045 |        0.0 |   4.0 |   8.0 |
          24.0 |             23.0 |           12.3943 |    0.0789 |        0.0 |   6.0 |   8.0 |
          24.0 |             23.0 |           12.6118 |    0.0028 |        0.0 |   7.0 |   8.0 |
          24.0 |             23.0 |           11.8564 |     0.131 |        0.0 |   2.0 |   9.0 |
          24.0 |             23.0 |           12.3052 |      7.93 |        0.0 |   6.0 |   9.0 |
          24.0 |             23.0 |           12.1777 |   0.00307 |        0.0 |   4.0 |  10.0 |
          24.0 |             23.0 |           12.5153 |    0.0467 |        0.0 |   7.0 |  10.0 |
          24.0 |             23.0 |             1.858 |   0.00977 |        0.0 |   1.0 |  11.0 |
          24.0 |             23.0 |           11.8509 |     0.368 |        0.0 |   2.0 |  11.0 |
          24.0 |             23.0 |           12.1833 |    0.0254 |        0.0 |   5.0 |  11.0 |
          24.0 |             23.0 |           12.2993 |      16.8 |        0.0 |   6.0 |  11.0 |
          24.0 |             23.0 |            1.8571 |       0.0 |        0.0 |   1.0 |  12.0 |
          24.0 |             23.0 |           11.8164 |     0.656 |        0.0 |   2.0 |  12.0 |
          24.0 |             23.0 |           12.1197 |      8.32 |        0.0 |   3.0 |  12.0 |
          24.0 |             23.0 |           12.1395 |      17.5 |        0.0 |   4.0 |  12.0 |
          24.0 |             23.0 |           12.2622 |      14.1 |        0.0 |   6.0 |  12.0 |
          24.0 |             23.0 |           11.7719 |      54.1 |        0.0 |   2.0 |  13.0 |
          24.0 |             23.0 |           12.0729 |     0.684 |        0.0 |   3.0 |  13.0 |
          24.0 |             23.0 |           12.0925 |     0.481 |        0.0 |   4.0 |  13.0 |
          24.0 |             23.0 |           12.2143 |    0.0338 |        0.0 |   6.0 |  13.0 |
          24.0 |             23.0 |           12.4254 |      0.03 |        0.0 |   7.0 |  13.0 |
          24.0 |             23.0 |             1.856 |      14.1 |        0.0 |   1.0 |  14.0 |
          24.0 |             23.0 |           11.7725 |      61.9 |        0.0 |   2.0 |  14.0 |
          24.0 |             23.0 |           12.0931 |      1.43 |        0.0 |   4.0 |  14.0 |
          24.0 |             23.0 |           12.1004 |      27.7 |        0.0 |   5.0 |  14.0 |
          24.0 |             23.0 |           12.2149 |     0.348 |        0.0 |   6.0 |  14.0 |
          24.0 |             23.0 |            12.426 |     0.285 |        0.0 |   7.0 |  14.0 |
          24.0 |             23.0 |            1.8558 |     0.145 |        0.0 |   1.0 |  15.0 |
          24.0 |             23.0 |           11.7649 |    0.0249 |        0.0 |   2.0 |  15.0 |
          24.0 |             23.0 |           12.0924 |     0.382 |        0.0 |   5.0 |  15.0 |
          24.0 |             23.0 |           12.2006 |      2.84 |        0.0 |   6.0 |  16.0 |
          24.0 |             23.0 |            1.8556 |      30.8 |        0.0 |   1.0 |  17.0 |
          24.0 |             23.0 |           11.7565 |      28.5 |        0.0 |   2.0 |  17.0 |
          24.0 |             23.0 |           12.0762 |     0.142 |        0.0 |   4.0 |  17.0 |
          24.0 |             23.0 |           12.0835 |      60.7 |        0.0 |   5.0 |  17.0 |
          24.0 |             23.0 |           12.1977 |      0.16 |        0.0 |   6.0 |  17.0 |
          24.0 |             23.0 |           12.4082 |      1.76 |        0.0 |   7.0 |  17.0 |
