 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          24.0 |             24.0 | 1.6151918200000002 | 0.005053124516130742 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 |         1.63553371 | 0.018238537060525865 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 |          1.6357455 | 0.009043988469993193 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 | 1.6745959999999998 |  0.03792887837277528 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 | 1.6750300100000002 | 0.018856452871430063 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 |         1.76569908 |   0.1033736854747266 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 | 1.7668440799999998 |  0.05166899330103552 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 |         2.09014234 |   0.5403809120790775 |        0.0 | 1.0 | 2.0 |
          24.0 |             24.0 |         2.09556511 |   0.2745364414223412 |        0.0 | 1.0 | 2.0 |
%NIST
