 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          24.0 |              9.0 |         12785.271 |       0.0 |        0.0 |  1.0 |  2.0 |
          24.0 |              9.0 |         10471.752 |       0.0 |        0.0 |  1.0 |  3.0 |
          24.0 |              9.0 |          57870.37 |       0.0 |     7821.5 |  2.0 |  3.0 |
          24.0 |              9.0 |          3302.368 |       0.0 |        0.0 |  1.0 |  4.0 |
          24.0 |              9.0 |          4452.399 |       0.0 |     7821.5 |  2.0 |  4.0 |
          24.0 |              9.0 |          4823.508 |       0.0 |     9549.5 |  3.0 |  4.0 |
          24.0 |              9.0 |          1495.893 |       0.0 |        0.0 |  1.0 |  5.0 |
          24.0 |              9.0 |          1694.106 |       0.0 |     7821.5 |  2.0 |  5.0 |
          24.0 |              9.0 |          2734.601 |       0.0 |    30281.3 |  4.0 |  5.0 |
          24.0 |              9.0 |           418.291 |    0.2425 |        0.0 |  1.0 |  6.0 |
          24.0 |              9.0 |           432.439 |   0.08149 |     7821.5 |  2.0 |  6.0 |
          24.0 |              9.0 |           478.958 |  0.005092 |    30281.3 |  4.0 |  6.0 |
          24.0 |              9.0 |           407.636 |     0.085 |        0.0 |  1.0 |  7.0 |
          24.0 |              9.0 |           421.061 |   0.04923 |     7821.5 |  2.0 |  7.0 |
          24.0 |              9.0 |           424.147 |   0.06354 |     9549.5 |  3.0 |  7.0 |
          24.0 |              9.0 |           465.039 | 3.663e-05 |    30281.3 |  4.0 |  7.0 |
          24.0 |              9.0 |           560.327 |  0.001523 |    66849.7 |  5.0 |  7.0 |
          24.0 |              9.0 |           414.603 |   0.06599 |     7821.5 |  2.0 |  8.0 |
          24.0 |              9.0 |           327.267 |  0.005307 |        0.0 |  1.0 |  9.0 |
          24.0 |              9.0 |           335.864 |  0.000368 |     7821.5 |  2.0 |  9.0 |
          24.0 |              9.0 |           337.825 | 0.0003283 |     9549.5 |  3.0 |  9.0 |
          24.0 |              9.0 |           363.267 |    0.3499 |    30281.3 |  4.0 |  9.0 |
          24.0 |              9.0 |           418.916 |  0.001503 |    66849.7 |  5.0 |  9.0 |
          24.0 |              9.0 |           322.449 | 0.0006821 |     7821.5 |  2.0 | 10.0 |
          24.0 |              9.0 |           314.444 | 0.0009167 |        0.0 |  1.0 | 11.0 |
          24.0 |              9.0 |           322.346 | 0.0007061 |     7821.5 |  2.0 | 11.0 |
          24.0 |              9.0 |           324.056 | 0.0001848 |     9549.5 |  3.0 | 11.0 |
          24.0 |              9.0 |           351.642 | 6.156e-06 |    30281.3 |  4.0 | 11.0 |
          24.0 |              9.0 |           392.809 | 2.441e-06 |    66849.7 |  5.0 | 11.0 |
          24.0 |              9.0 |           314.284 |   0.00201 |        0.0 |  1.0 | 12.0 |
          24.0 |              9.0 |           322.178 | 7.759e-06 |     7821.5 |  2.0 | 12.0 |
          24.0 |              9.0 |           351.442 | 1.535e-05 |    30281.3 |  4.0 | 12.0 |
          24.0 |              9.0 |          1218.886 |       0.0 |   245317.0 |  7.0 | 12.0 |
          24.0 |              9.0 |           314.042 |   0.00119 |        0.0 |  1.0 | 13.0 |
          24.0 |              9.0 |           321.924 |       0.0 |     7821.5 |  2.0 | 13.0 |
          24.0 |              9.0 |           351.139 | 6.164e-06 |    30281.3 |  4.0 | 13.0 |
