 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          24.0 |              7.0 |           291.738 | 0.0002941 |        0.0 |  1.0 |  3.0 |
          24.0 |              7.0 |           288.903 |       0.0 |        0.0 |  1.0 |  4.0 |
          24.0 |              7.0 |          29730.05 |       0.0 |   342773.5 |  3.0 |  4.0 |
          24.0 |              7.0 |          8766.854 |       0.0 |   346137.1 |  4.0 |  5.0 |
          24.0 |              7.0 |           277.645 |       0.0 |        0.0 |  1.0 |  6.0 |
          24.0 |              7.0 |          5747.655 |       0.0 |   342773.5 |  3.0 |  6.0 |
          24.0 |              7.0 |          7125.146 |       0.0 |   346137.1 |  4.0 |  6.0 |
          24.0 |              7.0 |         38048.855 |       0.0 |   357543.7 |  5.0 |  6.0 |
          24.0 |              7.0 |           275.436 |       0.0 |        0.0 |  1.0 |  7.0 |
          24.0 |              7.0 |           4570.05 |       0.0 |   341179.3 |  2.0 |  7.0 |
          24.0 |              7.0 |          4929.168 |       0.0 |   342773.5 |  3.0 |  7.0 |
          24.0 |              7.0 |          5908.838 |       0.0 |   346137.1 |  4.0 |  7.0 |
          24.0 |              7.0 |         34614.055 |       0.0 |   360171.9 |  6.0 |  7.0 |
          24.0 |              7.0 |           261.276 |       0.0 |        0.0 |  1.0 |  8.0 |
          24.0 |              7.0 |          2502.258 |       0.0 |   342773.5 |  3.0 |  8.0 |
          24.0 |              7.0 |          2732.218 |       0.0 |   346137.1 |  4.0 |  8.0 |
          24.0 |              7.0 |          3969.246 |       0.0 |   357543.7 |  5.0 |  8.0 |
          24.0 |              7.0 |          4431.544 |       0.0 |   360171.9 |  6.0 |  8.0 |
          24.0 |              7.0 |          5082.205 |       0.0 |   363060.9 |  7.0 |  8.0 |
          24.0 |              7.0 |           258.654 |       0.0 |        0.0 |  1.0 |  9.0 |
          24.0 |              7.0 |          2200.835 |       0.0 |   341179.3 |  2.0 |  9.0 |
          24.0 |              7.0 |          2280.861 |       0.0 |   342773.5 |  3.0 |  9.0 |
          24.0 |              7.0 |          2470.386 |       0.0 |   346137.1 |  4.0 |  9.0 |
          24.0 |              7.0 |          3439.629 |       0.0 |   357543.7 |  5.0 |  9.0 |
          24.0 |              7.0 |          3781.476 |       0.0 |   360171.9 |  6.0 |  9.0 |
          24.0 |              7.0 |          4245.257 |       0.0 |   363060.9 |  7.0 |  9.0 |
          24.0 |              7.0 |         25778.512 |       0.0 |   382737.4 |  8.0 |  9.0 |
          24.0 |              7.0 |           259.183 |  0.003529 |        0.0 |  1.0 | 10.0 |
          24.0 |              7.0 |          2322.621 |       0.0 |   342773.5 |  3.0 | 10.0 |
          24.0 |              7.0 |           261.313 |       0.0 |        0.0 |  1.0 | 11.0 |
          24.0 |              7.0 |          2409.464 |       0.0 |   341179.3 |  2.0 | 11.0 |
          24.0 |              7.0 |          2505.713 |       0.0 |   342773.5 |  3.0 | 11.0 |
          24.0 |              7.0 |          2736.337 |       0.0 |   346137.1 |  4.0 | 11.0 |
          24.0 |              7.0 |          3977.946 |       0.0 |   357543.7 |  5.0 | 11.0 |
          24.0 |              7.0 |          4442.391 |       0.0 |   360171.9 |  6.0 | 11.0 |
          24.0 |              7.0 |          5096.476 |       0.0 |   363060.9 |  7.0 | 11.0 |
          24.0 |              7.0 |            256.92 |       0.0 |        0.0 |  1.0 | 12.0 |
          24.0 |              7.0 |          2152.727 |       0.0 |   342773.5 |  3.0 | 12.0 |
          24.0 |              7.0 |          2320.773 |       0.0 |   346137.1 |  4.0 | 12.0 |
          24.0 |              7.0 |          3156.317 |       0.0 |   357543.7 |  5.0 | 12.0 |
          24.0 |              7.0 |          3441.831 |       0.0 |   360171.9 |  6.0 | 12.0 |
          24.0 |              7.0 |          3821.856 |       0.0 |   363060.9 |  7.0 | 12.0 |
          24.0 |              7.0 |          15411.17 |       0.0 |   382737.4 |  8.0 | 12.0 |
          24.0 |              7.0 |          38320.05 |       0.0 |   386616.6 |  9.0 | 12.0 |
          24.0 |              7.0 |         15281.407 |       0.0 |   382682.3 | 11.0 | 12.0 |
          24.0 |              7.0 |           202.825 |     3.551 |        0.0 |  1.0 | 13.0 |
%CHIANTI
