 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          24.0 |             11.0 |             203.94 |  0.004897788193684461 |        0.0 | 1.0 | 2.0 |
          24.0 |             11.0 |             214.31 |   0.06760829753919818 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |             226.45 |    3.2359365692962827 |    36994.0 | 1.0 | 2.0 |
          24.0 |             11.0 |             235.53 |    3.2359365692962827 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |             240.76 |    1.2589254117941673 |    74980.0 | 1.0 | 2.0 |
          24.0 |             11.0 | 250.27999999999997 |   0.06606934480075961 |    36994.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            359.203 |  0.054954087385762455 |        0.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            366.085 |   0.04073802778041128 |     5536.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            366.491 |   0.07244359600749903 |     5536.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            366.942 |   0.06025595860743578 |     5536.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            374.927 |   0.23988329190194904 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            375.356 |   0.05011872336272722 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            412.629 |   0.06309573444801933 |        0.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            422.083 |   0.13489628825916536 |     5536.0 | 1.0 | 2.0 |
          24.0 |             11.0 | 422.28200000000004 |  0.023988329190194897 |     5536.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            431.154 |   0.19054607179632474 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            433.885 |  0.010471285480508996 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            434.092 |  0.000707945784384138 |    11980.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            483.274 |  0.007585775750291836 |    36994.0 | 1.0 | 2.0 |
          24.0 |             11.0 |            491.608 | 0.0010471285480508996 |    74980.0 | 1.0 | 2.0 |
%NIST
