 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          24.0 |             12.0 | 197.77100000000002 |  0.003715352290971724 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            199.345 |   0.00707945784384138 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            212.663 |  0.002187761623949552 |   254428.0 | 1.0 | 2.0 |
          24.0 |             12.0 |             220.89 |                   1.0 |   254428.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            221.447 |  0.057543993733715694 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 222.49099999999999 |    1.3803842646028848 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            222.496 |  0.011220184543019636 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 243.02499999999998 |  0.021379620895022326 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 243.36200000000002 |    0.2691534803926916 |   313745.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            244.708 |    1.0715193052376064 |        0.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            245.469 |    0.6025595860743578 |   196911.0 | 1.0 | 2.0 |
          24.0 |             12.0 |             245.87 |     0.436515832240166 |   196911.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 246.26999999999998 |    0.6025595860743578 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            249.374 |    1.2302687708123816 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            249.572 |    2.6302679918953817 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 251.22299999999998 |    1.1481536214968828 |   196911.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 251.57800000000003 |    1.9498445997580451 |    12261.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 251.74399999999997 |    0.9772372209558107 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 252.27599999999998 |     0.251188643150958 |    12261.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            255.365 |   0.19952623149688797 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 255.45600000000002 |    0.1318256738556407 |   333196.0 | 1.0 | 2.0 |
          24.0 |             12.0 |             256.37 |    2.9512092266663856 |   339251.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 257.28200000000004 |     0.660693448007596 |   254428.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            258.049 |   0.10232929922807542 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            259.467 |   0.14125375446227545 |   339251.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            260.429 |     1.288249551693134 |   313745.0 | 1.0 | 2.0 |
          24.0 |             12.0 |             271.82 |  0.007943282347242814 |   339251.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            274.303 |  0.034673685045253165 |   333196.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            278.148 |  0.004365158322401661 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            278.936 |   0.44668359215096315 |   339251.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            281.905 |                  0.01 |   196911.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            287.003 |  0.014791083881682071 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            294.655 |  0.038018939632056124 |   255566.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            294.758 |   0.31622776601683794 |        0.0 | 1.0 | 2.0 |
          24.0 |             12.0 |             300.12 |    0.3801893963205612 |        0.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 305.81600000000003 |    1.5488166189124815 |    12261.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            311.587 |    0.4677351412871982 |    12261.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            311.875 |  0.039810717055349734 |   408640.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 312.94899999999996 |     1.318256738556407 |   409741.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            316.466 |    0.7585775750291838 |   408640.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            318.722 |   0.33884415613920255 |        0.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 320.19100000000003 |   0.31622776601683794 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 325.17699999999996 |    0.6309573444801932 |   196911.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            331.687 |   0.06918309709189366 |    12261.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 331.87600000000003 | 0.0034673685045253167 |   192120.0 | 1.0 | 2.0 |
          24.0 |             12.0 | 332.12600000000003 |     0.933254300796991 |   203349.0 | 1.0 | 2.0 |
          24.0 |             12.0 |            335.017 |     2.041737944669529 |   408640.0 | 1.0 | 2.0 |
