 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             13.0 |           491.536 |       0.0 |        0.0 |   1.0 |   2.0 |
          24.0 |             13.0 |           482.162 |  0.002165 |        0.0 |   1.0 |   3.0 |
          24.0 |             13.0 |           461.772 | 3.038e-10 |        0.0 |   1.0 |   4.0 |
          24.0 |             13.0 |           10919.0 | 9.226e-07 |   207399.0 |   3.0 |   4.0 |
          24.0 |             13.0 |           7626.02 | 7.787e-11 |   203444.0 |   2.0 |   4.0 |
          24.0 |             13.0 |           328.268 |    0.8429 |        0.0 |   1.0 |   5.0 |
          24.0 |             13.0 |           206.978 | 3.825e-06 |        0.0 |   1.0 |   6.0 |
          24.0 |             13.0 |           362.654 |   0.06954 |   207399.0 |   3.0 |   6.0 |
          24.0 |             13.0 |           560.177 |    0.2958 |   304629.0 |   5.0 |   6.0 |
          24.0 |             13.0 |           375.112 |    0.1407 |   216557.0 |   4.0 |   6.0 |
          24.0 |             13.0 |           364.003 |    0.2829 |   207399.0 |   3.0 |   7.0 |
          24.0 |             13.0 |           563.403 |   0.00167 |   304629.0 |   5.0 |   7.0 |
          24.0 |             13.0 |           356.095 |    0.2183 |   207399.0 |   3.0 |   8.0 |
          24.0 |             13.0 |            544.68 | 0.0005496 |   304629.0 |   5.0 |   8.0 |
          24.0 |             13.0 |           351.149 |    0.2963 |   203444.0 |   2.0 |   8.0 |
          24.0 |             13.0 |           368.099 |    0.3501 |   216557.0 |   4.0 |   8.0 |
          24.0 |             13.0 |            342.73 |    0.3084 |   207399.0 |   3.0 |   9.0 |
          24.0 |             13.0 |            514.02 |   0.05931 |   304629.0 |   5.0 |   9.0 |
          24.0 |             13.0 |           353.836 |      0.95 |   216557.0 |   4.0 |   9.0 |
          24.0 |             13.0 |           276.226 |  0.001942 |   207399.0 |   3.0 |  10.0 |
          24.0 |             13.0 |           377.655 |    0.3285 |   304629.0 |   5.0 |  10.0 |
          24.0 |             13.0 |           262.355 |    0.2522 |   207399.0 |   3.0 |  11.0 |
          24.0 |             13.0 |           352.196 | 0.0007836 |   304629.0 |   5.0 |  11.0 |
          24.0 |             13.0 |           259.661 |    0.3421 |   203444.0 |   2.0 |  11.0 |
          24.0 |             13.0 |           268.814 |   0.01641 |   216557.0 |   4.0 |  11.0 |
          24.0 |             13.0 |           261.951 |    0.7608 |   207399.0 |   3.0 |  12.0 |
          24.0 |             13.0 |           351.468 |  0.001319 |   304629.0 |   5.0 |  12.0 |
          24.0 |             13.0 |           268.389 |    0.2478 |   216557.0 |   4.0 |  12.0 |
          24.0 |             13.0 |           267.733 |     1.394 |   216557.0 |   4.0 |  13.0 |
          24.0 |             13.0 |            150.96 |  2.39e-05 |        0.0 |   1.0 |  14.0 |
          24.0 |             13.0 |           219.766 |  0.007047 |   207399.0 |   3.0 |  14.0 |
          24.0 |             13.0 |           279.487 |     2.013 |   304629.0 |   5.0 |  14.0 |
          24.0 |             13.0 |            224.28 |  0.000284 |   216557.0 |   4.0 |  14.0 |
          24.0 |             13.0 |           310.547 |    0.1097 |   483144.0 |   6.0 |  15.0 |
          24.0 |             13.0 |           326.817 |   0.00651 |   499174.0 |   9.0 |  15.0 |
          24.0 |             13.0 |            462.95 |    0.1012 |   589150.0 |  12.0 |  15.0 |
          24.0 |             13.0 |           700.633 |   0.01909 |   662428.0 |  14.0 |  15.0 |
          24.0 |             13.0 |           167.292 | 7.146e-06 |   207399.0 |   3.0 |  15.0 |
          24.0 |             13.0 |           461.693 |    0.3996 |   588562.0 |  11.0 |  15.0 |
          24.0 |             13.0 |           315.524 |  0.001404 |   488223.0 |   8.0 |  15.0 |
          24.0 |             13.0 |           464.915 |  0.001808 |   590063.0 |  13.0 |  15.0 |
          24.0 |             13.0 |           166.192 | 7.059e-06 |   203444.0 |   2.0 |  15.0 |
          24.0 |             13.0 |           169.895 |  6.05e-07 |   216557.0 |   4.0 |  15.0 |
          24.0 |             13.0 |            304.59 |  0.007745 |   483144.0 |   6.0 |  16.0 |
          24.0 |             13.0 |           320.225 |   0.00789 |   499174.0 |   9.0 |  16.0 |
          24.0 |             13.0 |           449.834 |     0.678 |   589150.0 |  12.0 |  16.0 |
          24.0 |             13.0 |           671.024 |  0.002669 |   662428.0 |  14.0 |  16.0 |
          24.0 |             13.0 |           165.548 | 1.702e-05 |   207399.0 |   3.0 |  16.0 |
          24.0 |             13.0 |            451.69 |    0.1378 |   590063.0 |  13.0 |  16.0 |
          24.0 |             13.0 |           168.096 | 5.975e-06 |   216557.0 |   4.0 |  16.0 |
          24.0 |             13.0 |           437.317 |     1.087 |   590063.0 |  13.0 |  17.0 |
          24.0 |             13.0 |           166.065 | 2.991e-05 |   216557.0 |   4.0 |  17.0 |
          24.0 |             13.0 |           296.897 |      0.81 |   483144.0 |   6.0 |  18.0 |
          24.0 |             13.0 |           311.733 |   0.08945 |   499174.0 |   9.0 |  18.0 |
          24.0 |             13.0 |           433.255 |   0.01168 |   589150.0 |  12.0 |  18.0 |
          24.0 |             13.0 |           634.788 |    0.1669 |   662428.0 |  14.0 |  18.0 |
          24.0 |             13.0 |           432.154 |   0.05169 |   588562.0 |  11.0 |  18.0 |
          24.0 |             13.0 |           301.443 |   0.01696 |   488223.0 |   8.0 |  18.0 |
          24.0 |             13.0 |            194.05 | 1.027e-05 |   304629.0 |   5.0 |  18.0 |
          24.0 |             13.0 |           434.976 |   0.01814 |   590063.0 |  13.0 |  18.0 |
          24.0 |             13.0 |           282.837 |     0.076 |   499174.0 |   9.0 |  19.0 |
          24.0 |             13.0 |            270.57 |  0.001508 |   483144.0 |   6.0 |  19.0 |
          24.0 |             13.0 |           379.386 |   0.02504 |   589150.0 |  12.0 |  19.0 |
          24.0 |             13.0 |            525.47 |  0.003553 |   662428.0 |  14.0 |  19.0 |
          24.0 |             13.0 |           154.958 | 7.809e-06 |   207399.0 |   3.0 |  19.0 |
          24.0 |             13.0 |           378.541 |   0.03345 |   588562.0 |  11.0 |  19.0 |
          24.0 |             13.0 |            274.34 |     1.053 |   488223.0 |   8.0 |  19.0 |
