 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          24.0 |             14.0 |           412.049 |    0.2745 |        0.0 |  1.0 |   2.0 |
          24.0 |             14.0 |           389.864 |    0.5814 |        0.0 |  1.0 |   3.0 |
          24.0 |             14.0 |           301.818 |    0.1275 |   256500.0 |  3.0 |   4.0 |
          24.0 |             14.0 |           170.119 |       0.0 |        0.0 |  1.0 |   4.0 |
          24.0 |             14.0 |           289.741 |    0.6594 |   242689.5 |  2.0 |   4.0 |
          24.0 |             14.0 |           300.286 |     1.153 |   256500.0 |  3.0 |   5.0 |
          24.0 |             14.0 |           169.631 |       0.0 |        0.0 |  1.0 |   5.0 |
          24.0 |             14.0 |            112.49 |       0.0 |   589515.4 |  5.0 |   6.0 |
          24.0 |             14.0 |            81.834 |    0.2733 |   256500.0 |  3.0 |   6.0 |
          24.0 |             14.0 |           112.277 |       0.0 |   587825.5 |  4.0 |   6.0 |
          24.0 |             14.0 |             80.92 |    0.1297 |   242689.5 |  2.0 |   6.0 |
          24.0 |             14.0 |            75.911 |       0.0 |   256500.0 |  3.0 |   7.0 |
          24.0 |             14.0 |           101.418 |    0.1515 |   587825.5 |  4.0 |   7.0 |
          24.0 |             14.0 |            63.539 |    0.1354 |        0.0 |  1.0 |   7.0 |
          24.0 |             14.0 |          1048.649 |    0.3991 |  1478479.8 |  6.0 |   7.0 |
          24.0 |             14.0 |           101.044 |    0.2652 |   589515.4 |  5.0 |   8.0 |
          24.0 |             14.0 |            75.604 |       0.0 |   256500.0 |  3.0 |   8.0 |
          24.0 |             14.0 |           100.872 |   0.02905 |   587825.5 |  4.0 |   8.0 |
          24.0 |             14.0 |            63.324 |     0.258 |        0.0 |  1.0 |   8.0 |
          24.0 |             14.0 |            74.823 |       0.0 |   242689.5 |  2.0 |   8.0 |
          24.0 |             14.0 |           993.044 |     0.842 |  1478479.8 |  6.0 |   8.0 |
          24.0 |             14.0 |            90.007 |       0.0 |   589515.4 |  5.0 |   9.0 |
          24.0 |             14.0 |             69.25 |    0.1118 |   256500.0 |  3.0 |   9.0 |
          24.0 |             14.0 |             89.87 |       0.0 |   587825.5 |  4.0 |   9.0 |
          24.0 |             14.0 |           823.997 |    0.2004 |  1579180.2 |  8.0 |   9.0 |
          24.0 |             14.0 |            58.805 |       0.0 |        0.0 |  1.0 |   9.0 |
          24.0 |             14.0 |            68.594 |    0.5408 |   242689.5 |  2.0 |   9.0 |
          24.0 |             14.0 |            789.27 |     1.041 |  1573840.5 |  7.0 |   9.0 |
          24.0 |             14.0 |            89.944 |       0.0 |   589515.4 |  5.0 |  10.0 |
          24.0 |             14.0 |            69.213 |     1.004 |   256500.0 |  3.0 |  10.0 |
          24.0 |             14.0 |           818.733 |     1.817 |  1579180.2 |  8.0 |  10.0 |
          24.0 |             14.0 |            58.778 |       0.0 |        0.0 |  1.0 |  10.0 |
          24.0 |             14.0 |            86.184 |    0.2627 |   589515.4 |  5.0 |  11.0 |
          24.0 |             14.0 |          2061.457 |   0.03389 |  1701320.1 | 10.0 |  11.0 |
          24.0 |             14.0 |            66.964 |       0.0 |   256500.0 |  3.0 |  11.0 |
          24.0 |             14.0 |            86.058 |     3.672 |   587825.5 |  4.0 |  11.0 |
          24.0 |             14.0 |          2028.825 |    0.4842 |  1700539.9 |  9.0 |  11.0 |
          24.0 |             14.0 |            66.351 |       0.0 |   242689.5 |  2.0 |  11.0 |
          24.0 |             14.0 |            86.165 |     5.249 |   589515.4 |  5.0 |  12.0 |
