 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |    j |
          24.0 |             17.0 |          1722.653 |      0.0 |        0.0 | 1.0 |  2.0 |
          24.0 |             17.0 |          1656.315 |      0.0 |        0.0 | 1.0 |  3.0 |
          24.0 |             17.0 |         43010.754 |      0.0 |    58050.0 | 2.0 |  3.0 |
          24.0 |             17.0 |            740.79 |      0.0 |        0.0 | 1.0 |  4.0 |
          24.0 |             17.0 |          1340.195 |      0.0 |    60375.0 | 3.0 |  4.0 |
          24.0 |             17.0 |           380.335 |      0.0 |        0.0 | 1.0 |  5.0 |
          24.0 |             17.0 |           493.703 |      0.0 |    60375.0 | 3.0 |  5.0 |
          24.0 |             17.0 |           781.647 |      0.0 |   134991.0 | 4.0 |  5.0 |
          24.0 |             17.0 |           122.972 |   0.3336 |        0.0 | 1.0 |  6.0 |
          24.0 |             17.0 |           132.834 |   0.1097 |    60375.0 | 3.0 |  6.0 |
          24.0 |             17.0 |           147.448 |  0.02005 |   134991.0 | 4.0 |  6.0 |
          24.0 |             17.0 |           116.598 |   0.1332 |        0.0 | 1.0 |  7.0 |
          24.0 |             17.0 |           125.063 |  0.08646 |    58050.0 | 2.0 |  7.0 |
          24.0 |             17.0 |           125.428 |  0.06885 |    60375.0 | 3.0 |  7.0 |
          24.0 |             17.0 |           168.147 | 0.004948 |   262926.0 | 5.0 |  7.0 |
          24.0 |             17.0 |           120.897 |  0.09722 |    60375.0 | 3.0 |  8.0 |
          24.0 |             17.0 |              89.6 |  0.02574 |        0.0 | 1.0 |  9.0 |
          24.0 |             17.0 |            94.516 | 0.003024 |    58050.0 | 2.0 |  9.0 |
          24.0 |             17.0 |            94.724 | 0.001673 |    60375.0 | 3.0 |  9.0 |
          24.0 |             17.0 |           101.929 |   0.5563 |   134991.0 | 4.0 |  9.0 |
          24.0 |             17.0 |           117.214 |  0.05349 |   262926.0 | 5.0 |  9.0 |
          24.0 |             17.0 |            97.206 |  0.00711 |   857644.0 | 7.0 | 10.0 |
          24.0 |             17.0 |           129.817 |   0.3028 |  1116069.0 | 9.0 | 10.0 |
%CHIANTI
