 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             21.0 |           293.152 |  0.001083 |        0.0 |   1.0 |   3.0 |
          24.0 |             21.0 |           246.901 | 1.969e-10 |        0.0 |   1.0 |   4.0 |
          24.0 |             21.0 |          1564.945 | 6.327e-06 |   341120.0 |   3.0 |   4.0 |
          24.0 |             21.0 |          1149.557 |  1.74e-10 |   318030.0 |   2.0 |   4.0 |
          24.0 |             21.0 |           149.907 |    0.1618 |        0.0 |   1.0 |   5.0 |
          24.0 |             21.0 |           505.945 | 0.0006738 |   667080.0 |   5.0 |   6.0 |
          24.0 |             21.0 |           190.982 |   0.05817 |   341120.0 |   3.0 |   6.0 |
          24.0 |             21.0 |           409.836 | 0.0003189 |   667080.0 |   5.0 |   7.0 |
          24.0 |             21.0 |           175.451 |   0.04626 |   341120.0 |   3.0 |   7.0 |
          24.0 |             21.0 |            168.62 |   0.06547 |   318030.0 |   2.0 |   7.0 |
          24.0 |             21.0 |           197.605 |    0.0689 |   405020.0 |   4.0 |   7.0 |
          24.0 |             21.0 |           357.143 |   0.02147 |   667080.0 |   5.0 |   8.0 |
          24.0 |             21.0 |           165.027 |   0.08448 |   341120.0 |   3.0 |   8.0 |
          24.0 |             21.0 |           184.481 |    0.1791 |   405020.0 |   4.0 |   8.0 |
          24.0 |             21.0 |           259.943 |    0.1742 |   667080.0 |   5.0 |   9.0 |
          24.0 |             21.0 |           140.714 |  0.004221 |   341120.0 |   3.0 |   9.0 |
          24.0 |             21.0 |           154.617 |    0.0527 |   405020.0 |   4.0 |   9.0 |
          24.0 |             21.0 |            170.14 |    0.1096 |   667080.0 |   5.0 |  10.0 |
          24.0 |             21.0 |           109.444 | 0.0002212 |   341120.0 |   3.0 |  10.0 |
          24.0 |             21.0 |            14.715 |  0.001267 |   667080.0 |   5.0 |  11.0 |
          24.0 |             21.0 |            14.041 |   0.07953 |   341120.0 |   3.0 |  11.0 |
          24.0 |             21.0 |            13.996 |   0.02646 |   318030.0 |   2.0 |  11.0 |
          24.0 |             21.0 |            14.168 |    0.1369 |   405020.0 |   4.0 |  11.0 |
          24.0 |             21.0 |            14.572 |   0.02956 |   667080.0 |   5.0 |  12.0 |
          24.0 |             21.0 |            15.446 | 4.249e-06 |  1051780.0 |   9.0 |  12.0 |
          24.0 |             21.0 |            13.897 | 0.0001622 |   341120.0 |   3.0 |  12.0 |
          24.0 |             21.0 |            15.192 | 1.262e-06 |   947080.0 |   8.0 |  12.0 |
          24.0 |             21.0 |            15.225 |  0.006045 |  1051780.0 |   9.0 |  13.0 |
          24.0 |             21.0 |           636.943 |   0.08115 |  7463000.0 |  11.0 |  13.0 |
          24.0 |             21.0 |            14.382 | 7.164e-05 |   667080.0 |   5.0 |  13.0 |
          24.0 |             21.0 |            13.123 |    0.2907 |        0.0 |   1.0 |  13.0 |
          24.0 |             21.0 |             15.71 |  0.000914 |  1254830.0 |  10.0 |  13.0 |
          24.0 |             21.0 |            13.738 | 2.896e-05 |   341120.0 |   3.0 |  13.0 |
          24.0 |             21.0 |            14.906 | 0.0005751 |   911080.0 |   7.0 |  13.0 |
          24.0 |             21.0 |            14.803 | 0.0005894 |   864730.0 |   6.0 |  13.0 |
          24.0 |             21.0 |            14.986 |  0.006175 |   947080.0 |   8.0 |  13.0 |
          24.0 |             21.0 |             13.86 | 0.0001172 |   405020.0 |   4.0 |  13.0 |
          24.0 |             21.0 |          1114.672 |   0.02711 |  7538772.0 |  12.0 |  13.0 |
          24.0 |             21.0 |             653.8 |   0.04632 |  7463000.0 |  11.0 |  14.0 |
          24.0 |             21.0 |            14.898 |  0.001082 |   911080.0 |   7.0 |  14.0 |
          24.0 |             21.0 |            13.849 | 8.965e-05 |   405020.0 |   4.0 |  14.0 |
          24.0 |             21.0 |            15.185 |   0.01567 |  1051780.0 |   9.0 |  15.0 |
          24.0 |             21.0 |           574.612 |   0.06504 |  7463000.0 |  11.0 |  15.0 |
          24.0 |             21.0 |             14.34 | 6.658e-05 |   667080.0 |   5.0 |  15.0 |
          24.0 |             21.0 |            13.072 |    0.3746 |        0.0 |   1.0 |  15.0 |
          24.0 |             21.0 |            15.678 | 0.0003935 |  1254830.0 |  10.0 |  15.0 |
          24.0 |             21.0 |            13.685 | 3.966e-05 |   341120.0 |   3.0 |  15.0 |
          24.0 |             21.0 |            14.852 | 0.0001543 |   911080.0 |   7.0 |  15.0 |
          24.0 |             21.0 |            14.748 | 0.0008212 |   864730.0 |   6.0 |  15.0 |
          24.0 |             21.0 |            14.939 |  0.001932 |   947080.0 |   8.0 |  15.0 |
          24.0 |             21.0 |            13.809 |  8.39e-05 |   405020.0 |   4.0 |  15.0 |
          24.0 |             21.0 |           898.578 |   0.04518 |  7538772.0 |  12.0 |  15.0 |
          24.0 |             21.0 |           562.344 |    0.2725 |  7463000.0 |  11.0 |  16.0 |
          24.0 |             21.0 |            14.332 | 2.958e-06 |   667080.0 |   5.0 |  16.0 |
          24.0 |             21.0 |            15.176 |  0.000773 |  1051780.0 |   9.0 |  16.0 |
          24.0 |             21.0 |            13.065 | 3.006e-07 |        0.0 |   1.0 |  16.0 |
          24.0 |             21.0 |            13.678 | 0.0002018 |   341120.0 |   3.0 |  16.0 |
          24.0 |             21.0 |            14.843 |  0.002985 |   911080.0 |   7.0 |  16.0 |
          24.0 |             21.0 |            14.931 |  0.004922 |   947080.0 |   8.0 |  16.0 |
          24.0 |             21.0 |            13.632 | 9.183e-05 |   318030.0 |   2.0 |  16.0 |
          24.0 |             21.0 |            13.802 | 0.0001563 |   405020.0 |   4.0 |  16.0 |
          24.0 |             21.0 |            14.167 |  0.007788 |   667080.0 |   5.0 |  17.0 |
          24.0 |             21.0 |            13.527 |    0.5505 |   341120.0 |   3.0 |  17.0 |
          24.0 |             21.0 |            13.482 |    0.7455 |   318030.0 |   2.0 |  17.0 |
          24.0 |             21.0 |            13.648 |   0.03689 |   405020.0 |   4.0 |  17.0 |
          24.0 |             21.0 |           940.345 |   0.03917 |  7628981.0 |  14.0 |  17.0 |
          24.0 |             21.0 |            14.177 |  0.007773 |   667080.0 |   5.0 |  18.0 |
          24.0 |             21.0 |             13.55 |      1.65 |   341120.0 |   3.0 |  18.0 |
          24.0 |             21.0 |            13.669 |    0.5485 |   405020.0 |   4.0 |  18.0 |
          24.0 |             21.0 |            13.646 |     3.054 |   405020.0 |   4.0 |  19.0 |
          24.0 |             21.0 |            12.816 |   0.00155 |        0.0 |   1.0 |  20.0 |
          24.0 |             21.0 |            14.033 |     1.645 |   667080.0 |   5.0 |  20.0 |
          24.0 |             21.0 |           573.788 |   0.07371 |  7620000.0 |  13.0 |  20.0 |
          24.0 |             21.0 |            15.312 | 2.749e-05 |  1254830.0 |  10.0 |  20.0 |
          24.0 |             21.0 |            13.405 |   0.00627 |   341120.0 |   3.0 |  20.0 |
          24.0 |             21.0 |           654.853 |    0.1053 |  7650060.0 |  15.0 |  20.0 |
          24.0 |             21.0 |            13.524 |   0.00137 |   405020.0 |   4.0 |  20.0 |
          24.0 |             21.0 |           248.061 |    0.0189 |  7463000.0 |  11.0 |  21.0 |
          24.0 |             21.0 |            14.363 |   0.05889 |   911080.0 |   7.0 |  21.0 |
          24.0 |             21.0 |            13.386 | 2.061e-06 |   405020.0 |   4.0 |  21.0 |
          24.0 |             21.0 |            14.643 | 0.0004382 |  1051780.0 |   9.0 |  22.0 |
          24.0 |             21.0 |           239.296 |    0.0522 |  7463000.0 |  11.0 |  22.0 |
          24.0 |             21.0 |            13.855 | 3.272e-06 |   667080.0 |   5.0 |  22.0 |
          24.0 |             21.0 |            12.668 |  0.009145 |        0.0 |   1.0 |  22.0 |
          24.0 |             21.0 |            15.101 |  0.002257 |  1254830.0 |  10.0 |  22.0 |
          24.0 |             21.0 |            13.243 | 2.734e-06 |   341120.0 |   3.0 |  22.0 |
          24.0 |             21.0 |            14.236 |   0.06209 |   864730.0 |   6.0 |  22.0 |
          24.0 |             21.0 |            14.414 |   0.08715 |   947080.0 |   8.0 |  22.0 |
          24.0 |             21.0 |            13.359 | 4.445e-06 |   405020.0 |   4.0 |  22.0 |
          24.0 |             21.0 |           281.572 |   0.02012 |  7538772.0 |  12.0 |  22.0 |
          24.0 |             21.0 |            14.484 |   0.04228 |  1051780.0 |   9.0 |  23.0 |
          24.0 |             21.0 |           202.859 |    0.1129 |  7463000.0 |  11.0 |  23.0 |
          24.0 |             21.0 |            13.113 | 9.241e-06 |   341120.0 |   3.0 |  23.0 |
          24.0 |             21.0 |             14.18 |    0.1036 |   911080.0 |   7.0 |  23.0 |
          24.0 |             21.0 |             14.26 |    0.2066 |   947080.0 |   8.0 |  23.0 |
          24.0 |             21.0 |             13.07 | 4.598e-06 |   318030.0 |   2.0 |  23.0 |
          24.0 |             21.0 |           445.337 |  0.005366 |  7733000.0 |  19.0 |  23.0 |
