 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          24.0 |             22.0 |           279.739 |   0.03818 |        0.0 |   1.0 |   2.0 |
          24.0 |             22.0 |           223.018 |   0.09797 |        0.0 |   1.0 |   3.0 |
          24.0 |             22.0 |           13.4316 |   0.03572 |        0.0 |   2.0 |   4.0 |
          24.0 |             22.0 |           13.5977 |   0.07044 |        0.0 |   3.0 |   4.0 |
          24.0 |             22.0 |           12.6555 |    0.2445 |        0.0 |   1.0 |   5.0 |
          24.0 |             22.0 |           12.6125 |    0.4909 |        0.0 |   1.0 |   6.0 |
          24.0 |             22.0 |           13.1426 |     1.363 |        0.0 |   2.0 |   7.0 |
          24.0 |             22.0 |           13.3015 |    0.2691 |        0.0 |   3.0 |   7.0 |
          24.0 |             22.0 |           13.2866 |     2.425 |        0.0 |   3.0 |   8.0 |
          24.0 |             22.0 |            9.8729 |   0.00726 |        0.0 |   2.0 |   9.0 |
          24.0 |             22.0 |            9.9623 |   0.01436 |        0.0 |   3.0 |   9.0 |
          24.0 |             22.0 |           38.6919 |    0.0832 |        0.0 |   5.0 |   9.0 |
          24.0 |             22.0 |           39.0995 |    0.1644 |        0.0 |   6.0 |   9.0 |
          24.0 |             22.0 |            9.4986 |   0.05994 |        0.0 |   1.0 |  10.0 |
          24.0 |             22.0 |           36.6942 |    0.2674 |        0.0 |   4.0 |  10.0 |
          24.0 |             22.0 |           39.0396 |   0.04267 |        0.0 |   7.0 |  10.0 |
          24.0 |             22.0 |            9.4884 |      0.12 |        0.0 |   1.0 |  11.0 |
          24.0 |             22.0 |           36.5418 |    0.5374 |        0.0 |   4.0 |  11.0 |
          24.0 |             22.0 |           38.8673 |  0.008578 |        0.0 |   7.0 |  11.0 |
          24.0 |             22.0 |           38.9958 |   0.07692 |        0.0 |   8.0 |  11.0 |
          24.0 |             22.0 |            9.8062 |    0.2438 |        0.0 |   2.0 |  12.0 |
          24.0 |             22.0 |            9.8945 |   0.04828 |        0.0 |   3.0 |  12.0 |
