 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          29.0 |              1.0 | 2024.9789999999998 |   0.012022644346174132 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |            2024.99 |   0.023988329190194897 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2165.773 |     0.1548816618912481 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2179.626 |     0.2630267991895382 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2182.403 |    0.14125375446227545 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2226.389 |    0.06606934480075961 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 | 2244.9610000000002 |   0.005623413251903491 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2363.921 | 0.00021877616239495518 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2442.377 |   0.003630780547701014 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2492.898 |   0.010471285480508996 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           2619.147 |    0.12618275345906707 |  11202.618 | 1.0 | 2.0 |
          29.0 |              1.0 |           2767.188 |   0.043651583224016584 |  13245.443 | 1.0 | 2.0 |
          29.0 |              1.0 |           2825.201 |    0.05623413251903491 |  11202.618 | 1.0 | 2.0 |
          29.0 |              1.0 | 2962.0299999999997 |    0.03953666200681279 |  11202.618 | 1.0 | 2.0 |
          29.0 |              1.0 |           3064.301 |   0.008729713683881113 |  13245.443 | 1.0 | 2.0 |
          29.0 |              1.0 |           3195.022 |   0.009484184633008968 |  13245.443 | 1.0 | 2.0 |
          29.0 |              1.0 |           3248.477 |     0.8830799004185628 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           3274.901 |    0.44258837236262655 |        0.0 | 1.0 | 2.0 |
          29.0 |              1.0 |           3338.805 |   0.005128613839913648 |  11202.618 | 1.0 | 2.0 |
          29.0 |              1.0 |           4023.766 |    0.18450154191794738 |  30535.324 | 1.0 | 2.0 |
          29.0 |              1.0 |           4063.788 |     0.3118889584093937 |  30783.697 | 1.0 | 2.0 |
          29.0 |              1.0 |           4250.152 |    0.10568175092136585 |   40943.78 | 1.0 | 2.0 |
          29.0 |              1.0 | 4276.3099999999995 |     0.7568328950209744 |   39018.69 | 1.0 | 2.0 |
          29.0 |              1.0 |           4481.607 |   0.018197008586099836 |  30535.324 | 1.0 | 2.0 |
          29.0 |              1.0 |           4510.639 |    0.16788040181225602 |   42302.58 | 1.0 | 2.0 |
          29.0 |              1.0 |  4532.054999999999 |    0.05128613839913648 |  30783.697 | 1.0 | 2.0 |
          29.0 |              1.0 |           4540.968 |    0.26242185433844417 |   41562.93 | 1.0 | 2.0 |
          29.0 |              1.0 |            4588.26 |     0.6053408747539135 |   41153.47 | 1.0 | 2.0 |
          29.0 |              1.0 | 4652.4259999999995 |     0.9862794856312105 |   40909.16 | 1.0 | 2.0 |
          29.0 |              1.0 |            4705.91 |    0.14454397707459277 |   41153.47 | 1.0 | 2.0 |
          29.0 |              1.0 |           5106.964 |    0.03162277660168379 |  11202.618 | 1.0 | 2.0 |
          29.0 |              1.0 |  5154.670999999999 |      0.954992586021436 |  30535.324 | 1.0 | 2.0 |
          29.0 |              1.0 |  5219.655000000001 |     1.8197008586099834 |  30783.697 | 1.0 | 2.0 |
          29.0 |              1.0 |  5221.522999999999 |    0.24547089156850305 |  30783.697 | 1.0 | 2.0 |
          29.0 |              1.0 |            5293.99 |    0.36307805477010135 |   43514.01 | 1.0 | 2.0 |
          29.0 |              1.0 |           5701.822 |   0.004677351412871981 |  13245.443 | 1.0 | 2.0 |
          29.0 |              1.0 |  5783.735000000001 |   0.016557699634695285 |  13245.443 | 1.0 | 2.0 |
%NIST
