 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          29.0 |             29.0 |         1.10231012 | 0.004984711181766902 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.11612083 | 0.018077151593686745 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.11633293 |  0.00892811961257474 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.14271468 |  0.03758806766595796 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.14314944 | 0.018635454962360045 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.20472441 |  0.10238822166543383 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |          1.2058716 |  0.05116582722635389 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 |         1.42526189 |   0.5336174215585366 |        0.0 | 1.0 | 2.0 |
          29.0 |             29.0 | 1.4306923699999998 |  0.27312408539251937 |        0.0 | 1.0 | 2.0 |
%NIST
