 Atomic Number | Ionization State |  Wavelength (Ang.) |            g_i*f_ik |     E_i(cm^-1) |     i |     j |
           9.0 |              4.0 |  419.6499938964844 | 0.15848931670188904 |            0.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  420.0500183105469 | 0.47863009572029114 |          226.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  420.7300109863281 |  0.7961593270301819 |          614.0 | 333.0 | 666.0 |
           9.0 |              4.0 |   430.760009765625 |  1.0839269161224365 | 25238.19921875 | 333.0 | 666.0 |
           9.0 |              4.0 | 490.57000732421875 |  0.2951209545135498 | 53541.19921875 | 333.0 | 666.0 |
           9.0 |              4.0 |              491.0 |  1.5488165616989136 | 25238.19921875 | 333.0 | 666.0 |
           9.0 |              4.0 |  570.6400146484375 | 0.16218100488185883 |            0.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  571.2999877929688 | 0.16218100488185883 |          226.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  571.3900146484375 | 0.20417378842830658 |          226.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  572.6599731445312 |  0.5888436436653137 |          614.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  676.1199951171875 | 0.12882496416568756 |            0.0 | 333.0 | 666.0 |
           9.0 |              4.0 |  677.1499633789062 | 0.10000000149011612 |          226.0 | 333.0 | 666.0 |
           9.0 |              4.0 |   677.219970703125 |  0.2951209545135498 |          226.0 | 333.0 | 666.0 |
           9.0 |              4.0 |   678.989990234375 | 0.09772372245788574 |          614.0 | 333.0 | 666.0 |
           9.0 |              4.0 |     679.2099609375 |  0.5370317697525024 |          614.0 | 333.0 | 666.0 |
%NIST
