 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |    i |    j |
           9.0 |              6.0 |             608.7 |    0.31915378551007617 |  260422.1797967603 |  1.0 |  2.0 |
           9.0 |              6.0 |             453.5 |     0.9693932693002556 |  260422.1797967603 |  1.0 |  3.0 |
           9.0 |              6.0 |             311.1 |     0.9871883010683962 |  260422.1797967603 |  1.0 |  4.0 |
           9.0 |              6.0 |             273.6 |     0.9122208617910432 |  260422.1797967603 |  1.0 |  5.0 |
           9.0 |              6.0 |             270.7 |     0.8521185113792299 |  260422.1797967603 |  1.0 |  6.0 |
           9.0 |              6.0 |             256.2 |     0.9983756955370855 |  260422.1797967603 |  1.0 |  7.0 |
           9.0 |              6.0 |             247.4 |      0.978543192501011 |  260422.1797967603 |  1.0 |  8.0 |
           9.0 |              6.0 |             245.5 |     0.7161434102129021 |  260422.1797967603 |  1.0 |  9.0 |
           9.0 |              6.0 |             241.9 |     0.9984768498408847 |  260422.1797967603 |  1.0 | 10.0 |
           9.0 |              6.0 |             238.4 |      0.999925399025778 |  260422.1797967603 |  1.0 | 11.0 |
           9.0 |              6.0 |             235.9 |     0.9999974901853982 |  260422.1797967603 |  1.0 | 12.0 |
           9.0 |              6.0 |            1747.0 |     0.4720630412635905 |  423487.6305463327 |  2.0 |  3.0 |
           9.0 |              6.0 |             631.9 |     0.9952449898835171 |  423487.6305463327 |  2.0 |  4.0 |
           9.0 |              6.0 |             494.4 |     0.9664958643142137 |  423487.6305463327 |  2.0 |  5.0 |
           9.0 |              6.0 |             485.1 |     0.7816278045883296 |  423487.6305463327 |  2.0 |  6.0 |
           9.0 |              6.0 |             440.5 |     0.9897830220563242 |  423487.6305463327 |  2.0 |  7.0 |
           9.0 |              6.0 |             415.0 |     0.9890767656638203 |  423487.6305463327 |  2.0 |  8.0 |
           9.0 |              6.0 |             409.6 |     0.9676092245777278 |  423487.6305463327 |  2.0 |  9.0 |
           9.0 |              6.0 |             399.7 |     0.9990609864314846 |  423487.6305463327 |  2.0 | 10.0 |
           9.0 |              6.0 |             390.2 |     0.9989528724038067 |  423487.6305463327 |  2.0 | 11.0 |
           9.0 |              6.0 |             383.7 |     0.9991714128346094 |  423487.6305463327 |  2.0 | 12.0 |
           9.0 |              6.0 |            1336.0 |     0.7798301105232587 |  506829.6121340176 |  3.0 |  4.0 |
           9.0 |              6.0 |             841.5 |     0.9375620069258802 |  506829.6121340176 |  3.0 |  5.0 |
           9.0 |              6.0 |             814.8 |     0.9982492670681866 |  506829.6121340176 |  3.0 |  6.0 |
           9.0 |              6.0 |             696.5 |     0.9845323707182935 |  506829.6121340176 |  3.0 |  7.0 |
           9.0 |              6.0 |             634.9 |      0.976337566582642 |  506829.6121340176 |  3.0 |  8.0 |
           9.0 |              6.0 |             622.2 |     0.8883825104030206 |  506829.6121340176 |  3.0 |  9.0 |
           9.0 |              6.0 |             599.7 |     0.9994084106891019 |  506829.6121340176 |  3.0 | 10.0 |
           9.0 |              6.0 |             578.6 |     0.9989482720664142 |  506829.6121340176 |  3.0 | 11.0 |
           9.0 |              6.0 |             564.4 |     0.9991230997814792 |  506829.6121340176 |  3.0 | 12.0 |
           9.0 |              6.0 |            1526.0 |      0.988302741325436 |   560087.844853607 |  4.0 |  5.0 |
           9.0 |              6.0 |            1441.0 |      0.995840993703324 |   560087.844853607 |  4.0 |  6.0 |
           9.0 |              6.0 |            1108.0 |     0.9966897684035646 |   560087.844853607 |  4.0 |  7.0 |
           9.0 |              6.0 |             959.7 |     0.9974703613396202 |   560087.844853607 |  4.0 |  8.0 |
           9.0 |              6.0 |             931.1 |      0.999947502437925 |   560087.844853607 |  4.0 |  9.0 |
           9.0 |              6.0 |             881.6 |     0.9985527222944788 |   560087.844853607 |  4.0 | 10.0 |
           9.0 |              6.0 |             836.6 |     0.9989505722324623 |   560087.844853607 |  4.0 | 11.0 |
           9.0 |              6.0 |             807.2 |     0.9992381347010755 |   560087.844853607 |  4.0 | 12.0 |
           9.0 |              6.0 |            2647.0 |      0.960948249528277 |  591694.1971023242 |  5.0 |  6.0 |
           9.0 |              6.0 |            1706.0 |     0.9268298233793493 |  591694.1971023242 |  5.0 |  7.0 |
           9.0 |              6.0 |            1378.0 |     0.9709570065288244 |  591694.1971023242 |  5.0 |  8.0 |
           9.0 |              6.0 |            1320.0 |      0.999985286589499 |  591694.1971023242 |  5.0 |  9.0 |
           9.0 |              6.0 |            1223.0 |     0.9865293264387848 |  591694.1971023242 |  5.0 | 10.0 |
           9.0 |              6.0 |            1138.0 |     0.9918134649121255 |  591694.1971023242 |  5.0 | 11.0 |
           9.0 |              6.0 |            1084.0 |      0.994649342767798 |  591694.1971023242 |  5.0 | 12.0 |
           9.0 |              6.0 |            2893.0 |     0.9995810173108467 |   615723.706610323 |  6.0 |  7.0 |
           9.0 |              6.0 |            2062.0 |     0.9998970797429962 |   615723.706610323 |  6.0 |  8.0 |
           9.0 |              6.0 |            1934.0 |     0.9306791831626534 |   615723.706610323 |  6.0 |  9.0 |
           9.0 |              6.0 |            1732.0 |      0.995382497558647 |   615723.706610323 |  6.0 | 10.0 |
           9.0 |              6.0 |            1567.0 |       0.99777587724958 |   615723.706610323 |  6.0 | 11.0 |
           9.0 |              6.0 |            1467.0 |     0.9985665179054528 |   615723.706610323 |  6.0 | 12.0 |
           9.0 |              6.0 |            2152.0 |      0.961169541515931 |   617752.748264413 |  7.0 |  8.0 |
           9.0 |              6.0 |            2013.0 |     0.5296634438916578 |   617752.748264413 |  7.0 |  9.0 |
           9.0 |              6.0 |            1795.0 |     0.9962079426740069 |   617752.748264413 |  7.0 | 10.0 |
           9.0 |              6.0 |            1618.0 |      0.999574112473646 |   617752.748264413 |  7.0 | 11.0 |
           9.0 |              6.0 |            1512.0 |     0.9998788913583522 |   617752.748264413 |  7.0 | 12.0 |
           9.0 |              6.0 |            2780.0 |     0.9937794228008234 |  631443.0244491398 |  8.0 |  9.0 |
           9.0 |              6.0 |            2381.0 |     0.9558725718846913 |  631443.0244491398 |  8.0 | 10.0 |
           9.0 |              6.0 |            2079.0 |     0.9776423358373578 |  631443.0244491398 |  8.0 | 11.0 |
           9.0 |              6.0 |            1907.0 |     0.9868246744444457 |  631443.0244491398 |  8.0 | 12.0 |
           9.0 |              6.0 |            3437.0 |      0.998840170236194 |  644334.1805010565 |  9.0 | 10.0 |
           9.0 |              6.0 |            2841.0 |     0.9986768896548763 |  644334.1805010565 |  9.0 | 11.0 |
           9.0 |              6.0 |            2529.0 |     0.9989551725804475 |  644334.1805010565 |  9.0 | 12.0 |
           9.0 |              6.0 |            3756.0 |     0.9429746114598995 |  652897.5913069726 | 10.0 | 11.0 |
           9.0 |              6.0 |            3229.0 |     0.9707334611535074 |  652897.5913069726 | 10.0 | 12.0 |
           9.0 |              6.0 |            4201.0 |     0.9996270507777922 |   660060.075460308 | 11.0 | 12.0 |
           9.0 |              6.0 |             295.4 |     0.9999970526954243 |   447290.229399336 |  1.0 |  2.0 |
           9.0 |              6.0 |             280.4 |     0.9980860830819156 |   447290.229399336 |  1.0 |  3.0 |
           9.0 |              6.0 |             255.8 |     0.9999433580109304 |   447290.229399336 |  1.0 |  4.0 |
           9.0 |              6.0 |             239.8 |     0.9999887404222848 |   447290.229399336 |  1.0 |  5.0 |
           9.0 |              6.0 |             231.4 |     0.9999970526954243 |   447290.229399336 |  1.0 |  6.0 |
           9.0 |              6.0 |             226.4 |     0.9999999037519477 |   447290.229399336 |  1.0 |  7.0 |
           9.0 |              6.0 |             223.6 |     0.9999755928958725 |   447290.229399336 |  1.0 |  8.0 |
           9.0 |              6.0 |             222.6 |     0.9999698365902066 |   447290.229399336 |  1.0 |  9.0 |
           9.0 |              6.0 |             220.7 |      0.999995256685958 |   447290.229399336 |  1.0 | 10.0 |
           9.0 |              6.0 |             427.0 |     0.9624983640175183 |  569633.4389777645 |  2.0 |  3.0 |
           9.0 |              6.0 |             372.5 |     0.9999888785758443 |  569633.4389777645 |  2.0 |  4.0 |
           9.0 |              6.0 |             339.6 |     0.9999943356567137 |  569633.4389777645 |  2.0 |  5.0 |
           9.0 |              6.0 |             322.9 |     0.9999866450956382 |  569633.4389777645 |  2.0 |  6.0 |
           9.0 |              6.0 |             313.2 |     0.9999707575968864 |  569633.4389777645 |  2.0 |  7.0 |
           9.0 |              6.0 |             307.8 |     0.9997559557637831 |  569633.4389777645 |  2.0 |  8.0 |
           9.0 |              6.0 |             306.1 |     0.9998876401603015 |  569633.4389777645 |  2.0 |  9.0 |
           9.0 |              6.0 |             302.4 |     0.9999977526794744 |  569633.4389777645 |  2.0 | 10.0 |
           9.0 |              6.0 |             458.9 |     0.5610479760324705 |  620150.1086628434 |  3.0 |  4.0 |
           9.0 |              6.0 |             410.0 |     0.9999767441609819 |  620150.1086628434 |  3.0 |  5.0 |
           9.0 |              6.0 |             385.9 |     0.9998841866767032 |  620150.1086628434 |  3.0 |  6.0 |
           9.0 |              6.0 |             372.2 |     0.9998169612387454 |  620150.1086628434 |  3.0 |  7.0 |
           9.0 |              6.0 |             364.6 |     0.9991875177048027 |  620150.1086628434 |  3.0 |  8.0 |
           9.0 |              6.0 |             362.1 |     0.9997771346011817 |  620150.1086628434 |  3.0 |  9.0 |
           9.0 |              6.0 |             357.0 |      0.999999210213625 |  620150.1086628434 |  3.0 | 10.0 |
           9.0 |              6.0 |             448.0 |      0.955652499428959 |  640842.8257369958 |  4.0 |  5.0 |
           9.0 |              6.0 |             419.5 |     0.9995280814445433 |  640842.8257369958 |  4.0 |  6.0 |
           9.0 |              6.0 |             403.3 |     0.9984630554687122 |  640842.8257369958 |  4.0 |  7.0 |
           9.0 |              6.0 |             394.4 |     0.9976541190945931 |  640842.8257369958 |  4.0 |  8.0 |
           9.0 |              6.0 |             391.5 |     0.9999971447985608 |  640842.8257369958 |  4.0 |  9.0 |
           9.0 |              6.0 |             385.5 |     0.9994958609854335 |  640842.8257369958 |  4.0 | 10.0 |
           9.0 |              6.0 |             433.4 |     0.9999332272617018 |  648474.4778146695 |  5.0 |  6.0 |
           9.0 |              6.0 |             416.1 |     0.9999532586150248 |  648474.4778146695 |  5.0 |  7.0 |
           9.0 |              6.0 |             406.6 |     0.9998503431686564 |  648474.4778146695 |  5.0 |  8.0 |
           9.0 |              6.0 |             403.6 |     0.9993232690683954 |  648474.4778146695 |  5.0 |  9.0 |
           9.0 |              6.0 |             397.2 |     0.9997076144461796 |  648474.4778146695 |  5.0 | 10.0 |
           9.0 |              6.0 |             437.6 |     0.9996822937364938 |  660292.4670489989 |  6.0 |  7.0 |
           9.0 |              6.0 |             427.2 |     0.9973555299307381 |  660292.4670489989 |  6.0 |  8.0 |
           9.0 |              6.0 |             423.8 |     0.9964373544408314 |  660292.4670489989 |  6.0 |  9.0 |
           9.0 |              6.0 |             416.8 |     0.9995119710851553 |  660292.4670489989 |  6.0 | 10.0 |
           9.0 |              6.0 |             432.2 |     0.9990149790321652 |  663014.2987222056 |  7.0 |  8.0 |
           9.0 |              6.0 |             428.8 |     0.9997849616763698 |  663014.2987222056 |  7.0 |  9.0 |
           9.0 |              6.0 |             421.6 |     0.9999974901853982 |  663014.2987222056 |  7.0 | 10.0 |
           9.0 |              6.0 |             446.5 |     0.9957034226889862 |  672260.6338665863 |  8.0 |  9.0 |
           9.0 |              6.0 |             438.7 |     0.9999058287040914 |  672260.6338665863 |  8.0 | 10.0 |
           9.0 |              6.0 |             451.4 |     0.9996316542410835 |  678696.3462118927 |  9.0 | 10.0 |
           9.0 |              6.0 |             323.1 |     0.9978838638941847 |  260422.1797967603 |  1.0 |  2.0 |
           9.0 |              6.0 |             277.7 |      0.978047618659773 |  260422.1797967603 |  1.0 |  3.0 |
           9.0 |              6.0 |             262.6 |     0.5741164622073276 |  260422.1797967603 |  1.0 |  4.0 |
           9.0 |              6.0 |             257.4 |     0.8542795299048483 |  260422.1797967603 |  1.0 |  5.0 |
           9.0 |              6.0 |             249.8 |     0.6151768727098681 |  260422.1797967603 |  1.0 |  6.0 |
           9.0 |              6.0 |             248.1 |     0.9705099672454897 |  260422.1797967603 |  1.0 |  7.0 |
           9.0 |              6.0 |             242.6 |     0.9998167310224089 |  260422.1797967603 |  1.0 |  8.0 |
           9.0 |              6.0 |             238.8 |     0.9998814238984125 |  260422.1797967603 |  1.0 |  9.0 |
           9.0 |              6.0 |             236.2 |     0.9998434364710251 |  260422.1797967603 |  1.0 | 10.0 |
           9.0 |              6.0 |             507.9 |     0.6637430704019088 |  423487.6305463327 |  2.0 |  3.0 |
           9.0 |              6.0 |             459.6 |    0.19142559250210858 |  423487.6305463327 |  2.0 |  4.0 |
           9.0 |              6.0 |             444.0 |     0.8933054837332952 |  423487.6305463327 |  2.0 |  5.0 |
           9.0 |              6.0 |             421.8 |      0.985825391709997 |  423487.6305463327 |  2.0 |  6.0 |
