 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |    i |    j |
           9.0 |              7.0 |             306.7 |     0.7112135136533291 |  53555.29932588792 |  1.0 |  2.0 |
           9.0 |              7.0 |             269.3 |     0.6039486293763798 |  53555.29932588792 |  1.0 |  3.0 |
           9.0 |              7.0 |             240.0 |     0.7550922276654339 |  53555.29932588792 |  1.0 |  4.0 |
           9.0 |              7.0 |             237.7 |     0.9966438702003566 |  53555.29932588792 |  1.0 |  5.0 |
           9.0 |              7.0 |             227.2 |      0.894128627502954 |  53555.29932588792 |  1.0 |  6.0 |
           9.0 |              7.0 |             221.1 |     0.9289663867799364 |  53555.29932588792 |  1.0 |  7.0 |
           9.0 |              7.0 |             219.4 |     0.9885303326428033 |  53555.29932588792 |  1.0 |  8.0 |
           9.0 |              7.0 |             217.5 |      0.965828463162061 |  53555.29932588792 |  1.0 |  9.0 |
           9.0 |              7.0 |             215.3 |     0.9740920524918584 |  53555.29932588792 |  1.0 | 10.0 |
           9.0 |              7.0 |             213.8 |     0.9810248308398962 |  53555.29932588792 |  1.0 | 11.0 |
           9.0 |              7.0 |             212.8 |     0.9855530357169512 |  53555.29932588792 |  1.0 | 12.0 |
           9.0 |              7.0 |            1646.0 |     0.7834296427662117 |  363764.0884394808 |  2.0 |  3.0 |
           9.0 |              7.0 |             941.8 |     0.9986814887425038 |  363764.0884394808 |  2.0 |  4.0 |
           9.0 |              7.0 |             908.4 |     0.9951762431696444 |  363764.0884394808 |  2.0 |  5.0 |
           9.0 |              7.0 |             771.6 |     0.9991760141996056 |  363764.0884394808 |  2.0 |  6.0 |
           9.0 |              7.0 |             705.9 |     0.9985228324578683 |  363764.0884394808 |  2.0 |  7.0 |
           9.0 |              7.0 |             688.3 |     0.9993439785247404 |  363764.0884394808 |  2.0 |  8.0 |
           9.0 |              7.0 |             670.5 |     0.9991161981074498 |  363764.0884394808 |  2.0 |  9.0 |
           9.0 |              7.0 |             649.9 |     0.9991230997814792 |  363764.0884394808 |  2.0 | 10.0 |
           9.0 |              7.0 |             636.4 |     0.9992473380667918 |  363764.0884394808 |  2.0 | 11.0 |
           9.0 |              7.0 |             627.1 |     0.9993715918008028 |  363764.0884394808 |  2.0 | 12.0 |
           9.0 |              7.0 |            1226.0 |     0.8721677022030954 |  388360.3264915988 |  3.0 |  4.0 |
           9.0 |              7.0 |            1170.0 |     0.9999918949333189 |  388360.3264915988 |  3.0 |  5.0 |
           9.0 |              7.0 |             952.5 |     0.9401561688035698 |  388360.3264915988 |  3.0 |  6.0 |
           9.0 |              7.0 |             854.4 |     0.9594006315159331 |  388360.3264915988 |  3.0 |  7.0 |
           9.0 |              7.0 |             828.8 |     0.9952908236644225 |  388360.3264915988 |  3.0 |  8.0 |
           9.0 |              7.0 |             803.0 |     0.9799862900929107 |  388360.3264915988 |  3.0 |  9.0 |
           9.0 |              7.0 |             773.7 |     0.9852126965355694 |  388360.3264915988 |  3.0 | 10.0 |
           9.0 |              7.0 |             754.7 |     0.9893273150684125 |  388360.3264915988 |  3.0 | 11.0 |
           9.0 |              7.0 |             741.7 |     0.9919961805322863 |  388360.3264915988 |  3.0 | 12.0 |
           9.0 |              7.0 |            1417.0 |     0.9966438702003566 |  403248.7347821713 |  4.0 |  5.0 |
           9.0 |              7.0 |            1110.0 |     0.9997925586020641 |  403248.7347821713 |  4.0 |  6.0 |
           9.0 |              7.0 |             979.1 |     0.9999770665154502 |  403248.7347821713 |  4.0 |  7.0 |
           9.0 |              7.0 |             945.6 |     0.9996822937364938 |  403248.7347821713 |  4.0 |  8.0 |
           9.0 |              7.0 |             912.2 |     0.9999603963206469 |  403248.7347821713 |  4.0 |  9.0 |
           9.0 |              7.0 |             874.6 |     0.9999914804714473 |  403248.7347821713 |  4.0 | 10.0 |
           9.0 |              7.0 |             850.3 |     0.9999981395129756 |  403248.7347821713 |  4.0 | 11.0 |
           9.0 |              7.0 |             833.8 |     0.9999998222404466 |  403248.7347821713 |  4.0 | 12.0 |
           9.0 |              7.0 |            1068.0 |     0.9926130942961873 |    411747.47057048 |  5.0 |  7.0 |
           9.0 |              7.0 |            1028.0 |     0.7816278045883296 |    411747.47057048 |  5.0 |  8.0 |
           9.0 |              7.0 |             989.0 |     0.9974703613396202 |    411747.47057048 |  5.0 |  9.0 |
           9.0 |              7.0 |             944.9 |      0.999948883917407 |    411747.47057048 |  5.0 | 10.0 |
           9.0 |              7.0 |             916.7 |     0.9999712181005443 |    411747.47057048 |  5.0 | 11.0 |
           9.0 |              7.0 |             897.5 |     0.9997985440993287 |    411747.47057048 |  5.0 | 12.0 |
           9.0 |              7.0 |            1411.0 |     0.9961161927569786 | 434498.82634067815 |  6.0 |  7.0 |
           9.0 |              7.0 |            1343.0 |     0.9970340723097799 | 434498.82634067815 |  6.0 |  8.0 |
           9.0 |              7.0 |            1276.0 |     0.9991277009239848 | 434498.82634067815 |  6.0 |  9.0 |
           9.0 |              7.0 |            1204.0 |     0.9993508817722265 | 434498.82634067815 |  6.0 | 10.0 |
           9.0 |              7.0 |            1159.0 |     0.9995510966941188 | 434498.82634067815 |  6.0 | 11.0 |
           9.0 |              7.0 |            1128.0 |     0.9996661808915173 | 434498.82634067815 |  6.0 | 12.0 |
           9.0 |              7.0 |            1912.0 |     0.9936878965484413 | 456657.14508501865 |  7.0 |  8.0 |
           9.0 |              7.0 |            1781.0 |     0.9863476177576179 | 456657.14508501865 |  7.0 |  9.0 |
           9.0 |              7.0 |            1643.0 |     0.9890312180442722 | 456657.14508501865 |  7.0 | 10.0 |
           9.0 |              7.0 |            1559.0 |     0.9918134649121255 | 456657.14508501865 |  7.0 | 11.0 |
           9.0 |              7.0 |            1505.0 |     0.9937565404474207 | 456657.14508501865 |  7.0 | 12.0 |
           9.0 |              7.0 |            2018.0 |     0.9933676210422518 | 463245.22738706117 |  8.0 |  9.0 |
           9.0 |              7.0 |            1842.0 |      0.995840993703324 | 463245.22738706117 |  8.0 | 10.0 |
           9.0 |              7.0 |            1738.0 |     0.9972636743218848 | 463245.22738706117 |  8.0 | 11.0 |
           9.0 |              7.0 |            1670.0 |     0.9980860830819156 | 463245.22738706117 |  8.0 | 12.0 |
           9.0 |              7.0 |            2178.0 |     0.9976541190945931 |  471601.4588992857 |  9.0 | 10.0 |
           9.0 |              7.0 |            2034.0 |     0.9986377982651568 |  471601.4588992857 |  9.0 | 11.0 |
           9.0 |              7.0 |            1942.0 |     0.9991300015031837 |  471601.4588992857 |  9.0 | 12.0 |
           9.0 |              7.0 |            2300.0 |     0.9994889567364699 |   477299.437569172 | 10.0 | 11.0 |
           9.0 |              7.0 |            2183.0 |     0.9997513517280635 |   477299.437569172 | 10.0 | 12.0 |
           9.0 |              7.0 |            2553.0 |     0.9984446632689317 |  483930.2711540397 | 11.0 | 12.0 |
           9.0 |              7.0 |             633.2 |     0.9937336586208975 |  270131.1057450448 |  1.0 |  2.0 |
           9.0 |              7.0 |             526.8 |     0.9960932565980787 |  270131.1057450448 |  1.0 |  3.0 |
           9.0 |              7.0 |             485.8 |     0.9975162976050281 |  270131.1057450448 |  1.0 |  4.0 |
           9.0 |              7.0 |             465.0 |     0.9983412134576671 |  270131.1057450448 |  1.0 |  5.0 |
           9.0 |              7.0 |             452.8 |     0.9988493699365052 |  270131.1057450448 |  1.0 |  6.0 |
           9.0 |              7.0 |             445.0 |     0.9991714128346094 |  270131.1057450448 |  1.0 |  7.0 |
           9.0 |              7.0 |             439.7 |      0.999387699897526 |  270131.1057450448 |  1.0 |  8.0 |
           9.0 |              7.0 |             759.3 |     0.9051071590275195 |  328182.9630747561 |  2.0 |  3.0 |
           9.0 |              7.0 |             676.9 |     0.9516998481129437 |  328182.9630747561 |  2.0 |  4.0 |
           9.0 |              7.0 |             637.2 |     0.9716279515771061 |  328182.9630747561 |  2.0 |  5.0 |
           9.0 |              7.0 |             614.5 |     0.9818609774355773 |  328182.9630747561 |  2.0 |  6.0 |
           9.0 |              7.0 |             600.3 |      0.987620281717909 |  328182.9630747561 |  2.0 |  7.0 |
           9.0 |              7.0 |             590.7 |     0.9911514028617783 |  328182.9630747561 |  2.0 |  8.0 |
           9.0 |              7.0 |            1083.0 |     0.9860297080963919 |  392763.7086225979 |  3.0 |  5.0 |
           9.0 |              7.0 |            1020.0 |     0.9919733392390815 |  392763.7086225979 |  3.0 |  6.0 |
           9.0 |              7.0 |             981.0 |     0.9949013037977806 |  392763.7086225979 |  3.0 |  7.0 |
           9.0 |              7.0 |             955.6 |     0.9965291339393061 |  392763.7086225979 |  3.0 |  8.0 |
           9.0 |              7.0 |            1546.0 |     0.9616122783836647 |  420354.7288459604 |  4.0 |  5.0 |
           9.0 |              7.0 |            1419.0 |      0.977619825049836 |  420354.7288459604 |  4.0 |  6.0 |
           9.0 |              7.0 |            1346.0 |     0.9856665082352489 |  420354.7288459604 |  4.0 |  7.0 |
           9.0 |              7.0 |            1298.0 |     0.9901933378150153 |  420354.7288459604 |  4.0 |  8.0 |
           9.0 |              7.0 |            1448.0 |      0.999842055137224 | 421747.98219136737 |  5.0 |  6.0 |
