 Atomic Number | Ionization State | Wavelength (Ang.) |              g_i*f_ik |        E_i(cm^-1) |     i |     j |
           9.0 |              1.0 |  806.969970703125 |   0.18197007477283478 |               0.0 | 333.0 | 666.0 |
           9.0 |              1.0 | 809.6069946289062 |   0.10471285134553909 | 404.1409912109375 | 333.0 | 666.0 |
           9.0 |              1.0 | 951.8710327148438 |   0.06576577574014664 |               0.0 | 333.0 | 666.0 |
           9.0 |              1.0 |  954.824951171875 |     0.327340692281723 |               0.0 | 333.0 | 666.0 |
           9.0 |              1.0 | 955.5449829101562 |   0.12971791625022888 | 404.1409912109375 | 333.0 | 666.0 |
           9.0 |              1.0 | 958.5240478515625 |   0.06353309005498886 | 404.1409912109375 | 333.0 | 666.0 |
           9.0 |              1.0 |   6049.2099609375 |  0.005128614138811827 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |   6151.4599609375 |  0.004265796393156052 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |     6212.58984375 |   0.00213796179741621 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |    6241.376953125 |     0.676082968711853 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6350.26318359375 |    0.5623413324356079 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6415.42431640625 |    0.3388441503047943 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |   6465.2900390625 | 0.0010000000474974513 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |   6571.5087890625 |  0.015135610476136208 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |     6582.20703125 |  0.006456541363149881 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |   6652.2412109375 |   0.00933254323899746 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |       6692.328125 |   0.05888436362147331 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6710.13427734375 |   0.02951209433376789 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6775.85400390625 |    0.3981071710586548 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6797.40283203125 |   0.08128304779529572 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |  6836.14990234375 |    0.6165950298309326 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |       6857.921875 |    2.7542285919189453 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |    6872.111328125 |    0.5623413324356079 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |  6904.37939453125 |    1.5135612487792969 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |   6911.7216796875 |    0.5888436436653137 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |   6968.2705078125 |   0.09772372245788574 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |  7039.40966796875 |     1.258925437927246 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |   7129.8544921875 |    0.7585775852203369 |      105056.28125 | 333.0 | 666.0 |
           9.0 |              1.0 |  7204.34521484375 |    0.4677351415157318 |      105056.28125 | 333.0 | 666.0 |
           9.0 |              1.0 |    7300.990234375 |  0.008709637448191643 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |       7311.046875 |     3.388441324234009 |     123920.265625 | 333.0 | 666.0 |
           9.0 |              1.0 |  7313.03271484375 |    0.7244359850883484 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |  7316.31787109375 |    2.5118863582611084 |    123921.1484375 | 333.0 | 666.0 |
           9.0 |              1.0 |  7333.97705078125 |    0.7762471437454224 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |   7400.7255859375 |    1.7378008365631104 |    102405.7109375 | 333.0 | 666.0 |
           9.0 |              1.0 |  7427.68994140625 |    0.6456542611122131 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |    7478.599609375 |  0.017378007993102074 |      105056.28125 | 333.0 | 666.0 |
           9.0 |              1.0 |   7484.7841796875 |    0.2187761515378952 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |    7491.216796875 |   0.09120108932256699 |      105056.28125 | 333.0 | 666.0 |
           9.0 |              1.0 |  7516.98779296875 |   0.10964782536029816 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |  7554.31396484375 |    0.4570881724357605 |       102680.4375 | 333.0 | 666.0 |
           9.0 |              1.0 |        7575.46875 |    0.4570881724357605 |    102840.3828125 | 333.0 | 666.0 |
           9.0 |              1.0 |    7609.263671875 |   0.30902954936027527 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |    7756.830078125 |    1.7378008365631104 |     104731.046875 | 333.0 | 666.0 |
           9.0 |              1.0 |   7802.3662109375 |    0.9120108485221863 |      105056.28125 | 333.0 | 666.0 |
           9.0 |              1.0 |    7824.740234375 |   0.10471285134553909 |      115917.90625 | 333.0 | 666.0 |
