 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
           9.0 |              2.0 |   4789.44677734375 |     7.941499902131e-09 |               0.0 |   1.0 |   4.0 |
           9.0 |              2.0 |      2225.58203125 |  7.850000163789339e-12 |               0.0 |   1.0 |   5.0 |
           9.0 |              2.0 |  606.8040161132812 |     1.1749000549316406 |               0.0 |   1.0 |   6.0 |
           9.0 |              2.0 |  605.6690063476562 |    0.38904500007629395 |               0.0 |   1.0 |   7.0 |
           9.0 |              2.0 |    546.85302734375 |    0.14824999868869781 |               0.0 |   1.0 |  10.0 |
           9.0 |              2.0 |  471.9960021972656 |    0.31550002098083496 |               0.0 |   1.0 |  17.0 |
           9.0 |              2.0 |  471.9490051269531 |    0.05610499903559685 |               0.0 |   1.0 |  18.0 |
           9.0 |              2.0 |  471.9200134277344 |  0.0037931499537080526 |               0.0 |   1.0 |  19.0 |
           9.0 |              2.0 |   435.635009765625 |    0.47543999552726746 |               0.0 |   1.0 |  23.0 |
           9.0 |              2.0 |  435.6319885253906 |    0.15847501158714294 |               0.0 |   1.0 |  24.0 |
           9.0 |              2.0 |     430.9169921875 |    0.00588850025087595 |               0.0 |   1.0 |  31.0 |
           9.0 |              2.0 |  430.9150085449219 |    0.08912499994039536 |               0.0 |   1.0 |  32.0 |
           9.0 |              2.0 |  430.9110107421875 |     0.4897800087928772 |               0.0 |   1.0 |  33.0 |
           9.0 |              2.0 |   422.010986328125 |    0.16175000369548798 |               0.0 |   1.0 |  38.0 |
           9.0 |              2.0 |  393.5379943847656 |     1.1763499975204468 |               0.0 |   1.0 |  56.0 |
           9.0 |              2.0 |  387.5090026855469 |    0.42822498083114624 |               0.0 |   1.0 |  66.0 |
           9.0 |              2.0 | 387.11199951171875 |    0.06728500127792358 |               0.0 |   1.0 |  70.0 |
           9.0 |              2.0 |  386.6579895019531 |     1.2532498836517334 |               0.0 |   1.0 |  72.0 |
           9.0 |              2.0 |  386.0459899902344 |    0.35458502173423767 |               0.0 |   1.0 |  74.0 |
           9.0 |              2.0 |  378.5039978027344 |     0.6452000141143799 |               0.0 |   1.0 |  82.0 |
           9.0 |              2.0 |  377.4259948730469 |  0.0019054500153288245 |               0.0 |   1.0 |  88.0 |
           9.0 |              2.0 |  377.4179992675781 |    0.02137949876487255 |               0.0 |   1.0 |  89.0 |
           9.0 |              2.0 |   376.947998046875 |  0.0011748999822884798 |               0.0 |   1.0 |  94.0 |
           9.0 |              2.0 |    376.68701171875 |    0.32359498739242554 |               0.0 |   1.0 |  95.0 |
           9.0 |              2.0 |  376.6499938964844 |   0.005247999913990498 |               0.0 |   1.0 |  96.0 |
           9.0 |              2.0 |  376.6239929199219 |   0.012333500199019909 |               0.0 |   1.0 |  97.0 |
