 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
           9.0 |              3.0 |  2932.777099609375 |  8.261999591419045e-12 |            0.0 |   1.0 |   2.0 |
           9.0 |              3.0 |  2929.699951171875 | 5.2127999833340155e-11 |            0.0 |   1.0 |   3.0 |
           9.0 |              3.0 | 1939.4649658203125 | 1.0880799594659152e-09 |            0.0 |   1.0 |   4.0 |
           9.0 |              3.0 |   1939.43505859375 |  5.452799989313917e-09 |            0.0 |   1.0 |   5.0 |
           9.0 |              3.0 |  658.3289794921875 |     0.5012000203132629 |            0.0 |   1.0 |   6.0 |
           9.0 |              3.0 |  656.8690185546875 |     0.3311319947242737 |            0.0 |   1.0 |   7.0 |
           9.0 |              3.0 |  656.1209716796875 |    0.16595999896526337 |            0.0 |   1.0 |   8.0 |
           9.0 |              3.0 | 475.64300537109375 | 0.00013107199629303068 |            0.0 |   1.0 |   9.0 |
           9.0 |              3.0 |  475.6099853515625 | 1.5048400200612377e-05 |            0.0 |   1.0 |  10.0 |
           9.0 |              3.0 |  402.8009948730469 |   5.59879990760237e-05 |            0.0 |   1.0 |  11.0 |
           9.0 |              3.0 |  375.1470031738281 |   8.71680003911024e-06 |            0.0 |   1.0 |  12.0 |
           9.0 |              3.0 |  374.6090087890625 |   2.29096008297347e-06 |            0.0 |   1.0 |  13.0 |
           9.0 |              3.0 |  315.7460021972656 |    0.06760799884796143 |            0.0 |   1.0 |  14.0 |
           9.0 |              3.0 |  315.5360107421875 |    0.13489599525928497 |            0.0 |   1.0 |  15.0 |
           9.0 |              3.0 |   315.218994140625 |    0.19952799379825592 |            0.0 |   1.0 |  16.0 |
           9.0 |              3.0 |  308.1730041503906 |  4.488400008995086e-05 |            0.0 |   1.0 |  17.0 |
           9.0 |              3.0 |  307.8089904785156 | 0.00018705999536905438 |            0.0 |   1.0 |  18.0 |
           9.0 |              3.0 |   290.677001953125 |  0.0001040679999277927 |            0.0 |   1.0 |  19.0 |
           9.0 |              3.0 | 290.67401123046875 | 1.1949199688388035e-05 |            0.0 |   1.0 |  20.0 |
           9.0 |              3.0 | 266.19500732421875 | 1.9616400095401332e-05 |            0.0 |   1.0 |  33.0 |
           9.0 |              3.0 |  256.7229919433594 |   0.009772400371730328 |            0.0 |   1.0 |  40.0 |
           9.0 |              3.0 |     256.5830078125 |    0.00346736004576087 |            0.0 |   1.0 |  41.0 |
           9.0 |              3.0 |  256.5069885253906 |   0.027498800307512283 |            0.0 |   1.0 |  43.0 |
           9.0 |              3.0 | 255.86300659179688 |     0.8511199951171875 |            0.0 |   1.0 |  45.0 |
           9.0 |              3.0 | 255.77000427246094 |      0.616599977016449 |            0.0 |   1.0 |  46.0 |
           9.0 |              3.0 | 255.72300720214844 |    0.32359200716018677 |            0.0 |   1.0 |  47.0 |
           9.0 |              3.0 | 255.58599853515625 |    0.02137959934771061 |            0.0 |   1.0 |  48.0 |
           9.0 |              3.0 |  252.9929962158203 |   6.88680011080578e-05 |            0.0 |   1.0 |  51.0 |
           9.0 |              3.0 | 252.91799926757812 |  0.0005469999741762877 |            0.0 |   1.0 |  52.0 |
           9.0 |              3.0 | 242.01600646972656 |  8.010400165403553e-08 |            0.0 |   1.0 |  59.0 |
           9.0 |              3.0 | 240.85699462890625 |   0.012589200399816036 |            0.0 |   1.0 |  60.0 |
           9.0 |              3.0 | 240.73500061035156 |    0.02454720064997673 |            0.0 |   1.0 |  61.0 |
           9.0 |              3.0 | 240.54600524902344 |    0.03630800172686577 |            0.0 |   1.0 |  62.0 |
           9.0 |              3.0 |  240.2779998779297 | 0.00032669599750079215 |            0.0 |   1.0 |  64.0 |
           9.0 |              3.0 |  239.8769989013672 |     0.9265599846839905 |            0.0 |   1.0 |  65.0 |
           9.0 |              3.0 |  239.4720001220703 | 2.5523600015731063e-06 |            0.0 |   1.0 |  66.0 |
           9.0 |              3.0 | 239.25100708007812 | 1.1938000170630403e-05 |            0.0 |   1.0 |  67.0 |
           9.0 |              3.0 |  239.1269989013672 | 0.00012992799747735262 |            0.0 |   1.0 |  68.0 |
           9.0 |              3.0 |  239.0919952392578 |  3.661719892988913e-05 |            0.0 |   1.0 |  69.0 |
           9.0 |              3.0 | 237.52699279785156 | 0.00018790000467561185 |            0.0 |   1.0 |  70.0 |
           9.0 |              3.0 |  226.8470001220703 |  3.995720021521265e-07 |            0.0 |   1.0 |  88.0 |
           9.0 |              3.0 | 226.16900634765625 |    0.20417200028896332 |            0.0 |   1.0 |  93.0 |
           9.0 |              3.0 |  226.1020050048828 |   0.014125199988484383 |            0.0 |   1.0 |  94.0 |
           9.0 |              3.0 |   226.093994140625 |    0.22387200593948364 |            0.0 |   1.0 |  95.0 |
           9.0 |              3.0 | 226.05499267578125 |    0.13489599525928497 |            0.0 |   1.0 |  96.0 |
           9.0 |              3.0 | 224.74099731445312 |  0.0021357599180191755 |            0.0 |   1.0 | 104.0 |
           9.0 |              3.0 | 224.71600341796875 |  0.0010964799439534545 |            0.0 |   1.0 | 105.0 |
           9.0 |              3.0 | 220.95599365234375 |   0.004677200224250555 |            0.0 |   1.0 | 109.0 |
           9.0 |              3.0 | 220.83999633789062 |   0.009119999594986439 |            0.0 |   1.0 | 110.0 |
           9.0 |              3.0 | 220.67599487304688 |   0.012882400304079056 |            0.0 |   1.0 | 111.0 |
           9.0 |              3.0 | 215.33200073242188 |  3.763159838854335e-05 |            0.0 |   1.0 | 134.0 |
           9.0 |              3.0 | 215.08200073242188 | 2.4729199594730744e-06 |            0.0 |   1.0 | 137.0 |
           9.0 |              3.0 | 215.00999450683594 |     0.9588000178337097 |            0.0 |   1.0 | 139.0 |
           9.0 |              3.0 |    214.60400390625 |    0.19582800567150116 |            0.0 |   1.0 | 141.0 |
           9.0 |              3.0 | 214.14100646972656 | 4.5084001612849534e-05 |            0.0 |   1.0 | 154.0 |
           9.0 |              3.0 | 213.75399780273438 | 5.9403999330243096e-05 |            0.0 |   1.0 | 156.0 |
           9.0 |              3.0 |  211.7259979248047 |   0.020095599815249443 |            0.0 |   1.0 | 164.0 |
           9.0 |              3.0 |  209.3350067138672 |     0.6577200293540955 |            0.0 |   1.0 | 182.0 |
           9.0 |              3.0 |  208.0780029296875 |   0.009825999848544598 |            0.0 |   1.0 | 200.0 |
           9.0 |              3.0 | 207.28399658203125 |    0.07467599958181381 |            0.0 |   1.0 | 208.0 |
           9.0 |              3.0 | 206.22500610351562 |     0.5458400249481201 |            0.0 |   1.0 | 223.0 |
           9.0 |              3.0 | 206.06399536132812 |    0.13675199449062347 |            0.0 |   1.0 | 228.0 |
           9.0 |              3.0 |  204.9199981689453 |   0.010212000459432602 |            0.0 |   1.0 | 245.0 |
           9.0 |              3.0 | 204.04400634765625 |     0.2306399941444397 |            0.0 |   1.0 | 262.0 |
           9.0 |              3.0 |  203.2779998779297 |    0.00789439957588911 |            0.0 |   1.0 | 283.0 |
           9.0 |              3.0 | 202.67300415039062 |    0.16291600465774536 |            0.0 |   1.0 | 302.0 |
           9.0 |              3.0 | 202.13900756835938 |    0.00562559999525547 |            0.0 |   1.0 | 321.0 |
           9.0 |              3.0 |  201.7050018310547 |    0.11858399957418442 |            0.0 |   1.0 | 343.0 |
           9.0 |              3.0 |     5721.462890625 |   1.93103999457378e-09 |  34087.3984375 |   2.0 |   4.0 |
           9.0 |              3.0 |     5721.201171875 | 1.3985399505145324e-08 |  34087.3984375 |   2.0 |   5.0 |
           9.0 |              3.0 |  848.8079833984375 | 0.00011395799810998142 |  34087.3984375 |   2.0 |   6.0 |
           9.0 |              3.0 |  846.3820190429688 |  4.530119895207463e-06 |  34087.3984375 |   2.0 |   7.0 |
