 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |    i |    j |
           9.0 |              9.0 |             671.3 |     0.9574144987514859 |                0.0 |  1.0 |  2.0 |
           9.0 |              9.0 |             648.8 |     0.9974473940001952 |                0.0 |  1.0 |  3.0 |
           9.0 |              9.0 |             638.3 |     0.9988033722822611 |                0.0 |  1.0 |  4.0 |
           9.0 |              9.0 |             632.7 |     0.9994774497608475 |                0.0 |  1.0 |  5.0 |
           9.0 |              9.0 |             629.4 |     0.9997559557637831 |                0.0 |  1.0 |  6.0 |
           9.0 |              9.0 |             627.2 |     0.9998749774454214 |                0.0 |  1.0 |  7.0 |
           9.0 |              9.0 |             625.8 |     0.9999309248330094 |                0.0 |  1.0 |  8.0 |
           9.0 |              9.0 |             624.7 |     0.9999592450743585 |                0.0 |  1.0 |  9.0 |
           9.0 |              9.0 |            2869.0 |     0.9940082753158984 |  119153.3061676225 |  2.0 |  3.0 |
           9.0 |              9.0 |            2674.0 |      0.997217749689941 |  119153.3061676225 |  2.0 |  4.0 |
           9.0 |              9.0 |            2579.0 |      0.998492943515955 |  119153.3061676225 |  2.0 |  5.0 |
           9.0 |              9.0 |            2525.0 |     0.9990908923772253 |  119153.3061676225 |  2.0 |  6.0 |
           9.0 |              9.0 |            2491.0 |     0.9994084106891019 |  119153.3061676225 |  2.0 |  7.0 |
           9.0 |              9.0 |            2468.0 |     0.9995925254788414 |  119153.3061676225 |  2.0 |  8.0 |
           9.0 |              9.0 |            2452.0 |     0.9997076144461796 |  119153.3061676225 |  2.0 |  9.0 |
           9.0 |              9.0 |            3787.0 |     0.9969192911276372 | 130123.94305262099 |  3.0 |  4.0 |
           9.0 |              9.0 |            3598.0 |     0.9984998408846792 | 130123.94305262099 |  3.0 |  5.0 |
           9.0 |              9.0 |            3493.0 |      0.999150706954352 | 130123.94305262099 |  3.0 |  6.0 |
           9.0 |              9.0 |            3428.0 |     0.9994705456390638 | 130123.94305262099 |  3.0 |  7.0 |
           9.0 |              9.0 |            3385.0 |     0.9996454647581562 | 130123.94305262099 |  3.0 |  8.0 |
           9.0 |              9.0 |            3355.0 |     0.9997513517280635 | 130123.94305262099 |  3.0 |  9.0 |
           9.0 |              9.0 |            4230.0 |     0.9983871898282206 | 134274.10604688604 |  4.0 |  5.0 |
           9.0 |              9.0 |            4086.0 |     0.9991415044786371 | 134274.10604688604 |  4.0 |  6.0 |
           9.0 |              9.0 |            3998.0 |     0.9994843539303234 | 134274.10604688604 |  4.0 |  7.0 |
           9.0 |              9.0 |            3939.0 |     0.9996661808915173 | 134274.10604688604 |  4.0 |  8.0 |
           9.0 |              9.0 |            3899.0 |     0.9997697679981565 | 134274.10604688604 |  4.0 |  9.0 |
           9.0 |              9.0 |            4451.0 |     0.9989712739652317 |  136277.9354059765 |  5.0 |  6.0 |
           9.0 |              9.0 |            4346.0 |     0.9994084106891019 |  136277.9354059765 |  5.0 |  7.0 |
           9.0 |              9.0 |            4277.0 |     0.9996270507777922 |  136277.9354059765 |  5.0 |  8.0 |
           9.0 |              9.0 |            4563.0 |     0.9992289314201249 | 137367.54502465038 |  6.0 |  7.0 |
           9.0 |              9.0 |            4487.0 |     0.9995303829456534 | 137367.54502465038 |  6.0 |  8.0 |
           9.0 |              9.0 |            4434.0 |     0.9996915011930848 | 137367.54502465038 |  6.0 |  9.0 |
           9.0 |              9.0 |            4619.0 |     0.9995718108718452 | 138003.33333333334 |  7.0 |  8.0 |
           9.0 |              9.0 |            4660.0 |     0.9998904029557684 | 138458.25083006342 |  8.0 |  9.0 |
           9.0 |              9.0 |            4110.0 |     0.9880069509472678 | 105594.13391689306 |  1.0 |  2.0 |
           9.0 |              9.0 |            3486.0 |     0.9987918731996761 | 105594.13391689306 |  1.0 |  3.0 |
           9.0 |              9.0 |            3248.0 |     0.9997352377700126 | 105594.13391689306 |  1.0 |  4.0 |
           9.0 |              9.0 |            3129.0 |      0.999912966071157 | 105594.13391689306 |  1.0 |  5.0 |
           9.0 |              9.0 |            3060.0 |     0.9999633895671997 | 105594.13391689306 |  1.0 |  6.0 |
           9.0 |              9.0 |            3016.0 |     0.9999818557940753 | 105594.13391689306 |  1.0 |  7.0 |
           9.0 |              9.0 |            2986.0 |     0.9999898456512957 | 105594.13391689306 |  1.0 |  8.0 |
           9.0 |              9.0 |           12470.0 |     0.9591797467879694 | 126240.15343595935 |  2.0 |  3.0 |
           9.0 |              9.0 |            9881.0 |     0.9931617841582041 | 126240.15343595935 |  2.0 |  4.0 |
           9.0 |              9.0 |            8854.0 |     0.9978126373484996 | 126240.15343595935 |  2.0 |  5.0 |
           9.0 |              9.0 |            8322.0 |     0.9990402828395991 | 126240.15343595935 |  2.0 |  6.0 |
           9.0 |              9.0 |            8005.0 |      0.999493559563813 | 126240.15343595935 |  2.0 |  7.0 |
           9.0 |              9.0 |            7799.0 |     0.9996984068411807 | 126240.15343595935 |  2.0 |  8.0 |
           9.0 |              9.0 |           12250.0 |     0.9968504287611265 | 128192.46201831172 |  3.0 |  4.0 |
           9.0 |              9.0 |           10710.0 |     0.9985458245604639 | 128192.46201831172 |  3.0 |  5.0 |
           9.0 |              9.0 |            9938.0 |     0.9991829162868312 | 128192.46201831172 |  3.0 |  6.0 |
           9.0 |              9.0 |            9489.0 |     0.9994889567364699 | 128192.46201831172 |  3.0 |  7.0 |
           9.0 |              9.0 |            9201.0 |     0.9996546718755381 | 128192.46201831172 |  3.0 |  8.0 |
           9.0 |              9.0 |           20760.0 |       0.98632490652588 |  132712.0399436563 |  4.0 |  5.0 |
           9.0 |              9.0 |           18060.0 |     0.9951991582132867 |  132712.0399436563 |  4.0 |  6.0 |
           9.0 |              9.0 |           16630.0 |     0.9977483080641308 |  132712.0399436563 |  4.0 |  7.0 |
           9.0 |              9.0 |           15760.0 |     0.9987550770250391 |  132712.0399436563 |  4.0 |  8.0 |
           9.0 |              9.0 |           21050.0 |      0.998269954267472 | 133498.00583559717 |  5.0 |  6.0 |
           9.0 |              9.0 |           19130.0 |     0.9990057778065449 | 133498.00583559717 |  5.0 |  7.0 |
           9.0 |              9.0 |           18000.0 |     0.9993646884102574 | 133498.00583559717 |  5.0 |  8.0 |
           9.0 |              9.0 |           31640.0 |     0.9923160138670235 | 135562.12546533858 |  6.0 |  7.0 |
           9.0 |              9.0 |           28650.0 |      0.996299701041904 | 135562.12546533858 |  6.0 |  8.0 |
           9.0 |              9.0 |           32290.0 |     0.9991161981074498 | 135954.56031793947 |  7.0 |  8.0 |
           9.0 |              9.0 |             791.3 |     0.7691304402866096 |                0.0 |  1.0 |  2.0 |
           9.0 |              9.0 |             779.3 |     0.9431917643879367 |                0.0 |  1.0 |  3.0 |
           9.0 |              9.0 |             752.7 |     0.9090755973601952 |                0.0 |  1.0 |  4.0 |
           9.0 |              9.0 |             748.3 |     0.9689469499787371 |                0.0 |  1.0 |  5.0 |
           9.0 |              9.0 |             736.9 |      0.955652499428959 |                0.0 |  1.0 |  6.0 |
           9.0 |              9.0 |             734.8 |     0.9824942107099425 |                0.0 |  1.0 |  7.0 |
           9.0 |              9.0 |             728.8 |     0.9752141632264126 |                0.0 |  1.0 |  8.0 |
           9.0 |              9.0 |             727.6 |     0.9893956577386906 |                0.0 |  1.0 |  9.0 |
           9.0 |              9.0 |             724.1 |     0.9846683982881519 |                0.0 |  1.0 | 10.0 |
           9.0 |              9.0 |             723.4 |     0.9931389160262929 |                0.0 |  1.0 | 11.0 |
           9.0 |              9.0 |             721.1 |     0.9898969815978311 |                0.0 |  1.0 | 12.0 |
           9.0 |              9.0 |             720.6 |     0.9953366595561001 |                0.0 |  1.0 | 13.0 |
           9.0 |              9.0 |             719.1 |     0.9929788538456951 |                0.0 |  1.0 | 14.0 |
           9.0 |              9.0 |             718.8 |     0.9966897684035646 |                0.0 |  1.0 | 15.0 |
           9.0 |              9.0 |             717.7 |     0.9949242125106371 |                0.0 |  1.0 | 16.0 |
           9.0 |              9.0 |           11050.0 |    0.03019951720402016 |  119153.3061676225 |  2.0 |  3.0 |
           9.0 |              9.0 |            7367.0 |     0.8076068613289757 |  119153.3061676225 |  2.0 |  4.0 |
