 Atomic Number | Ionization State | Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
           9.0 |              5.0 | 464.3699951171875 |  0.18923436105251312 |        0.0 | 333.0 | 666.0 |
           9.0 |              5.0 | 465.3699951171875 |  0.37153521180152893 |        0.0 | 333.0 | 666.0 |
           9.0 |              5.0 |   465.97998046875 |   0.9549925923347473 |      744.5 | 333.0 | 666.0 |
           9.0 |              5.0 | 466.9900207519531 |   0.2004472017288208 |      744.5 | 333.0 | 666.0 |
           9.0 |              5.0 | 506.1600036621094 |  0.12246161699295044 |        0.0 | 333.0 | 666.0 |
           9.0 |              5.0 | 508.0799865722656 |  0.21577443182468414 |      744.5 | 333.0 | 666.0 |
           9.0 |              5.0 |  654.030029296875 |  0.20230191946029663 |        0.0 | 333.0 | 666.0 |
           9.0 |              5.0 |   657.22998046875 | 0.038194429129362106 |      744.5 | 333.0 | 666.0 |
           9.0 |              5.0 | 657.3300170898438 |   0.3580964207649231 |      744.5 | 333.0 | 666.0 |
           9.0 |              5.0 | 2451.369873046875 |   0.6208690404891968 |   524751.0 | 333.0 | 666.0 |
           9.0 |              5.0 | 2462.070068359375 |  0.30902954936027527 |   524751.0 | 333.0 | 666.0 |
%NIST
