 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |    i |    j |
           9.0 |              8.0 |            2625.0 |     0.4920395356814509 | 229354.05523694542 |  1.0 |  2.0 |
           9.0 |              8.0 |            1426.0 |     0.9693932693002556 | 229354.05523694542 |  1.0 |  3.0 |
           9.0 |              8.0 |            1201.0 |     0.9915851177126435 | 229354.05523694542 |  1.0 |  4.0 |
           9.0 |              8.0 |            1111.0 |     0.9963226419544177 | 229354.05523694542 |  1.0 |  5.0 |
           9.0 |              8.0 |            1065.0 |     0.9980194381410908 | 229354.05523694542 |  1.0 |  6.0 |
           9.0 |              8.0 |            1038.0 |      0.998794173005602 | 229354.05523694542 |  1.0 |  7.0 |
           9.0 |              8.0 |            1021.0 |     0.9992059235885936 | 229354.05523694542 |  1.0 |  8.0 |
           9.0 |              8.0 |            1009.0 |     0.9994475322442234 | 229354.05523694542 |  1.0 |  9.0 |
           9.0 |              8.0 |            1718.0 |     0.9999859773551019 | 241269.60509105545 |  2.0 |  3.0 |
           9.0 |              8.0 |            1402.0 |     0.9998584010428596 | 241269.60509105545 |  2.0 |  4.0 |
           9.0 |              8.0 |            1281.0 |     0.9998517245139078 | 241269.60509105545 |  2.0 |  5.0 |
           9.0 |              8.0 |            1220.0 |     0.9998853378365773 | 241269.60509105545 |  2.0 |  6.0 |
           9.0 |              8.0 |            1185.0 |     0.9999152684584977 | 241269.60509105545 |  2.0 |  7.0 |
           9.0 |              8.0 |            1162.0 |     0.9999371414026457 | 241269.60509105545 |  2.0 |  8.0 |
           9.0 |              8.0 |            1146.0 |     0.9999527981196374 | 241269.60509105545 |  2.0 |  9.0 |
           9.0 |              8.0 |            2226.0 |     0.9978539940786186 | 267651.53134118125 |  3.0 |  4.0 |
           9.0 |              8.0 |            1936.0 |     0.9990770895218002 | 267651.53134118125 |  3.0 |  5.0 |
           9.0 |              8.0 |            1801.0 |     0.9995050667249075 | 267651.53134118125 |  3.0 |  6.0 |
           9.0 |              8.0 |            1724.0 |     0.9997007087344799 | 267651.53134118125 |  3.0 |  7.0 |
           9.0 |              8.0 |            1676.0 |     0.9998029181392216 | 267651.53134118125 |  3.0 |  8.0 |
           9.0 |              8.0 |            1644.0 |     0.9998630055715607 | 267651.53134118125 |  3.0 |  9.0 |
           9.0 |              8.0 |            2868.0 |     0.9779575412933741 | 284411.13039541204 |  4.0 |  5.0 |
           9.0 |              8.0 |            2580.0 |     0.9896690756341391 | 284411.13039541204 |  4.0 |  6.0 |
           9.0 |              8.0 |            2426.0 |     0.9941913952723163 | 284411.13039541204 |  4.0 |  7.0 |
           9.0 |              8.0 |            2332.0 |     0.9963685253641776 | 284411.13039541204 |  4.0 |  8.0 |
           9.0 |              8.0 |            2271.0 |      0.997562235985928 | 284411.13039541204 |  4.0 |  9.0 |
           9.0 |              8.0 |            2794.0 |     0.9992059235885936 |  287373.0269644834 |  5.0 |  6.0 |
           9.0 |              8.0 |            2614.0 |     0.9996155422123126 |  287373.0269644834 |  5.0 |  7.0 |
           9.0 |              8.0 |            2506.0 |     0.9997826595890712 |  287373.0269644834 |  5.0 |  8.0 |
           9.0 |              8.0 |            2435.0 |     0.9998636962526947 |  287373.0269644834 |  5.0 |  9.0 |
           9.0 |              8.0 |            2742.0 |     0.9996661808915173 |  289154.3304155348 |  6.0 |  7.0 |
           9.0 |              8.0 |            2623.0 |     0.9998181123212234 |  289154.3304155348 |  6.0 |  8.0 |
