 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             15.0 |           427.639 |       0.0 |        0.0 |   1.0 |   2.0 |
          26.0 |             15.0 |           417.258 |  0.003584 |        0.0 |   1.0 |   3.0 |
          26.0 |             15.0 |            393.98 | 3.858e-10 |        0.0 |   1.0 |   4.0 |
          26.0 |             15.0 |          7062.147 | 1.425e-06 |   239660.0 |   3.0 |   4.0 |
          26.0 |             15.0 |          5005.506 | 1.724e-10 |   233842.0 |   2.0 |   4.0 |
          26.0 |             15.0 |           284.163 |    0.7738 |        0.0 |   1.0 |   5.0 |
          26.0 |             15.0 |           493.552 |  0.002397 |   351911.0 |   5.0 |   6.0 |
          26.0 |             15.0 |           317.597 |    0.2585 |   239660.0 |   3.0 |   6.0 |
          26.0 |             15.0 |           178.699 | 3.449e-06 |        0.0 |   1.0 |   7.0 |
          26.0 |             15.0 |           481.489 |     0.265 |   351911.0 |   5.0 |   7.0 |
          26.0 |             15.0 |           312.559 |   0.08397 |   239660.0 |   3.0 |   7.0 |
          26.0 |             15.0 |           327.033 |    0.1585 |   253820.0 |   4.0 |   7.0 |
          26.0 |             15.0 |           470.166 | 0.0009189 |   351911.0 |   5.0 |   8.0 |
          26.0 |             15.0 |           307.747 |    0.2014 |   239660.0 |   3.0 |   8.0 |
          26.0 |             15.0 |           302.334 |    0.2753 |   233842.0 |   2.0 |   8.0 |
          26.0 |             15.0 |           321.769 |    0.3198 |   253820.0 |   4.0 |   8.0 |
          26.0 |             15.0 |           434.987 |   0.07092 |   351911.0 |   5.0 |   9.0 |
          26.0 |             15.0 |           292.275 |    0.2705 |   239660.0 |   3.0 |   9.0 |
          26.0 |             15.0 |           304.894 |     0.849 |   253820.0 |   4.0 |   9.0 |
          26.0 |             15.0 |           324.975 |     0.303 |   351911.0 |   5.0 |  10.0 |
          26.0 |             15.0 |           238.114 |  0.002772 |   239660.0 |   3.0 |  10.0 |
          26.0 |             15.0 |            305.94 |  0.001235 |   351911.0 |   5.0 |  11.0 |
          26.0 |             15.0 |           227.732 |    0.2233 |   239660.0 |   3.0 |  11.0 |
          26.0 |             15.0 |           224.754 |    0.3049 |   233842.0 |   2.0 |  11.0 |
          26.0 |             15.0 |           235.321 |   0.01443 |   253820.0 |   4.0 |  11.0 |
          26.0 |             15.0 |           304.995 |  0.001793 |   351911.0 |   5.0 |  12.0 |
          26.0 |             15.0 |           227.208 |    0.6753 |   239660.0 |   3.0 |  12.0 |
          26.0 |             15.0 |           234.761 |    0.2187 |   253820.0 |   4.0 |  12.0 |
          26.0 |             15.0 |           233.866 |      1.23 |   253820.0 |   4.0 |  13.0 |
          26.0 |             15.0 |           131.218 | 2.202e-05 |        0.0 |   1.0 |  14.0 |
          26.0 |             15.0 |           243.794 |       1.8 |   351911.0 |   5.0 |  14.0 |
          26.0 |             15.0 |           191.412 |   0.01075 |   239660.0 |   3.0 |  14.0 |
          26.0 |             15.0 |           196.745 | 0.0004607 |   253820.0 |   4.0 |  14.0 |
          26.0 |             15.0 |           288.652 |  0.009075 |   581803.0 |   9.0 |  15.0 |
          26.0 |             15.0 |           173.512 | 1.067e-06 |   351911.0 |   5.0 |  15.0 |
          26.0 |             15.0 |           402.486 |    0.0967 |   679785.0 |  12.0 |  15.0 |
          26.0 |             15.0 |           601.873 |   0.02271 |   762093.0 |  14.0 |  15.0 |
          26.0 |             15.0 |           145.226 | 6.624e-06 |   239660.0 |   3.0 |  15.0 |
          26.0 |             15.0 |           271.267 |    0.1249 |   559600.0 |   7.0 |  15.0 |
          26.0 |             15.0 |           400.851 |    0.3504 |   678772.0 |  11.0 |  15.0 |
          26.0 |             15.0 |           274.998 |  0.001624 |   564602.0 |   8.0 |  15.0 |
          26.0 |             15.0 |           405.145 |  0.001209 |   681416.0 |  13.0 |  15.0 |
          26.0 |             15.0 |           144.009 | 6.306e-06 |   233842.0 |   2.0 |  15.0 |
          26.0 |             15.0 |           280.644 |   0.01144 |   581803.0 |   9.0 |  16.0 |
          26.0 |             15.0 |           387.085 |    0.6155 |   679785.0 |  12.0 |  16.0 |
          26.0 |             15.0 |           568.075 |  0.004695 |   762093.0 |  14.0 |  16.0 |
          26.0 |             15.0 |           143.171 |  1.63e-05 |   239660.0 |   3.0 |  16.0 |
          26.0 |             15.0 |           264.183 |   0.01349 |   559600.0 |   7.0 |  16.0 |
          26.0 |             15.0 |           389.545 |     0.145 |   681416.0 |  13.0 |  16.0 |
          26.0 |             15.0 |           146.133 | 5.025e-06 |   253820.0 |   4.0 |  16.0 |
          26.0 |             15.0 |           272.695 |    0.0882 |   581803.0 |   9.0 |  17.0 |
          26.0 |             15.0 |           167.616 | 9.102e-06 |   351911.0 |   5.0 |  17.0 |
          26.0 |             15.0 |           372.123 |   0.01515 |   679785.0 |  12.0 |  17.0 |
          26.0 |             15.0 |           536.423 |    0.1509 |   762093.0 |  14.0 |  17.0 |
          26.0 |             15.0 |           257.127 |    0.6775 |   559600.0 |   7.0 |  17.0 |
          26.0 |             15.0 |           370.726 |    0.0582 |   678772.0 |  11.0 |  17.0 |
          26.0 |             15.0 |           260.477 |   0.03162 |   564602.0 |   8.0 |  17.0 |
          26.0 |             15.0 |           374.396 |   0.03161 |   681416.0 |  13.0 |  17.0 |
