 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             18.0 |           974.858 |       0.0 |        0.0 |   1.0 |   2.0 |
          26.0 |             18.0 |            93.932 |    0.2137 |        0.0 |   1.0 |   3.0 |
          26.0 |             18.0 |           103.948 |   0.09563 |   102579.0 |   2.0 |   3.0 |
          26.0 |             18.0 |            16.072 |   0.01938 |        0.0 |   1.0 |   4.0 |
          26.0 |             18.0 |            16.005 |     0.247 |        0.0 |   1.0 |   5.0 |
          26.0 |             18.0 |           16.2721 |  0.006807 |   102579.0 |   2.0 |   5.0 |
          26.0 |             18.0 |             15.87 |    0.0133 |        0.0 |   1.0 |   6.0 |
          26.0 |             18.0 |           16.1326 | 0.0003926 |   102579.0 |   2.0 |   6.0 |
          26.0 |             18.0 |            15.828 |    0.1197 |        0.0 |   1.0 |   7.0 |
          26.0 |             18.0 |           16.0893 |   0.01074 |   102579.0 |   2.0 |   7.0 |
          26.0 |             18.0 |           15.7664 |   0.08611 |        0.0 |   1.0 |   8.0 |
          26.0 |             18.0 |           16.0256 |    0.1034 |   102579.0 |   2.0 |   8.0 |
          26.0 |             18.0 |           15.6221 |    0.2121 |        0.0 |   1.0 |   9.0 |
          26.0 |             18.0 |           15.6157 |  0.001966 |        0.0 |   1.0 |  10.0 |
          26.0 |             18.0 |           15.8699 |    0.1816 |   102579.0 |   2.0 |  10.0 |
          26.0 |             18.0 |           15.4402 |       0.0 |        0.0 |   1.0 |  11.0 |
          26.0 |             18.0 |           15.6942 |       0.0 |   102579.0 |   2.0 |  11.0 |
          26.0 |             18.0 |           18.5259 | 0.0003093 |  1064600.0 |   3.0 |  11.0 |
          26.0 |             18.0 |           410.243 |    0.2672 |  6222000.0 |   4.0 |  11.0 |
          26.0 |             18.0 |           463.158 |   0.04348 |  6248050.0 |   5.0 |  11.0 |
          26.0 |             18.0 |           596.634 |  0.008265 |  6301200.0 |   6.0 |  11.0 |
          26.0 |             18.0 |           672.197 | 0.0004138 |  6317900.0 |   7.0 |  11.0 |
          26.0 |             18.0 |           813.617 | 0.0001294 |  6342600.0 |   8.0 |  11.0 |
          26.0 |             18.0 |          1582.779 | 0.0004742 |  6401200.0 |   9.0 |  11.0 |
          26.0 |             18.0 |          1683.247 | 0.0002284 |  6403800.0 |  10.0 |  11.0 |
          26.0 |             18.0 |           15.4736 |       0.0 |        0.0 |   1.0 |  12.0 |
          26.0 |             18.0 |           15.7232 |       0.0 |   102579.0 |   2.0 |  12.0 |
          26.0 |             18.0 |           415.628 |    0.4954 |  6222000.0 |   4.0 |  12.0 |
          26.0 |             18.0 |           466.092 |  0.006107 |  6248050.0 |   5.0 |  12.0 |
          26.0 |             18.0 |           691.085 |  0.003668 |  6317900.0 |   7.0 |  12.0 |
          26.0 |             18.0 |          1628.664 | 0.0001459 |  6401200.0 |   9.0 |  12.0 |
          26.0 |             18.0 |            15.368 |       0.0 |        0.0 |   1.0 |  13.0 |
          26.0 |             18.0 |           18.4222 |  0.000226 |  1064600.0 |   3.0 |  13.0 |
          26.0 |             18.0 |           406.017 |    0.1436 |  6248050.0 |   5.0 |  13.0 |
          26.0 |             18.0 |           505.068 |  0.009176 |  6301200.0 |   6.0 |  13.0 |
          26.0 |             18.0 |           558.185 |  0.001797 |  6317900.0 |   7.0 |  13.0 |
          26.0 |             18.0 |           652.341 |  0.002366 |  6342600.0 |   8.0 |  13.0 |
          26.0 |             18.0 |          1113.648 |  0.001463 |  6403800.0 |  10.0 |  13.0 |
          26.0 |             18.0 |           15.3981 |       0.0 |        0.0 |   1.0 |  14.0 |
          26.0 |             18.0 |           367.242 |    0.8225 |  6222000.0 |   4.0 |  14.0 |
          26.0 |             18.0 |          1074.114 | 0.0002696 |  6401200.0 |   9.0 |  14.0 |
          26.0 |             18.0 |           15.3967 |       0.0 |        0.0 |   1.0 |  15.0 |
          26.0 |             18.0 |           15.6438 |       0.0 |   102579.0 |   2.0 |  15.0 |
          26.0 |             18.0 |           366.435 |  0.004737 |  6222000.0 |   4.0 |  15.0 |
          26.0 |             18.0 |           405.104 |    0.5455 |  6248050.0 |   5.0 |  15.0 |
          26.0 |             18.0 |           564.972 |  0.001379 |  6317900.0 |   7.0 |  15.0 |
          26.0 |             18.0 |           15.2651 |   0.01493 |        0.0 |   1.0 |  16.0 |
          26.0 |             18.0 |           15.5079 |   0.05993 |   102579.0 |   2.0 |  16.0 |
          26.0 |             18.0 |           15.2361 |       0.0 |        0.0 |   1.0 |  17.0 |
          26.0 |             18.0 |           15.4834 |       0.0 |   102579.0 |   2.0 |  17.0 |
          26.0 |             18.0 |           18.2328 | 2.406e-05 |  1064600.0 |   3.0 |  17.0 |
          26.0 |             18.0 |           330.395 |  0.006541 |  6248050.0 |   5.0 |  17.0 |
          26.0 |             18.0 |           393.134 |    0.0834 |  6301200.0 |   6.0 |  17.0 |
          26.0 |             18.0 |           424.583 |   0.07239 |  6317900.0 |   7.0 |  17.0 |
          26.0 |             18.0 |           476.947 |  0.004813 |  6342600.0 |   8.0 |  17.0 |
          26.0 |             18.0 |           684.144 |  0.003003 |  6403800.0 |  10.0 |  17.0 |
          26.0 |             18.0 |           15.2285 |       0.0 |        0.0 |   1.0 |  18.0 |
          26.0 |             18.0 |           15.4756 |       0.0 |   102579.0 |   2.0 |  18.0 |
          26.0 |             18.0 |            18.222 | 8.727e-06 |  1064600.0 |   3.0 |  18.0 |
          26.0 |             18.0 |           299.609 |   0.02811 |  6222000.0 |   4.0 |  18.0 |
          26.0 |             18.0 |           326.884 |    0.2531 |  6248050.0 |   5.0 |  18.0 |
          26.0 |             18.0 |           388.173 |   0.06188 |  6301200.0 |   6.0 |  18.0 |
          26.0 |             18.0 |           418.803 |   0.02626 |  6317900.0 |   7.0 |  18.0 |
          26.0 |             18.0 |           469.664 |   0.04195 |  6342600.0 |   8.0 |  18.0 |
          26.0 |             18.0 |           652.784 |  0.004367 |  6401200.0 |   9.0 |  18.0 |
          26.0 |             18.0 |           669.259 | 0.0001425 |  6403800.0 |  10.0 |  18.0 |
          26.0 |             18.0 |           15.2274 |       0.0 |        0.0 |   1.0 |  19.0 |
          26.0 |             18.0 |           18.2205 |  0.000468 |  1064600.0 |   3.0 |  19.0 |
          26.0 |             18.0 |           326.395 |   0.01861 |  6248050.0 |   5.0 |  19.0 |
