 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             23.0 |           263.765 |   0.00159 |        0.0 |   1.0 |   3.0 |
          26.0 |             23.0 |          3223.207 | 2.427e-06 |   348100.0 |   2.0 |   3.0 |
          26.0 |             23.0 |           211.969 |  2.59e-10 |        0.0 |   1.0 |   4.0 |
          26.0 |             23.0 |          1079.412 |  9.09e-06 |   379125.0 |   3.0 |   4.0 |
          26.0 |             23.0 |           808.617 | 3.496e-10 |   348100.0 |   2.0 |   4.0 |
          26.0 |             23.0 |           132.906 |    0.1533 |        0.0 |   1.0 |   5.0 |
          26.0 |             23.0 |           490.942 | 0.0007923 |   752410.0 |   5.0 |   6.0 |
          26.0 |             23.0 |           173.318 |   0.05421 |   379125.0 |   3.0 |   6.0 |
          26.0 |             23.0 |           363.914 | 0.0004686 |   752410.0 |   5.0 |   7.0 |
          26.0 |             23.0 |           154.303 |   0.04374 |   379125.0 |   3.0 |   7.0 |
          26.0 |             23.0 |           147.254 |   0.06295 |   348100.0 |   2.0 |   7.0 |
          26.0 |             23.0 |            180.04 |    0.0633 |   471768.0 |   4.0 |   7.0 |
          26.0 |             23.0 |           313.195 |   0.02812 |   752410.0 |   5.0 |   8.0 |
          26.0 |             23.0 |           144.389 |   0.08214 |   379125.0 |   3.0 |   8.0 |
          26.0 |             23.0 |           166.686 |    0.1506 |   471768.0 |   4.0 |   8.0 |
          26.0 |             23.0 |           221.342 |      0.16 |   752410.0 |   5.0 |   9.0 |
          26.0 |             23.0 |           121.201 |  0.005493 |   379125.0 |   3.0 |   9.0 |
          26.0 |             23.0 |           136.531 |    0.0693 |   471768.0 |   4.0 |   9.0 |
          26.0 |             23.0 |           149.211 |    0.1024 |   752410.0 |   5.0 |  10.0 |
          26.0 |             23.0 |            95.834 | 0.0002558 |   379125.0 |   3.0 |  10.0 |
          26.0 |             23.0 |            12.254 |  0.001921 |   752410.0 |   5.0 |  11.0 |
          26.0 |             23.0 |            11.718 |   0.07716 |   379125.0 |   3.0 |  11.0 |
          26.0 |             23.0 |            11.675 |   0.02578 |   348100.0 |   2.0 |  11.0 |
          26.0 |             23.0 |            11.846 |    0.1342 |   471768.0 |   4.0 |  11.0 |
          26.0 |             23.0 |            12.161 |   0.02966 |   752410.0 |   5.0 |  12.0 |
          26.0 |             23.0 |            12.868 | 4.175e-06 |  1204200.0 |   9.0 |  12.0 |
          26.0 |             23.0 |            11.633 | 0.0002631 |   379125.0 |   3.0 |  12.0 |
          26.0 |             23.0 |            12.652 | 1.951e-06 |  1071700.0 |   8.0 |  12.0 |
          26.0 |             23.0 |            12.022 | 1.622e-08 |   752410.0 |   5.0 |  13.0 |
          26.0 |             23.0 |           594.219 |   0.04272 |  8913200.0 |  11.0 |  13.0 |
          26.0 |             23.0 |            12.427 | 0.0009459 |  1027200.0 |   7.0 |  13.0 |
          26.0 |             23.0 |            11.621 | 0.0001062 |   471768.0 |   4.0 |  13.0 |
          26.0 |             23.0 |            11.018 |    0.2709 |        0.0 |   1.0 |  14.0 |
          26.0 |             23.0 |            12.014 | 8.421e-05 |   752410.0 |   5.0 |  14.0 |
          26.0 |             23.0 |            12.703 |  0.003845 |  1204200.0 |   9.0 |  14.0 |
          26.0 |             23.0 |           614.024 |   0.08013 |  8913200.0 |  11.0 |  14.0 |
          26.0 |             23.0 |           992.457 |   0.02309 |  8975300.0 |  12.0 |  14.0 |
          26.0 |             23.0 |            13.066 | 0.0009064 |  1422600.0 |  10.0 |  14.0 |
          26.0 |             23.0 |            11.498 |  3.42e-05 |   379125.0 |   3.0 |  14.0 |
          26.0 |             23.0 |            12.424 | 0.0005454 |  1027200.0 |   7.0 |  14.0 |
          26.0 |             23.0 |            12.493 |  0.006485 |  1071700.0 |   8.0 |  14.0 |
          26.0 |             23.0 |            12.315 | 0.0005386 |   956100.0 |   6.0 |  14.0 |
          26.0 |             23.0 |            11.622 | 0.0001477 |   471768.0 |   4.0 |  14.0 |
          26.0 |             23.0 |             10.98 |    0.4017 |        0.0 |   1.0 |  15.0 |
          26.0 |             23.0 |            11.969 | 8.309e-05 |   752410.0 |   5.0 |  15.0 |
          26.0 |             23.0 |            12.653 |   0.01403 |  1204200.0 |   9.0 |  15.0 |
          26.0 |             23.0 |           514.668 |   0.05643 |  8913200.0 |  11.0 |  15.0 |
          26.0 |             23.0 |            756.43 |   0.04735 |  8975300.0 |  12.0 |  15.0 |
          26.0 |             23.0 |            13.013 | 0.0003592 |  1422600.0 |  10.0 |  15.0 |
          26.0 |             23.0 |            11.457 | 4.758e-05 |   379125.0 |   3.0 |  15.0 |
          26.0 |             23.0 |            12.376 | 7.659e-05 |  1027200.0 |   7.0 |  15.0 |
          26.0 |             23.0 |            12.444 |   0.00356 |  1071700.0 |   8.0 |  15.0 |
          26.0 |             23.0 |            12.268 | 0.0007419 |   956100.0 |   6.0 |  15.0 |
          26.0 |             23.0 |             11.58 | 9.015e-05 |   471768.0 |   4.0 |  15.0 |
          26.0 |             23.0 |           503.018 |    0.2623 |  8913200.0 |  11.0 |  16.0 |
          26.0 |             23.0 |            11.962 | 5.464e-06 |   752410.0 |   5.0 |  16.0 |
          26.0 |             23.0 |            12.646 |  0.001017 |  1204200.0 |   9.0 |  16.0 |
          26.0 |             23.0 |            10.975 | 4.297e-07 |        0.0 |   1.0 |  16.0 |
          26.0 |             23.0 |            11.451 | 0.0002378 |   379125.0 |   3.0 |  16.0 |
          26.0 |             23.0 |            12.369 |  0.003162 |  1027200.0 |   7.0 |  16.0 |
          26.0 |             23.0 |            12.437 |  0.004435 |  1071700.0 |   8.0 |  16.0 |
          26.0 |             23.0 |             11.41 | 0.0001093 |   348100.0 |   2.0 |  16.0 |
          26.0 |             23.0 |            11.574 | 0.0001848 |   471768.0 |   4.0 |  16.0 |
          26.0 |             23.0 |             11.84 |   0.01211 |   752410.0 |   5.0 |  17.0 |
          26.0 |             23.0 |            11.339 |    0.5481 |   379125.0 |   3.0 |  17.0 |
          26.0 |             23.0 |            11.299 |    0.7483 |   348100.0 |   2.0 |  17.0 |
          26.0 |             23.0 |            11.459 |   0.03686 |   471768.0 |   4.0 |  17.0 |
          26.0 |             23.0 |           800.506 |   0.03843 |  9081427.0 |  13.0 |  17.0 |
          26.0 |             23.0 |            11.838 |   0.01138 |   752410.0 |   5.0 |  18.0 |
          26.0 |             23.0 |            11.337 |     1.646 |   379125.0 |   3.0 |  18.0 |
          26.0 |             23.0 |            11.442 |     3.045 |   471768.0 |   4.0 |  19.0 |
          26.0 |             23.0 |            10.785 |  0.001845 |        0.0 |   1.0 |  20.0 |
          26.0 |             23.0 |            11.737 |     1.655 |   752410.0 |   5.0 |  20.0 |
          26.0 |             23.0 |            12.739 | 3.028e-05 |  1422600.0 |  10.0 |  20.0 |
          26.0 |             23.0 |            11.244 |  0.009354 |   379125.0 |   3.0 |  20.0 |
          26.0 |             23.0 |           606.061 |    0.1053 |  9107500.0 |  15.0 |  20.0 |
          26.0 |             23.0 |            11.363 |  0.002324 |   471768.0 |   4.0 |  20.0 |
          26.0 |             23.0 |           509.061 |   0.06201 |  9076060.0 |  14.0 |  20.0 |
          26.0 |             23.0 |            225.97 |   0.01755 |  8913200.0 |  11.0 |  21.0 |
          26.0 |             23.0 |            12.017 |   0.05661 |  1027200.0 |   7.0 |  21.0 |
          26.0 |             23.0 |            11.262 | 2.191e-06 |   471768.0 |   4.0 |  21.0 |
          26.0 |             23.0 |            10.668 |   0.01223 |        0.0 |   1.0 |  22.0 |
          26.0 |             23.0 |            11.614 | 4.986e-06 |   752410.0 |   5.0 |  22.0 |
          26.0 |             23.0 |            12.264 | 0.0001545 |  1204200.0 |   9.0 |  22.0 |
          26.0 |             23.0 |           217.121 |    0.0477 |  8913200.0 |  11.0 |  22.0 |
          26.0 |             23.0 |           255.525 |   0.02335 |  8975300.0 |  12.0 |  22.0 |
          26.0 |             23.0 |            12.606 |  0.002254 |  1422600.0 |  10.0 |  22.0 |
          26.0 |             23.0 |            11.121 | 3.523e-06 |   379125.0 |   3.0 |  22.0 |
          26.0 |             23.0 |            11.991 |   0.03339 |  1027200.0 |   7.0 |  22.0 |
          26.0 |             23.0 |            12.062 |   0.08745 |  1071700.0 |   8.0 |  22.0 |
          26.0 |             23.0 |            11.888 |   0.06055 |   956100.0 |   6.0 |  22.0 |
          26.0 |             23.0 |             11.24 | 4.796e-06 |   471768.0 |   4.0 |  22.0 |
          26.0 |             23.0 |            11.491 |   0.08142 |   752410.0 |   5.0 |  23.0 |
          26.0 |             23.0 |             12.12 | 3.024e-05 |  1204200.0 |   9.0 |  23.0 |
          26.0 |             23.0 |          1061.673 |   0.04509 |  9373712.0 |  22.0 |  23.0 |
          26.0 |             23.0 |            11.865 | 0.0001169 |  1027200.0 |   7.0 |  23.0 |
          26.0 |             23.0 |            11.928 | 0.0001157 |  1071700.0 |   8.0 |  23.0 |
          26.0 |             23.0 |            287.77 |  0.003747 |  9107500.0 |  15.0 |  23.0 |
          26.0 |             23.0 |            10.981 |   0.05498 |   348100.0 |   2.0 |  23.0 |
          26.0 |             23.0 |            11.132 | 2.098e-05 |   471768.0 |   4.0 |  23.0 |
          26.0 |             23.0 |           891.043 |   0.02984 |  9355675.0 |  21.0 |  23.0 |
          26.0 |             23.0 |           258.748 |   0.02058 |  9081427.0 |  13.0 |  23.0 |
          26.0 |             23.0 |           263.894 |   0.06261 |  9076060.0 |  14.0 |  23.0 |
          26.0 |             23.0 |            12.089 |    0.0564 |  1204200.0 |   9.0 |  24.0 |
          26.0 |             23.0 |           177.525 |    0.1097 |  8913200.0 |  11.0 |  24.0 |
          26.0 |             23.0 |            10.992 | 1.245e-05 |   379125.0 |   3.0 |  24.0 |
          26.0 |             23.0 |            11.835 |    0.1111 |  1027200.0 |   7.0 |  24.0 |
          26.0 |             23.0 |            11.898 |    0.1898 |  1071700.0 |   8.0 |  24.0 |
          26.0 |             23.0 |            10.955 |  6.11e-06 |   348100.0 |   2.0 |  24.0 |
          26.0 |             23.0 |            11.105 | 4.375e-06 |   471768.0 |   4.0 |  24.0 |
          26.0 |             23.0 |           377.074 |  0.005183 |  9211300.0 |  19.0 |  24.0 |
          26.0 |             23.0 |           406.009 |  0.003659 |  9272500.0 |  20.0 |  25.0 |
          26.0 |             23.0 |            11.407 | 1.165e-05 |   752410.0 |   5.0 |  25.0 |
          26.0 |             23.0 |            12.027 |    0.1484 |  1204200.0 |   9.0 |  25.0 |
          26.0 |             23.0 |           165.125 |   0.01094 |  8913200.0 |  11.0 |  25.0 |
          26.0 |             23.0 |           183.993 |    0.1142 |  8975300.0 |  12.0 |  25.0 |
          26.0 |             23.0 |            10.506 |    0.0194 |        0.0 |   1.0 |  25.0 |
          26.0 |             23.0 |            12.351 |   0.06364 |  1422600.0 |  10.0 |  25.0 |
          26.0 |             23.0 |            11.776 |  0.007074 |  1027200.0 |   7.0 |  25.0 |
          26.0 |             23.0 |            11.679 |  0.002551 |   956100.0 |   6.0 |  25.0 |
          26.0 |             23.0 |              11.4 |   0.03903 |   752410.0 |   5.0 |  26.0 |
          26.0 |             23.0 |           623.212 |    0.2267 |  9373712.0 |  22.0 |  26.0 |
          26.0 |             23.0 |           242.718 |   0.04917 |  9112000.0 |  16.0 |  26.0 |
          26.0 |             23.0 |            10.935 |    0.3663 |   379125.0 |   3.0 |  26.0 |
          26.0 |             23.0 |            11.769 | 5.964e-05 |  1027200.0 |   7.0 |  26.0 |
          26.0 |             23.0 |            11.831 |  0.000148 |  1071700.0 |   8.0 |  26.0 |
          26.0 |             23.0 |            11.671 |  0.000158 |   956100.0 |   6.0 |  26.0 |
          26.0 |             23.0 |           240.096 |   0.01901 |  9107500.0 |  15.0 |  26.0 |
          26.0 |             23.0 |            11.047 |  0.009295 |   471768.0 |   4.0 |  26.0 |
          26.0 |             23.0 |           223.244 |   0.02766 |  9076060.0 |  14.0 |  26.0 |
          26.0 |             23.0 |            11.398 |   0.08463 |   752410.0 |   5.0 |  27.0 |
          26.0 |             23.0 |            619.99 |   0.02492 |  9373712.0 |  22.0 |  27.0 |
          26.0 |             23.0 |           241.546 |   0.04118 |  9112000.0 |  16.0 |  27.0 |
          26.0 |             23.0 |            10.933 |   0.05283 |   379125.0 |   3.0 |  27.0 |
          26.0 |             23.0 |            11.766 | 7.339e-05 |  1027200.0 |   7.0 |  27.0 |
          26.0 |             23.0 |            11.828 | 4.288e-05 |  1071700.0 |   8.0 |  27.0 |
          26.0 |             23.0 |           238.949 |   0.03636 |  9107500.0 |  15.0 |  27.0 |
          26.0 |             23.0 |            10.896 |    0.1714 |   348100.0 |   2.0 |  27.0 |
          26.0 |             23.0 |            11.045 |  0.003235 |   471768.0 |   4.0 |  27.0 |
          26.0 |             23.0 |           557.631 |     0.102 |  9355675.0 |  21.0 |  27.0 |
          26.0 |             23.0 |           220.469 |  0.004024 |  9081427.0 |  13.0 |  27.0 |
          26.0 |             23.0 |           222.252 |  0.007161 |  9076060.0 |  14.0 |  27.0 |
          26.0 |             23.0 |            11.373 |   0.00522 |   752410.0 |   5.0 |  28.0 |
          26.0 |             23.0 |           548.772 |   0.05979 |  9373712.0 |  22.0 |  28.0 |
          26.0 |             23.0 |              10.9 |    0.1125 |   379125.0 |   3.0 |  28.0 |
          26.0 |             23.0 |            11.803 |  5.48e-05 |  1071700.0 |   8.0 |  28.0 |
          26.0 |             23.0 |            225.71 |  0.005295 |  9107500.0 |  15.0 |  28.0 |
          26.0 |             23.0 |           210.772 |   0.01499 |  9076060.0 |  14.0 |  28.0 |
          26.0 |             23.0 |            11.326 | 0.0001077 |   752410.0 |   5.0 |  29.0 |
          26.0 |             23.0 |           322.318 |   0.01565 |  9272500.0 |  20.0 |  29.0 |
          26.0 |             23.0 |            11.943 |    0.0784 |  1204200.0 |   9.0 |  29.0 |
          26.0 |             23.0 |            10.857 | 0.0004581 |   379125.0 |   3.0 |  29.0 |
          26.0 |             23.0 |           802.658 |    0.1234 |  9455000.0 |  23.0 |  29.0 |
          26.0 |             23.0 |            11.685 |   0.02536 |  1027200.0 |   7.0 |  29.0 |
          26.0 |             23.0 |           262.373 |   0.01595 |  9200000.0 |  18.0 |  29.0 |
          26.0 |             23.0 |            11.752 |    0.1688 |  1071700.0 |   8.0 |  29.0 |
          26.0 |             23.0 |            10.818 | 0.0004214 |   348100.0 |   2.0 |  29.0 |
          26.0 |             23.0 |           258.973 |   0.01512 |  9198400.0 |  17.0 |  29.0 |
          26.0 |             23.0 |             10.97 | 6.305e-06 |   471768.0 |   4.0 |  29.0 |
          26.0 |             23.0 |            11.893 | 0.0002184 |  1204200.0 |   9.0 |  30.0 |
          26.0 |             23.0 |             11.28 |    0.1912 |   752410.0 |   5.0 |  30.0 |
          26.0 |             23.0 |           393.106 |   0.04413 |  9373712.0 |  22.0 |  30.0 |
          26.0 |             23.0 |            195.64 |   0.02283 |  9112000.0 |  16.0 |  30.0 |
          26.0 |             23.0 |            10.815 |   0.09879 |   379125.0 |   3.0 |  30.0 |
          26.0 |             23.0 |            11.703 |  2.68e-06 |  1071700.0 |   8.0 |  30.0 |
          26.0 |             23.0 |           194.097 |   0.03318 |  9107500.0 |  15.0 |  30.0 |
          26.0 |             23.0 |          1026.209 |   0.05145 |  9518800.0 |  25.0 |  30.0 |
          26.0 |             23.0 |            10.776 |   0.02154 |   348100.0 |   2.0 |  30.0 |
          26.0 |             23.0 |            10.927 |   0.03426 |   471768.0 |   4.0 |  30.0 |
          26.0 |             23.0 |           367.079 |    0.0118 |  9355675.0 |  21.0 |  30.0 |
          26.0 |             23.0 |           688.629 |   0.01388 |  9476500.0 |  24.0 |  30.0 |
          26.0 |             23.0 |           182.926 |    0.0235 |  9081427.0 |  13.0 |  30.0 |
          26.0 |             23.0 |           182.947 |   0.01686 |  9076060.0 |  14.0 |  30.0 |
          26.0 |             23.0 |            11.878 | 9.585e-05 |  1204200.0 |   9.0 |  31.0 |
          26.0 |             23.0 |           195.542 |    0.1777 |  9112000.0 |  16.0 |  31.0 |
          26.0 |             23.0 |            11.694 |  0.000255 |  1071700.0 |   8.0 |  31.0 |
          26.0 |             23.0 |           680.735 |    0.2993 |  9476500.0 |  24.0 |  31.0 |
          26.0 |             23.0 |            11.271 | 1.769e-05 |   752410.0 |   5.0 |  32.0 |
          26.0 |             23.0 |            11.876 |   0.02904 |  1204200.0 |   9.0 |  32.0 |
          26.0 |             23.0 |            10.816 |  0.001306 |   379125.0 |   3.0 |  32.0 |
          26.0 |             23.0 |           994.036 |     0.168 |  9524000.0 |  26.0 |  32.0 |
          26.0 |             23.0 |           235.516 |   0.02151 |  9200000.0 |  18.0 |  32.0 |
          26.0 |             23.0 |            11.692 |     1.002 |  1071700.0 |   8.0 |  32.0 |
          26.0 |             23.0 |            10.926 |  6.19e-05 |   471768.0 |   4.0 |  32.0 |
          26.0 |             23.0 |           241.955 |   0.04706 |  9211300.0 |  19.0 |  32.0 |
          26.0 |             23.0 |           896.861 |    0.1181 |  9526000.0 |  27.0 |  33.0 |
          26.0 |             23.0 |            11.255 | 0.0002449 |   752410.0 |   5.0 |  33.0 |
          26.0 |             23.0 |            11.858 |     0.181 |  1204200.0 |   9.0 |  33.0 |
          26.0 |             23.0 |           138.064 |  0.001966 |  8913200.0 |  11.0 |  33.0 |
          26.0 |             23.0 |           273.973 |   0.03531 |  9272500.0 |  20.0 |  33.0 |
          26.0 |             23.0 |            10.801 | 0.0001606 |   379125.0 |   3.0 |  33.0 |
          26.0 |             23.0 |           228.571 |   0.00719 |  9200000.0 |  18.0 |  33.0 |
          26.0 |             23.0 |            11.674 |    0.1684 |  1071700.0 |   8.0 |  33.0 |
          26.0 |             23.0 |            10.765 | 0.0004998 |   348100.0 |   2.0 |  33.0 |
          26.0 |             23.0 |           234.632 |   0.06925 |  9211300.0 |  19.0 |  33.0 |
          26.0 |             23.0 |            11.249 |   0.02996 |   752410.0 |   5.0 |  34.0 |
          26.0 |             23.0 |           186.665 |   0.00837 |  9112000.0 |  16.0 |  34.0 |
          26.0 |             23.0 |            10.786 |  0.005556 |   379125.0 |   3.0 |  34.0 |
          26.0 |             23.0 |            11.603 |  1.02e-05 |  1027200.0 |   7.0 |  34.0 |
          26.0 |             23.0 |             11.67 | 4.834e-05 |  1071700.0 |   8.0 |  34.0 |
          26.0 |             23.0 |            185.26 |   0.04629 |  9107500.0 |  15.0 |  34.0 |
          26.0 |             23.0 |            10.748 |  0.001573 |   348100.0 |   2.0 |  34.0 |
          26.0 |             23.0 |            10.898 |    0.2885 |   471768.0 |   4.0 |  34.0 |
          26.0 |             23.0 |           588.956 |    0.1309 |  9476500.0 |  24.0 |  34.0 |
          26.0 |             23.0 |           175.056 |   0.02882 |  9081427.0 |  13.0 |  34.0 |
          26.0 |             23.0 |           175.076 |   0.01297 |  9076060.0 |  14.0 |  34.0 |
          26.0 |             23.0 |            11.849 | 0.0001825 |  1204200.0 |   9.0 |  35.0 |
          26.0 |             23.0 |            11.247 |    0.2036 |   752410.0 |   5.0 |  35.0 |
          26.0 |             23.0 |            354.66 |   0.03177 |  9373712.0 |  22.0 |  35.0 |
          26.0 |             23.0 |           188.076 |    0.0264 |  9112000.0 |  16.0 |  35.0 |
          26.0 |             23.0 |            12.164 | 3.717e-05 |  1422600.0 |  10.0 |  35.0 |
          26.0 |             23.0 |            10.794 |   0.02168 |   379125.0 |   3.0 |  35.0 |
          26.0 |             23.0 |            11.606 |  2.84e-05 |  1027200.0 |   7.0 |  35.0 |
          26.0 |             23.0 |            11.666 | 4.029e-05 |  1071700.0 |   8.0 |  35.0 |
          26.0 |             23.0 |            11.511 |  5.16e-06 |   956100.0 |   6.0 |  35.0 |
          26.0 |             23.0 |           186.498 |   0.01047 |  9107500.0 |  15.0 |  35.0 |
          26.0 |             23.0 |           800.641 |   0.03732 |  9518800.0 |  25.0 |  35.0 |
          26.0 |             23.0 |            10.903 |    0.4076 |   471768.0 |   4.0 |  35.0 |
          26.0 |             23.0 |           598.086 |    0.1969 |  9476500.0 |  24.0 |  35.0 |
          26.0 |             23.0 |           176.168 |   0.07176 |  9076060.0 |  14.0 |  35.0 |
          26.0 |             23.0 |            10.349 |  0.005958 |        0.0 |   1.0 |  36.0 |
          26.0 |             23.0 |            11.223 | 3.444e-05 |   752410.0 |   5.0 |  36.0 |
          26.0 |             23.0 |            11.822 |  0.002267 |  1204200.0 |   9.0 |  36.0 |
          26.0 |             23.0 |           256.082 |  0.007455 |  9272500.0 |  20.0 |  36.0 |
          26.0 |             23.0 |            12.135 |   0.02236 |  1422600.0 |  10.0 |  36.0 |
          26.0 |             23.0 |            10.771 | 0.0005292 |   379125.0 |   3.0 |  36.0 |
          26.0 |             23.0 |           480.769 |   0.03927 |  9455000.0 |  23.0 |  36.0 |
          26.0 |             23.0 |           215.983 |   0.04943 |  9200000.0 |  18.0 |  36.0 |
          26.0 |             23.0 |             11.64 |   0.01206 |  1071700.0 |   8.0 |  36.0 |
