 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             24.0 |           255.113 |   0.0353 |        0.0 |   1.0 |   2.0 |
          26.0 |             24.0 |           192.028 |    0.095 |        0.0 |   1.0 |   3.0 |
          26.0 |             24.0 |           11.2606 |   0.0333 |        0.0 |   2.0 |   4.0 |
          26.0 |             24.0 |           11.4263 |   0.0755 |        0.0 |   3.0 |   4.0 |
          26.0 |             24.0 |            10.663 |    0.255 |        0.0 |   1.0 |   5.0 |
          26.0 |             24.0 |            10.619 |    0.492 |        0.0 |   1.0 |   6.0 |
          26.0 |             24.0 |            11.029 |     1.34 |        0.0 |   2.0 |   7.0 |
          26.0 |             24.0 |           11.1879 |    0.272 |        0.0 |   3.0 |   7.0 |
          26.0 |             24.0 |           11.1709 |     2.45 |        0.0 |   3.0 |   8.0 |
          26.0 |             24.0 |            8.2833 |  0.00697 |        0.0 |   2.0 |   9.0 |
          26.0 |             24.0 |            8.3727 |   0.0165 |        0.0 |   3.0 |   9.0 |
          26.0 |             24.0 |           32.4023 |   0.0782 |        0.0 |   5.0 |   9.0 |
          26.0 |             24.0 |           32.8159 |    0.173 |        0.0 |   6.0 |   9.0 |
          26.0 |             24.0 |            7.9943 |   0.0626 |        0.0 |   1.0 |  10.0 |
          26.0 |             24.0 |           30.8985 |    0.281 |        0.0 |   4.0 |  10.0 |
          26.0 |             24.0 |            32.788 |   0.0451 |        0.0 |   7.0 |  10.0 |
          26.0 |             24.0 |            7.9841 |    0.124 |        0.0 |   1.0 |  11.0 |
          26.0 |             24.0 |           30.7465 |    0.536 |        0.0 |   4.0 |  11.0 |
          26.0 |             24.0 |           32.6168 |  0.00814 |        0.0 |   7.0 |  11.0 |
          26.0 |             24.0 |           32.7622 |   0.0765 |        0.0 |   8.0 |  11.0 |
          26.0 |             24.0 |            8.2323 |    0.242 |        0.0 |   2.0 |  12.0 |
          26.0 |             24.0 |            8.3205 |   0.0485 |        0.0 |   3.0 |  12.0 |
          26.0 |             24.0 |           31.6356 |     1.16 |        0.0 |   5.0 |  12.0 |
          26.0 |             24.0 |           32.0297 |    0.239 |        0.0 |   6.0 |  12.0 |
          26.0 |             24.0 |            8.3164 |     0.44 |        0.0 |   3.0 |  13.0 |
          26.0 |             24.0 |           31.9683 |     2.14 |        0.0 |   6.0 |  13.0 |
          26.0 |             24.0 |           32.3771 |     4.05 |        0.0 |   7.0 |  14.0 |
          26.0 |             24.0 |           32.5203 |     0.29 |        0.0 |   8.0 |  14.0 |
          26.0 |             24.0 |           32.4781 |      5.8 |        0.0 |   8.0 |  15.0 |
          26.0 |             24.0 |            7.3891 |  0.00261 |        0.0 |   2.0 |  16.0 |
          26.0 |             24.0 |            7.4601 |  0.00672 |        0.0 |   3.0 |  16.0 |
          26.0 |             24.0 |           21.9913 |   0.0171 |        0.0 |   5.0 |  16.0 |
          26.0 |             24.0 |           22.1811 |   0.0384 |        0.0 |   6.0 |  16.0 |
          26.0 |             24.0 |            70.594 |    0.127 |        0.0 |  10.0 |  16.0 |
          26.0 |             24.0 |            71.401 |    0.278 |        0.0 |  11.0 |  16.0 |
          26.0 |             24.0 |            7.1719 |   0.0257 |        0.0 |   1.0 |  17.0 |
          26.0 |             24.0 |           21.4092 |   0.0729 |        0.0 |   4.0 |  17.0 |
          26.0 |             24.0 |           22.2995 |  0.00875 |        0.0 |   7.0 |  17.0 |
          26.0 |             24.0 |            67.613 |    0.311 |        0.0 |   9.0 |  17.0 |
          26.0 |             24.0 |            71.215 |    0.111 |        0.0 |  12.0 |  17.0 |
          26.0 |             24.0 |            7.1676 |   0.0517 |        0.0 |   1.0 |  18.0 |
          26.0 |             24.0 |           21.3716 |    0.143 |        0.0 |   4.0 |  18.0 |
          26.0 |             24.0 |           22.2588 |  0.00161 |        0.0 |   7.0 |  18.0 |
          26.0 |             24.0 |           22.3264 |   0.0154 |        0.0 |   8.0 |  18.0 |
          26.0 |             24.0 |             67.24 |     0.59 |        0.0 |   9.0 |  18.0 |
          26.0 |             24.0 |            70.801 |   0.0203 |        0.0 |  12.0 |  18.0 |
          26.0 |             24.0 |            71.104 |    0.189 |        0.0 |  13.0 |  18.0 |
          26.0 |             24.0 |              7.37 |   0.0888 |        0.0 |   2.0 |  19.0 |
          26.0 |             24.0 |            7.4406 |   0.0178 |        0.0 |   3.0 |  19.0 |
          26.0 |             24.0 |           21.8231 |    0.269 |        0.0 |   5.0 |  19.0 |
          26.0 |             24.0 |           22.0099 |   0.0549 |        0.0 |   6.0 |  19.0 |
          26.0 |             24.0 |             68.89 |     1.11 |        0.0 |  10.0 |  19.0 |
          26.0 |             24.0 |            69.657 |    0.233 |        0.0 |  11.0 |  19.0 |
          26.0 |             24.0 |            70.776 |   0.0515 |        0.0 |  14.0 |  19.0 |
          26.0 |             24.0 |           22.1974 |    0.625 |        0.0 |   7.0 |  20.0 |
          26.0 |             24.0 |           22.2646 |   0.0444 |        0.0 |   8.0 |  20.0 |
          26.0 |             24.0 |            70.183 |     3.51 |        0.0 |  12.0 |  20.0 |
          26.0 |             24.0 |             70.48 |    0.253 |        0.0 |  13.0 |  20.0 |
          26.0 |             24.0 |             7.438 |    0.162 |        0.0 |   3.0 |  21.0 |
          26.0 |             24.0 |           21.9867 |    0.495 |        0.0 |   6.0 |  21.0 |
          26.0 |             24.0 |            69.425 |     2.08 |        0.0 |  11.0 |  21.0 |
          26.0 |             24.0 |            70.537 |  0.00355 |        0.0 |  14.0 |  21.0 |
          26.0 |             24.0 |            70.736 |   0.0726 |        0.0 |  15.0 |  21.0 |
          26.0 |             24.0 |            70.535 |     8.02 |        0.0 |  14.0 |  22.0 |
          26.0 |             24.0 |            70.735 |    0.297 |        0.0 |  15.0 |  22.0 |
          26.0 |             24.0 |           22.2582 |    0.893 |        0.0 |   8.0 |  23.0 |
          26.0 |             24.0 |            70.416 |     5.04 |        0.0 |  13.0 |  23.0 |
          26.0 |             24.0 |            70.696 |     10.4 |        0.0 |  15.0 |  24.0 |
          26.0 |             24.0 |            6.9795 |  0.00122 |        0.0 |   2.0 |  25.0 |
          26.0 |             24.0 |            7.0429 |  0.00358 |        0.0 |   3.0 |  25.0 |
          26.0 |             24.0 |            18.723 |  0.00669 |        0.0 |   5.0 |  25.0 |
          26.0 |             24.0 |           18.8602 |   0.0158 |        0.0 |   6.0 |  25.0 |
          26.0 |             24.0 |           45.2423 |   0.0282 |        0.0 |  10.0 |  25.0 |
          26.0 |             24.0 |           45.5715 |   0.0625 |        0.0 |  11.0 |  25.0 |
          26.0 |             24.0 |           128.894 |     0.18 |        0.0 |  17.0 |  25.0 |
          26.0 |             24.0 |           130.266 |    0.392 |        0.0 |  18.0 |  25.0 |
          26.0 |             24.0 |            6.7885 |   0.0132 |        0.0 |   1.0 |  26.0 |
