 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          26.0 |             26.0 |            1.7833 |      0.0 |        0.0 |  1.0 |  2.0 |
          26.0 |             26.0 |            1.7834 |   0.2772 |        0.0 |  1.0 |  3.0 |
          26.0 |             26.0 |             1.778 |   0.5552 |        0.0 |  1.0 |  4.0 |
          26.0 |             26.0 |             9.577 |  0.02718 | 56071350.0 |  3.0 |  5.0 |
          26.0 |             26.0 |            9.7365 |  0.05436 | 56242456.0 |  4.0 |  5.0 |
          26.0 |             26.0 |            1.5035 |  0.05268 |        0.0 |  1.0 |  6.0 |
          26.0 |             26.0 |            9.5824 |   0.2896 | 56075896.0 |  2.0 |  6.0 |
          26.0 |             26.0 |            1.5023 |   0.1055 |        0.0 |  1.0 |  7.0 |
          26.0 |             26.0 |            9.5361 |   0.5802 | 56075896.0 |  2.0 |  7.0 |
          26.0 |             26.0 |             9.532 |    1.392 | 56071350.0 |  3.0 |  8.0 |
          26.0 |             26.0 |            9.6901 |   0.2783 | 56242456.0 |  4.0 |  8.0 |
          26.0 |             26.0 |            9.6745 |    2.505 | 56242456.0 |  4.0 |  9.0 |
          26.0 |             26.0 |            7.0982 |  0.00609 | 56071350.0 |  3.0 | 10.0 |
          26.0 |             26.0 |            7.1855 |  0.01218 | 56242456.0 |  4.0 | 10.0 |
          26.0 |             26.0 |           27.4145 |   0.0645 | 66511660.0 |  6.0 | 10.0 |
          26.0 |             26.0 |           27.8011 |    0.129 | 66562388.0 |  7.0 | 10.0 |
          26.0 |             26.0 |            1.4253 |  0.01931 |        0.0 |  1.0 | 11.0 |
          26.0 |             26.0 |            7.1008 |  0.06846 | 56075896.0 |  2.0 | 11.0 |
          26.0 |             26.0 |           27.4297 |   0.3228 | 66513080.0 |  5.0 | 11.0 |
          26.0 |             26.0 |           27.8051 |  0.03663 | 66562296.0 |  8.0 | 11.0 |
          26.0 |             26.0 |            1.4249 |  0.03867 |        0.0 |  1.0 | 12.0 |
          26.0 |             26.0 |            7.0901 |   0.1371 | 56075896.0 |  2.0 | 12.0 |
          26.0 |             26.0 |           27.2697 |   0.6466 | 66513080.0 |  5.0 | 12.0 |
          26.0 |             26.0 |           27.6407 | 0.007328 | 66562296.0 |  8.0 | 12.0 |
          26.0 |             26.0 |           27.7683 |  0.06594 | 66578924.0 |  9.0 | 12.0 |
          26.0 |             26.0 |            7.0878 |   0.2436 | 56071350.0 |  3.0 | 13.0 |
          26.0 |             26.0 |            7.1748 |  0.04872 | 56242456.0 |  4.0 | 13.0 |
          26.0 |             26.0 |           27.2595 |    1.237 | 66511660.0 |  6.0 | 13.0 |
          26.0 |             26.0 |           27.6417 |   0.2473 | 66562388.0 |  7.0 | 13.0 |
          26.0 |             26.0 |            7.1712 |   0.4385 | 56242456.0 |  4.0 | 14.0 |
          26.0 |             26.0 |           27.5882 |    2.226 | 66562388.0 |  7.0 | 14.0 |
          26.0 |             26.0 |           27.5876 |    4.072 | 66562296.0 |  8.0 | 15.0 |
          26.0 |             26.0 |           27.7147 |   0.2909 | 66578924.0 |  9.0 | 15.0 |
          26.0 |             26.0 |           27.6879 |    5.817 | 66578924.0 |  9.0 | 16.0 |
          26.0 |             26.0 |              6.34 | 0.002426 | 56071350.0 |  3.0 | 17.0 |
          26.0 |             26.0 |            6.4095 | 0.004852 | 56242456.0 |  4.0 | 17.0 |
          26.0 |             26.0 |           18.7529 |  0.01486 | 66511660.0 |  6.0 | 17.0 |
          26.0 |             26.0 |            18.933 |  0.02971 | 66562388.0 |  7.0 | 17.0 |
          26.0 |             26.0 |            59.333 |   0.1058 | 70158770.0 | 11.0 | 17.0 |
          26.0 |             26.0 |            60.095 |   0.2116 | 70180140.0 | 12.0 | 17.0 |
          26.0 |             26.0 |            1.3919 | 0.009284 |        0.0 |  1.0 | 18.0 |
          26.0 |             26.0 |             6.342 |  0.02793 | 56075896.0 |  2.0 | 18.0 |
          26.0 |             26.0 |           18.7589 |  0.08059 | 66513080.0 |  5.0 | 18.0 |
          26.0 |             26.0 |            59.365 |   0.3624 | 70159370.0 | 10.0 | 18.0 |
          26.0 |             26.0 |           18.9337 | 0.007366 | 66562296.0 |  8.0 | 18.0 |
          26.0 |             26.0 |            60.105 |  0.09273 | 70180110.0 | 13.0 | 18.0 |
          26.0 |             26.0 |            1.3917 |   0.0186 |        0.0 |  1.0 | 19.0 |
          26.0 |             26.0 |            6.3376 |  0.05593 | 56075896.0 |  2.0 | 19.0 |
          26.0 |             26.0 |           18.7205 |   0.1614 | 66513080.0 |  5.0 | 19.0 |
          26.0 |             26.0 |            58.981 |    0.726 | 70159370.0 | 10.0 | 19.0 |
          26.0 |             26.0 |           18.8946 | 0.001474 | 66562296.0 |  8.0 | 19.0 |
          26.0 |             26.0 |           18.9542 |  0.01326 | 66578924.0 |  9.0 | 19.0 |
          26.0 |             26.0 |            59.712 |  0.01855 | 70180110.0 | 13.0 | 19.0 |
          26.0 |             26.0 |            59.963 |   0.1669 | 70187130.0 | 14.0 | 19.0 |
          26.0 |             26.0 |            6.3358 |  0.08874 | 56071350.0 |  3.0 | 20.0 |
          26.0 |             26.0 |            6.4052 |  0.01775 | 56242456.0 |  4.0 | 20.0 |
          26.0 |             26.0 |           18.7156 |   0.2784 | 66511660.0 |  6.0 | 20.0 |
          26.0 |             26.0 |            18.895 |  0.05568 | 66562388.0 |  7.0 | 20.0 |
          26.0 |             26.0 |            58.961 |    1.219 | 70158770.0 | 11.0 | 20.0 |
          26.0 |             26.0 |            59.714 |   0.2437 | 70180140.0 | 12.0 | 20.0 |
          26.0 |             26.0 |             6.407 |   0.1597 | 56242456.0 |  4.0 | 21.0 |
          26.0 |             26.0 |           18.9108 |   0.5011 | 66562388.0 |  7.0 | 21.0 |
          26.0 |             26.0 |            59.872 |    2.193 | 70180140.0 | 12.0 | 21.0 |
          26.0 |             26.0 |            59.585 |    3.561 | 70180110.0 | 13.0 | 22.0 |
          26.0 |             26.0 |            59.835 |   0.2544 | 70187130.0 | 14.0 | 22.0 |
          26.0 |             26.0 |            59.771 |    5.088 | 70187130.0 | 14.0 | 23.0 |
          26.0 |             26.0 |            59.858 |    10.47 | 70190610.0 | 16.0 | 25.0 |
%CHIANTI
