 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |              9.0 |           244.909 | 0.0003181 |        0.0 |   1.0 |   3.0 |
          26.0 |              9.0 |         18677.297 |       0.0 |   408315.1 |   3.0 |   4.0 |
          26.0 |              9.0 |           241.739 |       0.0 |        0.0 |   1.0 |   4.0 |
          26.0 |              9.0 |          8236.809 |       0.0 |   413669.2 |   4.0 |   5.0 |
          26.0 |              9.0 |         28562.502 |       0.0 |   425809.8 |   5.0 |   6.0 |
          26.0 |              9.0 |          4762.855 |       0.0 |   408315.1 |   3.0 |   6.0 |
          26.0 |              9.0 |           6393.16 |       0.0 |   413669.2 |   4.0 |   6.0 |
          26.0 |              9.0 |           232.931 |       0.0 |        0.0 |   1.0 |   6.0 |
          26.0 |              9.0 |         22183.248 |       0.0 |   429310.9 |   6.0 |   7.0 |
          26.0 |              9.0 |          4962.872 |       0.0 |   413669.2 |   4.0 |   7.0 |
          26.0 |              9.0 |          3565.468 |       0.0 |   405772.0 |   2.0 |   7.0 |
          26.0 |              9.0 |          3920.997 |       0.0 |   408315.1 |   3.0 |   7.0 |
          26.0 |              9.0 |           230.511 |       0.0 |        0.0 |   1.0 |   7.0 |
          26.0 |              9.0 |           4588.55 |       0.0 |   433818.8 |   7.0 |   8.0 |
          26.0 |              9.0 |          3355.437 |       0.0 |   425809.8 |   5.0 |   8.0 |
          26.0 |              9.0 |          2114.295 |       0.0 |   408315.1 |   3.0 |   8.0 |
          26.0 |              9.0 |          3802.096 |       0.0 |   429310.9 |   6.0 |   8.0 |
          26.0 |              9.0 |          2384.188 |       0.0 |   413669.2 |   4.0 |   8.0 |
          26.0 |              9.0 |           219.485 |       0.0 |        0.0 |   1.0 |   8.0 |
          26.0 |              9.0 |          3644.078 |       0.0 |   429310.9 |   6.0 |   9.0 |
          26.0 |              9.0 |          4360.362 |       0.0 |   433818.8 |   7.0 |   9.0 |
          26.0 |              9.0 |          2321.074 |       0.0 |   413669.2 |   4.0 |   9.0 |
          26.0 |              9.0 |          87680.84 |       0.0 |   455612.2 |   8.0 |   9.0 |
          26.0 |              9.0 |          1961.527 |       0.0 |   405772.0 |   2.0 |   9.0 |
          26.0 |              9.0 |          3231.762 |       0.0 |   425809.8 |   5.0 |   9.0 |
          26.0 |              9.0 |          2064.512 |       0.0 |   408315.1 |   3.0 |   9.0 |
          26.0 |              9.0 |           218.937 |       0.0 |        0.0 |   1.0 |   9.0 |
          26.0 |              9.0 |           217.101 |   0.00512 |        0.0 |   1.0 |  10.0 |
          26.0 |              9.0 |           3002.49 |       0.0 |   429310.9 |   6.0 |  11.0 |
          26.0 |              9.0 |           3472.49 |       0.0 |   433818.8 |   7.0 |  11.0 |
          26.0 |              9.0 |          2043.009 |       0.0 |   413669.2 |   4.0 |  11.0 |
          26.0 |              9.0 |         14276.728 |       0.0 |   455612.2 |   8.0 |  11.0 |
          26.0 |              9.0 |         49985.152 |       0.0 |   460616.0 |  10.0 |  11.0 |
          26.0 |              9.0 |         17053.479 |       0.0 |   456752.7 |   9.0 |  11.0 |
          26.0 |              9.0 |          1759.182 |       0.0 |   405772.0 |   2.0 |  11.0 |
          26.0 |              9.0 |          2716.891 |       0.0 |   425809.8 |   5.0 |  11.0 |
          26.0 |              9.0 |           1841.57 |       0.0 |   408315.1 |   3.0 |  11.0 |
          26.0 |              9.0 |           216.162 |       0.0 |        0.0 |   1.0 |  11.0 |
          26.0 |              9.0 |          3124.063 |       0.0 |   433818.8 |   7.0 |  12.0 |
          26.0 |              9.0 |          9788.358 |       0.0 |   455612.2 |   8.0 |  12.0 |
          26.0 |              9.0 |          2498.838 |       0.0 |   425809.8 |   5.0 |  12.0 |
          26.0 |              9.0 |         11018.412 |       0.0 |   456752.7 |   9.0 |  12.0 |
          26.0 |              9.0 |         31135.072 |       0.0 |   462616.6 |  11.0 |  12.0 |
          26.0 |              9.0 |          1738.728 |       0.0 |   408315.1 |   3.0 |  12.0 |
          26.0 |              9.0 |          2738.413 |       0.0 |   429310.9 |   6.0 |  12.0 |
          26.0 |              9.0 |          1917.207 |       0.0 |   413669.2 |   4.0 |  12.0 |
          26.0 |              9.0 |           214.671 |       0.0 |        0.0 |   1.0 |  12.0 |
          26.0 |              9.0 |           171.073 |     3.055 |        0.0 |   1.0 |  13.0 |
          26.0 |              9.0 |           341.396 |    0.1769 |   433818.8 |   7.0 |  14.0 |
          26.0 |              9.0 |           319.423 |  0.006867 |   413669.2 |   4.0 |  14.0 |
          26.0 |              9.0 |           375.773 |   0.07279 |   460616.0 |  10.0 |  14.0 |
          26.0 |              9.0 |           370.396 | 0.0001376 |   456752.7 |   9.0 |  14.0 |
          26.0 |              9.0 |           378.619 |   0.01263 |   462616.6 |  11.0 |  14.0 |
          26.0 |              9.0 |           311.563 |   0.06733 |   405772.0 |   2.0 |  14.0 |
          26.0 |              9.0 |           703.294 | 4.019e-05 |   584546.0 |  13.0 |  14.0 |
