 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             20.0 |           721.558 |       0.0 |        0.0 |   1.0 |   2.0 |
          26.0 |             20.0 |           567.866 |       0.0 |        0.0 |   1.0 |   3.0 |
          26.0 |             20.0 |          2666.027 |       0.0 |   138589.0 |   2.0 |   3.0 |
          26.0 |             20.0 |           384.209 |       0.0 |        0.0 |   1.0 |   4.0 |
          26.0 |             20.0 |           821.787 |       0.0 |   138589.0 |   2.0 |   4.0 |
          26.0 |             20.0 |          1187.973 |       0.0 |   176098.0 |   3.0 |   4.0 |
          26.0 |             20.0 |           309.294 |       0.0 |        0.0 |   1.0 |   5.0 |
          26.0 |             20.0 |           541.336 |       0.0 |   138589.0 |   2.0 |   5.0 |
          26.0 |             20.0 |            679.26 |       0.0 |   176098.0 |   3.0 |   5.0 |
          26.0 |             20.0 |          1586.244 |       0.0 |   260275.0 |   4.0 |   5.0 |
          26.0 |             20.0 |            132.84 |    0.1951 |        0.0 |   1.0 |   6.0 |
          26.0 |             20.0 |           162.815 |   0.01312 |   138589.0 |   2.0 |   6.0 |
          26.0 |             20.0 |           173.405 |   0.00667 |   176098.0 |   3.0 |   6.0 |
          26.0 |             20.0 |           232.847 |  0.001122 |   323317.0 |   5.0 |   6.0 |
          26.0 |             20.0 |           121.845 |     0.154 |        0.0 |   1.0 |   7.0 |
          26.0 |             20.0 |             146.6 |  0.001051 |   138589.0 |   2.0 |   7.0 |
          26.0 |             20.0 |            155.13 | 0.0007102 |   176098.0 |   3.0 |   7.0 |
          26.0 |             20.0 |            178.43 | 6.155e-05 |   260275.0 |   4.0 |   7.0 |
          26.0 |             20.0 |           201.045 |  0.003916 |   323317.0 |   5.0 |   7.0 |
          26.0 |             20.0 |          1472.017 |       0.0 |   752784.0 |   6.0 |   7.0 |
          26.0 |             20.0 |            118.68 |   0.08183 |        0.0 |   1.0 |   8.0 |
          26.0 |             20.0 |           142.043 |  0.001655 |   138589.0 |   2.0 |   8.0 |
          26.0 |             20.0 |           171.725 |  0.001991 |   260275.0 |   4.0 |   8.0 |
          26.0 |             20.0 |           192.572 | 9.252e-05 |   323317.0 |   5.0 |   8.0 |
          26.0 |             20.0 |            95.921 |   0.00863 |        0.0 |   1.0 |   9.0 |
          26.0 |             20.0 |           110.627 |    0.2933 |   138589.0 |   2.0 |   9.0 |
          26.0 |             20.0 |           115.416 | 0.0001683 |   176098.0 |   3.0 |   9.0 |
          26.0 |             20.0 |           127.836 |   0.02683 |   260275.0 |   4.0 |   9.0 |
          26.0 |             20.0 |           139.041 |  0.006197 |   323317.0 |   5.0 |   9.0 |
          26.0 |             20.0 |           450.832 |       0.0 |   820718.0 |   7.0 |   9.0 |
          26.0 |             20.0 |            94.488 | 0.0001467 |        0.0 |   1.0 |  10.0 |
