 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          26.0 |             22.0 |           845.552 | 5.96e-05 |        0.0 |   1.0 |   2.0 |
          26.0 |             22.0 |           247.188 |   0.0019 |        0.0 |   1.0 |   3.0 |
          26.0 |             22.0 |           349.303 | 0.000615 |        0.0 |   2.0 |   3.0 |
          26.0 |             22.0 |           217.302 | 6.45e-05 |        0.0 |   1.0 |   4.0 |
          26.0 |             22.0 |           292.463 | 0.000531 |        0.0 |   2.0 |   4.0 |
          26.0 |             22.0 |          1797.268 | 7.54e-07 |        0.0 |   3.0 |   4.0 |
          26.0 |             22.0 |           253.168 |  0.00486 |        0.0 |   2.0 |   5.0 |
          26.0 |             22.0 |           135.812 |    0.121 |        0.0 |   1.0 |   6.0 |
          26.0 |             22.0 |           161.801 | 0.000181 |        0.0 |   2.0 |   6.0 |
          26.0 |             22.0 |            156.02 |     0.13 |        0.0 |   2.0 |   7.0 |
          26.0 |             22.0 |           117.144 |    0.157 |        0.0 |   1.0 |   8.0 |
          26.0 |             22.0 |           135.983 | 0.000164 |        0.0 |   2.0 |   8.0 |
          26.0 |             22.0 |           102.213 |  0.00803 |        0.0 |   1.0 |   9.0 |
          26.0 |             22.0 |           116.268 |    0.139 |        0.0 |   2.0 |   9.0 |
          26.0 |             22.0 |           100.774 |   0.0354 |        0.0 |   1.0 |  10.0 |
          26.0 |             22.0 |           114.409 |    0.347 |        0.0 |   2.0 |  10.0 |
          26.0 |             22.0 |           117.488 |   0.0831 |        0.0 |   3.0 |  11.0 |
          26.0 |             22.0 |           125.706 |    0.137 |        0.0 |   4.0 |  11.0 |
          26.0 |             22.0 |           134.691 |    0.208 |        0.0 |   5.0 |  11.0 |
          26.0 |             22.0 |           192.534 |  0.00423 |        0.0 |   6.0 |  11.0 |
          26.0 |             22.0 |           201.414 | 0.000693 |        0.0 |   7.0 |  11.0 |
          26.0 |             22.0 |           248.725 |  0.00622 |        0.0 |   8.0 |  11.0 |
          26.0 |             22.0 |           360.555 |  0.00118 |        0.0 |   9.0 |  11.0 |
          26.0 |             22.0 |            379.68 |  0.00318 |        0.0 |  10.0 |  11.0 |
          26.0 |             22.0 |           100.851 | 0.000511 |        0.0 |   3.0 |  12.0 |
          26.0 |             22.0 |           106.847 |   0.0194 |        0.0 |   4.0 |  12.0 |
          26.0 |             22.0 |            113.27 |  0.00287 |        0.0 |   5.0 |  12.0 |
          26.0 |             22.0 |           151.561 |   0.0964 |        0.0 |   6.0 |  12.0 |
          26.0 |             22.0 |           157.011 |   0.0752 |        0.0 |   7.0 |  12.0 |
          26.0 |             22.0 |           184.345 |    0.128 |        0.0 |   8.0 |  12.0 |
          26.0 |             22.0 |           239.372 |   0.0252 |        0.0 |   9.0 |  12.0 |
          26.0 |             22.0 |           247.653 |  0.00139 |        0.0 |  10.0 |  12.0 |
          26.0 |             22.0 |           103.479 | 0.000455 |        0.0 |   4.0 |  13.0 |
          26.0 |             22.0 |           109.492 |   0.0231 |        0.0 |   5.0 |  13.0 |
          26.0 |             22.0 |           144.873 |   0.0671 |        0.0 |   6.0 |  13.0 |
          26.0 |             22.0 |           149.844 |    0.248 |        0.0 |   7.0 |  13.0 |
          26.0 |             22.0 |           230.282 |    0.151 |        0.0 |  10.0 |  13.0 |
          26.0 |             22.0 |            85.831 | 0.000471 |        0.0 |   3.0 |  14.0 |
          26.0 |             22.0 |            90.136 | 0.000147 |        0.0 |   4.0 |  14.0 |
          26.0 |             22.0 |           120.002 |    0.123 |        0.0 |   6.0 |  14.0 |
          26.0 |             22.0 |           139.669 |   0.0139 |        0.0 |   8.0 |  14.0 |
          26.0 |             22.0 |           169.125 |   0.0957 |        0.0 |   9.0 |  14.0 |
          26.0 |             22.0 |           173.217 |   0.0177 |        0.0 |  10.0 |  14.0 |
          26.0 |             22.0 |            81.755 | 5.98e-05 |        0.0 |   3.0 |  15.0 |
          26.0 |             22.0 |            85.651 |  0.00139 |        0.0 |   4.0 |  15.0 |
          26.0 |             22.0 |             89.73 | 0.000815 |        0.0 |   5.0 |  15.0 |
          26.0 |             22.0 |           112.182 |   0.0368 |        0.0 |   6.0 |  15.0 |
          26.0 |             22.0 |            115.14 |    0.105 |        0.0 |   7.0 |  15.0 |
          26.0 |             22.0 |           129.187 |   0.0325 |        0.0 |   8.0 |  15.0 |
          26.0 |             22.0 |           153.995 |   0.0259 |        0.0 |   9.0 |  15.0 |
          26.0 |             22.0 |           157.381 |    0.286 |        0.0 |  10.0 |  15.0 |
          26.0 |             22.0 |           12.3247 |   0.0392 |        0.0 |   1.0 |  16.0 |
          26.0 |             22.0 |           12.5069 |   0.0778 |        0.0 |   2.0 |  16.0 |
          26.0 |             22.0 |           12.2311 |     15.9 |        0.0 |   2.0 |  17.0 |
          26.0 |             22.0 |           12.6739 | 1.14e-05 |        0.0 |   3.0 |  17.0 |
          26.0 |             22.0 |           12.7651 | 0.000205 |        0.0 |   4.0 |  17.0 |
          26.0 |             22.0 |            13.231 |  0.00987 |        0.0 |   6.0 |  17.0 |
          26.0 |             22.0 |            13.436 |  7.1e-06 |        0.0 |   8.0 |  17.0 |
          26.0 |             22.0 |           13.6757 |  0.00181 |        0.0 |   9.0 |  17.0 |
          26.0 |             22.0 |           13.6967 | 1.81e-05 |        0.0 |  10.0 |  17.0 |
          26.0 |             22.0 |           554.614 |   0.0917 |        0.0 |  16.0 |  17.0 |
          26.0 |             22.0 |           12.0052 |     17.0 |        0.0 |   1.0 |  18.0 |
          26.0 |             22.0 |            12.178 |     16.0 |        0.0 |   2.0 |  18.0 |
          26.0 |             22.0 |            12.793 |  0.00274 |        0.0 |   5.0 |  18.0 |
          26.0 |             22.0 |           13.1689 |  0.00102 |        0.0 |   6.0 |  18.0 |
          26.0 |             22.0 |           13.2103 |   0.0163 |        0.0 |   7.0 |  18.0 |
          26.0 |             22.0 |            13.372 |  0.00249 |        0.0 |   8.0 |  18.0 |
          26.0 |             22.0 |           13.6094 | 0.000154 |        0.0 |   9.0 |  18.0 |
          26.0 |             22.0 |           13.6301 |  0.00307 |        0.0 |  10.0 |  18.0 |
          26.0 |             22.0 |           463.103 |    0.214 |        0.0 |  16.0 |  18.0 |
          26.0 |             22.0 |           12.3914 |   0.0227 |        0.0 |   3.0 |  19.0 |
          26.0 |             22.0 |           12.4786 |    0.103 |        0.0 |   4.0 |  19.0 |
          26.0 |             22.0 |           12.9235 |    0.001 |        0.0 |   6.0 |  19.0 |
          26.0 |             22.0 |            13.119 | 2.79e-05 |        0.0 |   8.0 |  19.0 |
          26.0 |             22.0 |           13.3474 | 0.000154 |        0.0 |   9.0 |  19.0 |
          26.0 |             22.0 |           13.3674 | 2.84e-05 |        0.0 |  10.0 |  19.0 |
          26.0 |             22.0 |           11.7675 |     1.33 |        0.0 |   1.0 |  20.0 |
          26.0 |             22.0 |           11.9336 |    0.255 |        0.0 |   2.0 |  20.0 |
          26.0 |             22.0 |           12.3428 |    0.114 |        0.0 |   3.0 |  21.0 |
          26.0 |             22.0 |           12.4293 |   0.0289 |        0.0 |   4.0 |  21.0 |
          26.0 |             22.0 |           12.5113 |    0.119 |        0.0 |   5.0 |  21.0 |
          26.0 |             22.0 |           12.8706 |  0.00292 |        0.0 |   6.0 |  21.0 |
