 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |    i |    j |
           1.0 |              1.0 | 1215.6700439453125 |     0.8324000239372253 |            0.0 |  1.0 |  2.0 |
           1.0 |              1.0 |  1025.719970703125 |     0.1581999957561493 |            0.0 |  1.0 |  3.0 |
           1.0 |              1.0 |  972.5399780273438 |     0.0579800009727478 |            0.0 |  1.0 |  4.0 |
           1.0 |              1.0 |   949.739990234375 |   0.027879999950528145 |            0.0 |  1.0 |  5.0 |
           1.0 |              1.0 |  937.7999877929688 |   0.015598000027239323 |            0.0 |  1.0 |  6.0 |
           1.0 |              1.0 |             930.75 |   0.009627999737858772 |            0.0 |  1.0 |  7.0 |
           1.0 |              1.0 |    926.22998046875 |   0.006366000045090914 |            0.0 |  1.0 |  8.0 |
           1.0 |              1.0 |  923.1500244140625 |    0.00443200021982193 |            0.0 |  1.0 |  9.0 |
           1.0 |              1.0 |  920.9600219726562 |  0.0032099999953061342 |            0.0 |  1.0 | 10.0 |
           1.0 |              1.0 |  919.3499755859375 |  0.0024019998963922262 |            0.0 |  1.0 | 11.0 |
           1.0 |              1.0 |  918.1300048828125 |  0.0018427999457344413 |            0.0 |  1.0 | 12.0 |
           1.0 |              1.0 |  917.1799926757812 |  0.0014453999465331435 |            0.0 |  1.0 | 13.0 |
           1.0 |              1.0 |  916.4299926757812 |   0.001154799945652485 |            0.0 |  1.0 | 14.0 |
           1.0 |              1.0 |  915.8200073242188 |  0.0009371999767608941 |            0.0 |  1.0 | 15.0 |
           1.0 |              1.0 |  915.3300170898438 |  0.0007711999933235347 |            0.0 |  1.0 | 16.0 |
           1.0 |              1.0 |  914.9199829101562 |  0.0006422000005841255 |            0.0 |  1.0 | 17.0 |
           1.0 |              1.0 |  914.5800170898438 |  0.0005403999821282923 |            0.0 |  1.0 | 18.0 |
           1.0 |              1.0 |  914.2899780273438 |  0.0004592000041157007 |            0.0 |  1.0 | 19.0 |
           1.0 |              1.0 |  914.0399780273438 | 0.00039339999784715474 |            0.0 |  1.0 | 20.0 |
           1.0 |              1.0 |  913.8300170898438 |  0.0003395999956410378 |            0.0 |  1.0 | 21.0 |
           1.0 |              1.0 |  913.6400146484375 | 0.00029520000680349767 |            0.0 |  1.0 | 22.0 |
           1.0 |              1.0 |    913.47998046875 |  0.0002581999870017171 |            0.0 |  1.0 | 23.0 |
           1.0 |              1.0 |  913.3400268554688 |  0.0002271999983349815 |            0.0 |  1.0 | 24.0 |
           1.0 |              1.0 |  913.2100219726562 | 0.00020080000103916973 |            0.0 |  1.0 | 25.0 |
           1.0 |              1.0 |  913.0999755859375 |  0.0001785200001904741 |            0.0 |  1.0 | 26.0 |
           1.0 |              1.0 |   913.010009765625 | 0.00015936000272631645 |            0.0 |  1.0 | 27.0 |
           1.0 |              1.0 |  912.9199829101562 |  0.0001428399991709739 |            0.0 |  1.0 | 28.0 |
           1.0 |              1.0 |  912.8400268554688 | 0.00012854000669904053 |            0.0 |  1.0 | 29.0 |
           1.0 |              1.0 |    912.77001953125 | 0.00011608000204432756 |            0.0 |  1.0 | 30.0 |
           1.0 |              1.0 |    6562.7900390625 |     5.1255998611450195 |    82259.09375 |  2.0 |  3.0 |
           1.0 |              1.0 |   4861.31982421875 |     0.9544000029563904 |    82259.09375 |  2.0 |  4.0 |
           1.0 |              1.0 |    4340.4599609375 |    0.35736000537872314 |    82259.09375 |  2.0 |  5.0 |
           1.0 |              1.0 |   4101.72998046875 |    0.17671999335289001 |    82259.09375 |  2.0 |  6.0 |
           1.0 |              1.0 |  3970.070068359375 |    0.10159999877214432 |    82259.09375 |  2.0 |  7.0 |
           1.0 |              1.0 |  3889.050048828125 |    0.06428799778223038 |    82259.09375 |  2.0 |  8.0 |
           1.0 |              1.0 |    3835.3798828125 |   0.043432001024484634 |    82259.09375 |  2.0 |  9.0 |
           1.0 |              1.0 |   3797.89990234375 |    0.03080799989402294 |    82259.09375 |  2.0 | 10.0 |
           1.0 |              1.0 |    3770.6298828125 |   0.022679999470710754 |    82259.09375 |  2.0 | 11.0 |
           1.0 |              1.0 |   3750.14990234375 |   0.017208000645041466 |    82259.09375 |  2.0 | 12.0 |
           1.0 |              1.0 |    3734.3701171875 |   0.013376000337302685 |    82259.09375 |  2.0 | 13.0 |
           1.0 |              1.0 |   3721.93994140625 |   0.010607999749481678 |    82259.09375 |  2.0 | 14.0 |
           1.0 |              1.0 |  3711.969970703125 |   0.008559999987483025 |    82259.09375 |  2.0 | 15.0 |
           1.0 |              1.0 |   3703.85009765625 |   0.007011199835687876 |    82259.09375 |  2.0 | 16.0 |
           1.0 |              1.0 |   3697.14990234375 |   0.005816000048071146 |    82259.09375 |  2.0 | 17.0 |
           1.0 |              1.0 |  3691.550048828125 |  0.0048791998997330666 |    82259.09375 |  2.0 | 18.0 |
           1.0 |              1.0 |     3686.830078125 |  0.0041335998103022575 |    82259.09375 |  2.0 | 19.0 |
           1.0 |              1.0 |   3682.81005859375 |   0.003532799892127514 |    82259.09375 |  2.0 | 20.0 |
