 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |           E_i(cm^-1) |     i |     j |
           2.0 |              1.0 |    625.56298828125 |    3.0450000973372e-14 | 0.003599999938160181 |   1.0 |   2.0 |
           2.0 |              1.0 |  591.4119873046875 |  1.307000019323823e-07 | 0.003599999938160181 |   1.0 |   4.0 |
           2.0 |              1.0 |      584.333984375 |    0.27630001306533813 | 0.003599999938160181 |   1.0 |   5.0 |
           2.0 |              1.0 |  537.3309936523438 |  2.811000001656794e-07 | 0.003599999938160181 |   1.0 |  10.0 |
           2.0 |              1.0 |   537.030029296875 |    0.07345999777317047 | 0.003599999938160181 |   1.0 |  11.0 |
           2.0 |              1.0 |  522.3389892578125 |  1.531000037857666e-07 | 0.003599999938160181 |   1.0 |  16.0 |
           2.0 |              1.0 |  522.2130126953125 |    0.02988000027835369 | 0.003599999938160181 |   1.0 |  19.0 |
           2.0 |              1.0 |  515.6810302734375 |   8.59900026739524e-08 | 0.003599999938160181 |   1.0 |  24.0 |
           2.0 |              1.0 |  515.6170043945312 |   0.015039999969303608 | 0.003599999938160181 |   1.0 |  29.0 |
           2.0 |              1.0 |   512.135986328125 | 5.2059998978393196e-08 | 0.003599999938160181 |   1.0 |  34.0 |
           2.0 |              1.0 |  512.0989990234375 |   0.008630000054836273 | 0.003599999938160181 |   1.0 |  41.0 |
           2.0 |              1.0 | 509.99798583984375 |   0.005406999960541725 | 0.003599999938160181 |   1.0 |  55.0 |
           2.0 |              1.0 | 508.64300537109375 |   0.003611000021919608 | 0.003599999938160181 |   1.0 |  69.0 |
           2.0 |              1.0 |  507.7179870605469 |  0.0025309999473392963 | 0.003599999938160181 |   1.0 |  83.0 |
           2.0 |              1.0 |  507.0580139160156 |  0.0018420000560581684 | 0.003599999938160181 |   1.0 |  97.0 |
           2.0 |              1.0 |  506.5710144042969 |  0.0013685999438166618 | 0.003599999938160181 |   1.0 | 111.0 |
           2.0 |              1.0 | 506.20001220703125 |  0.0010497999610379338 | 0.003599999938160181 |   1.0 | 125.0 |
           2.0 |              1.0 |  505.9129943847656 |  0.0008230200037360191 | 0.003599999938160181 |   1.0 | 139.0 |
           2.0 |              1.0 |  505.6839904785156 |  0.0006572799757122993 | 0.003599999938160181 |   1.0 | 153.0 |
           2.0 |              1.0 |              505.5 |  0.0005332899745553732 | 0.003599999938160181 |   1.0 | 167.0 |
           2.0 |              1.0 |  505.3500061035156 | 0.00043867999920621514 | 0.003599999938160181 |   1.0 | 181.0 |
           2.0 |              1.0 |  505.2250061035156 | 0.00036522001028060913 | 0.003599999938160181 |   1.0 | 195.0 |
