 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |    i |    j |
           2.0 |              2.0 |  303.7799987792969 |     0.8324000239372253 |          0.0 |  1.0 |  2.0 |
           2.0 |              2.0 | 256.32000732421875 |     0.1581999957561493 |          0.0 |  1.0 |  3.0 |
           2.0 |              2.0 | 243.02999877929688 |     0.0579800009727478 |          0.0 |  1.0 |  4.0 |
           2.0 |              2.0 |  237.3300018310547 |   0.027879999950528145 |          0.0 |  1.0 |  5.0 |
           2.0 |              2.0 | 234.35000610351562 |   0.015598000027239323 |          0.0 |  1.0 |  6.0 |
           2.0 |              2.0 |  232.5800018310547 |   0.009627999737858772 |          0.0 |  1.0 |  7.0 |
           2.0 |              2.0 |  231.4499969482422 |   0.006366000045090914 |          0.0 |  1.0 |  8.0 |
           2.0 |              2.0 | 230.69000244140625 |    0.00443200021982193 |          0.0 |  1.0 |  9.0 |
           2.0 |              2.0 | 230.13999938964844 |  0.0032099999953061342 |          0.0 |  1.0 | 10.0 |
           2.0 |              2.0 | 229.74000549316406 |  0.0024019998963922262 |          0.0 |  1.0 | 11.0 |
           2.0 |              2.0 | 229.42999267578125 |  0.0018427999457344413 |          0.0 |  1.0 | 12.0 |
           2.0 |              2.0 | 229.19000244140625 |  0.0014453999465331435 |          0.0 |  1.0 | 13.0 |
           2.0 |              2.0 | 229.00999450683594 |   0.001154799945652485 |          0.0 |  1.0 | 14.0 |
           2.0 |              2.0 | 228.85000610351562 |  0.0009371999767608941 |          0.0 |  1.0 | 15.0 |
           2.0 |              2.0 | 228.72999572753906 |  0.0007711999933235347 |          0.0 |  1.0 | 16.0 |
           2.0 |              2.0 |  228.6300048828125 |  0.0006422000005841255 |          0.0 |  1.0 | 17.0 |
           2.0 |              2.0 |  228.5399932861328 |  0.0005403999821282923 |          0.0 |  1.0 | 18.0 |
           2.0 |              2.0 | 228.47000122070312 |  0.0004592000041157007 |          0.0 |  1.0 | 19.0 |
           2.0 |              2.0 | 228.41000366210938 | 0.00039339999784715474 |          0.0 |  1.0 | 20.0 |
           2.0 |              2.0 | 228.36000061035156 |  0.0003395999956410378 |          0.0 |  1.0 | 21.0 |
           2.0 |              2.0 | 228.30999755859375 | 0.00029520000680349767 |          0.0 |  1.0 | 22.0 |
           2.0 |              2.0 | 228.27000427246094 |  0.0002581999870017171 |          0.0 |  1.0 | 23.0 |
           2.0 |              2.0 | 228.22999572753906 |  0.0002271999983349815 |          0.0 |  1.0 | 24.0 |
           2.0 |              2.0 |  228.1999969482422 | 0.00020080000103916973 |          0.0 |  1.0 | 25.0 |
           2.0 |              2.0 | 228.17999267578125 |  0.0001785200001904741 |          0.0 |  1.0 | 26.0 |
           2.0 |              2.0 | 228.14999389648438 | 0.00015936000272631645 |          0.0 |  1.0 | 27.0 |
           2.0 |              2.0 |  228.1300048828125 |  0.0001428399991709739 |          0.0 |  1.0 | 28.0 |
           2.0 |              2.0 | 228.11000061035156 | 0.00012854000669904053 |          0.0 |  1.0 | 29.0 |
           2.0 |              2.0 | 228.08999633789062 | 0.00011608000204432756 |          0.0 |  1.0 | 30.0 |
           2.0 |              2.0 | 1640.4200439453125 |     5.1255998611450195 |  329182.1875 |  2.0 |  3.0 |
           2.0 |              2.0 | 1215.1300048828125 |     0.9544000029563904 |  329182.1875 |  2.0 |  4.0 |
           2.0 |              2.0 |   1084.93994140625 |    0.35736000537872314 |  329182.1875 |  2.0 |  5.0 |
           2.0 |              2.0 |   1025.27001953125 |    0.17671999335289001 |  329182.1875 |  2.0 |  6.0 |
           2.0 |              2.0 |  992.3599853515625 |    0.10159999877214432 |  329182.1875 |  2.0 |  7.0 |
           2.0 |              2.0 |  972.1099853515625 |    0.06428799778223038 |  329182.1875 |  2.0 |  8.0 |
           2.0 |              2.0 |  958.7000122070312 |   0.043432001024484634 |  329182.1875 |  2.0 |  9.0 |
           2.0 |              2.0 |  949.3300170898438 |    0.03080799989402294 |  329182.1875 |  2.0 | 10.0 |
           2.0 |              2.0 |   942.510009765625 |   0.022679999470710754 |  329182.1875 |  2.0 | 11.0 |
           2.0 |              2.0 |  937.3900146484375 |   0.017208000645041466 |  329182.1875 |  2.0 | 12.0 |
           2.0 |              2.0 |  933.4500122070312 |   0.013376000337302685 |  329182.1875 |  2.0 | 13.0 |
           2.0 |              2.0 |  930.3400268554688 |   0.010607999749481678 |  329182.1875 |  2.0 | 14.0 |
