 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |       E_i(cm^-1) |    i |    j |
          19.0 |              3.0 |  765.6380004882812 |     0.7762399911880493 |              0.0 |  1.0 |  3.0 |
          19.0 |              3.0 |  523.7880249023438 |    0.08317600190639496 |              0.0 |  1.0 |  6.0 |
          19.0 |              3.0 |  520.6110229492188 |     3.6308000087738037 |              0.0 |  1.0 |  7.0 |
          19.0 |              3.0 |    497.10400390625 |     0.4365200102329254 |              0.0 |  1.0 |  9.0 |
          19.0 |              3.0 |  482.1090087890625 |  0.0019952799193561077 |              0.0 |  1.0 | 10.0 |
          19.0 |              3.0 | 479.18499755859375 |   0.015135600231587887 |              0.0 |  1.0 | 11.0 |
          19.0 |              3.0 |  477.4150085449219 | 1.4791199646424502e-05 |              0.0 |  1.0 | 12.0 |
          19.0 |              3.0 |  470.0899963378906 |     0.6606799960136414 |              0.0 |  1.0 | 13.0 |
          19.0 |              3.0 |  466.7829895019531 |    0.13182400166988373 |              0.0 |  1.0 | 14.0 |
          19.0 |              3.0 |   444.343994140625 |    0.47863999009132385 |              0.0 |  1.0 | 15.0 |
          19.0 |              3.0 | 444.27899169921875 |    0.02454720064997673 |              0.0 |  1.0 | 16.0 |
          19.0 |              3.0 |   414.864990234375 |     1.9498399496078491 |              0.0 |  1.0 | 21.0 |
          19.0 |              3.0 |  413.7929992675781 |    0.12589199841022491 |              0.0 |  1.0 | 23.0 |
          19.0 |              3.0 |  412.2879943847656 |    0.26302799582481384 |              0.0 |  1.0 | 26.0 |
          19.0 |              3.0 |  408.9590148925781 |     1.6217999458312988 |              0.0 |  1.0 | 30.0 |
          19.0 |              3.0 |  406.4880065917969 |    0.30199599266052246 |              0.0 |  1.0 | 32.0 |
          19.0 |              3.0 |  398.6319885253906 |     1.2302800416946411 |              0.0 |  1.0 | 34.0 |
          19.0 |              3.0 | 380.47698974609375 |    0.01202279981225729 |              0.0 |  1.0 | 35.0 |
          19.0 |              3.0 |  379.1180114746094 |   0.002344239968806505 |              0.0 |  1.0 | 36.0 |
          19.0 |              3.0 |     345.5419921875 |   0.050119999796152115 |              0.0 |  1.0 | 37.0 |
          19.0 |              3.0 |  345.3999938964844 |   0.005247999913990498 |              0.0 |  1.0 | 38.0 |
          19.0 |              3.0 |  330.6830139160156 |     0.4074000120162964 |              0.0 |  1.0 | 39.0 |
          19.0 |              3.0 |  778.5499877929688 |     0.3890399932861328 | 2166.10009765625 |  2.0 |  3.0 |
          19.0 |              3.0 |  529.7990112304688 |      1.819700002670288 | 2166.10009765625 |  2.0 |  6.0 |
          19.0 |              3.0 | 484.21099853515625 |   0.001047119963914156 | 2166.10009765625 |  2.0 | 11.0 |
          19.0 |              3.0 | 482.40399169921875 |  0.0017377999611198902 | 2166.10009765625 |  2.0 | 12.0 |
          19.0 |              3.0 |  474.9259948730469 |    0.09772399812936783 | 2166.10009765625 |  2.0 | 13.0 |
          19.0 |              3.0 |  471.5509948730469 |    0.23442000150680542 | 2166.10009765625 |  2.0 | 14.0 |
          19.0 |              3.0 | 448.59600830078125 |     0.3090200126171112 | 2166.10009765625 |  2.0 | 16.0 |
          19.0 |              3.0 | 418.62701416015625 |     0.5011799931526184 | 2166.10009765625 |  2.0 | 21.0 |
          19.0 |              3.0 |  417.5350036621094 |    0.08317600190639496 | 2166.10009765625 |  2.0 | 23.0 |
