 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          19.0 |             10.0 |           41.6811 |       0.0 |        0.0 |   1.0 |   2.0 |
          19.0 |             10.0 |            41.548 |   0.07954 |        0.0 |   1.0 |   3.0 |
          19.0 |             10.0 |          4262.257 |       0.0 |  2399168.2 |   2.0 |   4.0 |
          19.0 |             10.0 |          6339.245 |       0.0 |  2406855.2 |   3.0 |   4.0 |
          19.0 |             10.0 |           41.1499 |    0.1639 |        0.0 |   1.0 |   5.0 |
          19.0 |             10.0 |           942.434 |  0.009526 |  2430137.2 |   5.0 |   6.0 |
          19.0 |             10.0 |           880.162 |   0.01413 |  2422630.0 |   4.0 |   6.0 |
          19.0 |             10.0 |           729.516 |    0.2787 |  2399168.2 |   2.0 |   6.0 |
          19.0 |             10.0 |           772.856 |   0.05837 |  2406855.2 |   3.0 |   6.0 |
          19.0 |             10.0 |           626.012 |       1.1 |  2399168.2 |   2.0 |   7.0 |
          19.0 |             10.0 |           773.624 |  0.002431 |  2430137.2 |   5.0 |   8.0 |
          19.0 |             10.0 |           39.0717 |       0.0 |        0.0 |   1.0 |   8.0 |
          19.0 |             10.0 |             624.1 |    0.3303 |  2399168.2 |   2.0 |   8.0 |
          19.0 |             10.0 |            655.55 |    0.4373 |  2406855.2 |   3.0 |   8.0 |
          19.0 |             10.0 |           733.343 |  0.000736 |  2430137.2 |   5.0 |   9.0 |
          19.0 |             10.0 |           695.077 |   0.02855 |  2422630.0 |   4.0 |   9.0 |
          19.0 |             10.0 |           597.619 |   0.06378 |  2399168.2 |   2.0 |   9.0 |
          19.0 |             10.0 |           626.395 |    0.3809 |  2406855.2 |   3.0 |   9.0 |
          19.0 |             10.0 |           701.645 |   0.06919 |  2430137.2 |   5.0 |  10.0 |
          19.0 |             10.0 |           38.8703 |       0.0 |        0.0 |   1.0 |  10.0 |
          19.0 |             10.0 |           576.398 |    0.4729 |  2399168.2 |   2.0 |  10.0 |
          19.0 |             10.0 |           603.121 |     0.302 |  2406855.2 |   3.0 |  10.0 |
          19.0 |             10.0 |           656.112 |    0.2135 |  2430137.2 |   5.0 |  11.0 |
          19.0 |             10.0 |           625.312 |    0.2357 |  2422630.0 |   4.0 |  11.0 |
          19.0 |             10.0 |            545.31 |  0.004968 |  2399168.2 |   2.0 |  11.0 |
          19.0 |             10.0 |           569.168 |  0.009712 |  2406855.2 |   3.0 |  11.0 |
          19.0 |             10.0 |           560.745 |    0.1374 |  2406855.2 |   3.0 |  12.0 |
          19.0 |             10.0 |           644.944 |   0.03701 |  2430137.2 |   5.0 |  12.0 |
          19.0 |             10.0 |           625.192 |    0.7169 |  2430137.2 |   5.0 |  13.0 |
          19.0 |             10.0 |           38.6087 |       0.0 |        0.0 |   1.0 |  13.0 |
          19.0 |             10.0 |            523.78 |   0.04102 |  2399168.2 |   2.0 |  13.0 |
          19.0 |             10.0 |           545.754 |   0.05193 |  2406855.2 |   3.0 |  13.0 |
          19.0 |             10.0 |           622.119 |    0.2289 |  2430137.2 |   5.0 |  14.0 |
          19.0 |             10.0 |            594.36 |     0.194 |  2422630.0 |   4.0 |  14.0 |
          19.0 |             10.0 |           521.621 |   0.07508 |  2399168.2 |   2.0 |  14.0 |
          19.0 |             10.0 |            543.41 |  0.003128 |  2406855.2 |   3.0 |  14.0 |
          19.0 |             10.0 |           384.012 |   0.07802 |  2406855.2 |   3.0 |  15.0 |
          19.0 |             10.0 |           421.715 |    0.2176 |  2430137.2 |   5.0 |  15.0 |
          19.0 |             10.0 |           571.467 |  0.003413 |  2582550.2 |  11.0 |  16.0 |
          19.0 |             10.0 |           523.452 |   0.02016 |  2566499.0 |   9.0 |  16.0 |
          19.0 |             10.0 |            451.89 |    0.1651 |  2536245.5 |   6.0 |  16.0 |
          19.0 |             10.0 |           600.023 |   0.02374 |  2590878.2 |  14.0 |  16.0 |
          19.0 |             10.0 |           279.041 |       0.0 |  2399168.2 |   2.0 |  16.0 |
          19.0 |             10.0 |           590.995 |   0.02238 |  2590878.2 |  14.0 |  17.0 |
          19.0 |             10.0 |           516.568 |   0.01111 |  2566499.0 |   9.0 |  17.0 |
          19.0 |             10.0 |           563.272 |  0.005357 |  2582550.2 |  11.0 |  17.0 |
          19.0 |             10.0 |           36.2308 |  0.005054 |        0.0 |   1.0 |  17.0 |
          19.0 |             10.0 |           588.247 |   0.01467 |  2590088.0 |  13.0 |  17.0 |
          19.0 |             10.0 |            446.75 |    0.4344 |  2536245.5 |   6.0 |  17.0 |
          19.0 |             10.0 |           498.292 |   0.03277 |  2559399.0 |   8.0 |  17.0 |
          19.0 |             10.0 |           533.547 |   0.07945 |  2572659.5 |  10.0 |  17.0 |
          19.0 |             10.0 |           571.772 |   0.03811 |  2585189.5 |  12.0 |  17.0 |
          19.0 |             10.0 |           277.073 |       0.0 |  2399168.2 |   2.0 |  17.0 |
          19.0 |             10.0 |           573.723 |   0.01521 |  2590878.2 |  14.0 |  18.0 |
          19.0 |             10.0 |           503.323 |   0.04596 |  2566499.0 |   9.0 |  18.0 |
          19.0 |             10.0 |           484.804 |   0.02453 |  2558909.5 |   7.0 |  18.0 |
          19.0 |             10.0 |            547.56 |   0.01543 |  2582550.2 |  11.0 |  18.0 |
          19.0 |             10.0 |            36.164 |       0.0 |        0.0 |   1.0 |  18.0 |
          19.0 |             10.0 |           571.133 |   0.05554 |  2590088.0 |  13.0 |  18.0 |
          19.0 |             10.0 |           436.809 |    0.5222 |  2536245.5 |   6.0 |  18.0 |
          19.0 |             10.0 |           485.957 |   0.03715 |  2559399.0 |   8.0 |  18.0 |
          19.0 |             10.0 |           519.429 |    0.3526 |  2572659.5 |  10.0 |  18.0 |
