 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          19.0 |             13.0 |            994.52 |       0.0 |        0.0 |  1.0 |  2.0 |
          19.0 |             13.0 |           945.832 |       0.0 |        0.0 |  1.0 |  3.0 |
          19.0 |             13.0 |         19319.938 |       0.0 |   100551.0 |  2.0 |  3.0 |
          19.0 |             13.0 |            622.51 |       0.0 |        0.0 |  1.0 |  4.0 |
          19.0 |             13.0 |          1664.198 |       0.0 |   100551.0 |  2.0 |  4.0 |
          19.0 |             13.0 |          1821.062 |       0.0 |   105727.0 |  3.0 |  4.0 |
          19.0 |             13.0 |           594.941 |       0.0 |        0.0 |  1.0 |  5.0 |
          19.0 |             13.0 |          1480.758 |       0.0 |   100551.0 |  2.0 |  5.0 |
          19.0 |             13.0 |          1603.669 |       0.0 |   105727.0 |  3.0 |  5.0 |
          19.0 |             13.0 |         13433.638 |       0.0 |   160640.0 |  4.0 |  5.0 |
          19.0 |             13.0 |           208.109 |    0.3096 |        0.0 |  1.0 |  6.0 |
          19.0 |             13.0 |           263.181 |  0.000944 |   100551.0 |  2.0 |  6.0 |
          19.0 |             13.0 |           266.815 |  0.001224 |   105727.0 |  3.0 |  6.0 |
          19.0 |             13.0 |           320.068 |  0.000716 |   168084.0 |  5.0 |  6.0 |
          19.0 |             13.0 |           201.509 |    0.2148 |        0.0 |  1.0 |  7.0 |
          19.0 |             13.0 |           252.714 |  6.08e-06 |   100551.0 |  2.0 |  7.0 |
          19.0 |             13.0 |           256.064 | 5.964e-05 |   105727.0 |  3.0 |  7.0 |
          19.0 |             13.0 |            297.96 |  6.82e-06 |   160640.0 |  4.0 |  7.0 |
          19.0 |             13.0 |           304.719 |  0.001112 |   168084.0 |  5.0 |  7.0 |
          19.0 |             13.0 |           198.522 |    0.1104 |        0.0 |  1.0 |  8.0 |
          19.0 |             13.0 |           248.033 | 0.0001312 |   100551.0 |  2.0 |  8.0 |
          19.0 |             13.0 |           291.475 |  0.000218 |   160640.0 |  4.0 |  8.0 |
          19.0 |             13.0 |           297.939 | 3.672e-06 |   168084.0 |  5.0 |  8.0 |
          19.0 |             13.0 |           151.121 | 0.0002344 |        0.0 |  1.0 |  9.0 |
          19.0 |             13.0 |           178.199 |    0.3736 |   100551.0 |  2.0 |  9.0 |
          19.0 |             13.0 |           179.858 |   0.01908 |   105727.0 |  3.0 |  9.0 |
          19.0 |             13.0 |           199.569 |     0.052 |   160640.0 |  4.0 |  9.0 |
          19.0 |             13.0 |           202.578 |  0.002368 |   168084.0 |  5.0 |  9.0 |
          19.0 |             13.0 |           150.873 |  7.48e-06 |        0.0 |  1.0 | 10.0 |
          19.0 |             13.0 |           177.854 |     0.005 |   100551.0 |  2.0 | 10.0 |
          19.0 |             13.0 |           179.507 |    0.5148 |   105727.0 |  3.0 | 10.0 |
          19.0 |             13.0 |           202.132 |    0.1308 |   168084.0 |  5.0 | 10.0 |
          19.0 |             13.0 |            129.92 |  0.000636 |        0.0 |  1.0 | 11.0 |
          19.0 |             13.0 |           149.442 |    0.0732 |   100551.0 |  2.0 | 11.0 |
          19.0 |             13.0 |           164.186 |    0.1486 |   160640.0 |  4.0 | 11.0 |
          19.0 |             13.0 |           166.218 |    0.1104 |   168084.0 |  5.0 | 11.0 |
          19.0 |             13.0 |           124.772 |  0.003004 |        0.0 |  1.0 | 12.0 |
          19.0 |             13.0 |           142.671 |    0.1396 |   100551.0 |  2.0 | 12.0 |
          19.0 |             13.0 |           143.733 |      0.72 |   105727.0 |  3.0 | 12.0 |
          19.0 |             13.0 |            156.05 |    0.0542 |   160640.0 |  4.0 | 12.0 |
          19.0 |             13.0 |           157.884 |    0.1316 |   168084.0 |  5.0 | 12.0 |
          19.0 |             13.0 |           121.568 | 0.0002788 |        0.0 |  1.0 | 13.0 |
          19.0 |             13.0 |           138.498 |    0.2256 |   100551.0 |  2.0 | 13.0 |
          19.0 |             13.0 |            151.07 |    0.0462 |   160640.0 |  4.0 | 13.0 |
          19.0 |             13.0 |           152.789 |    0.2428 |   168084.0 |  5.0 | 13.0 |
          19.0 |             13.0 |           128.886 |  0.002444 |   480518.0 |  6.0 | 14.0 |
          19.0 |             13.0 |           131.555 |   0.00086 |   496255.0 |  7.0 | 14.0 |
          19.0 |             13.0 |            132.86 | 0.0002716 |   503723.0 |  8.0 | 14.0 |
          19.0 |             13.0 |           168.468 |     0.472 |   662809.0 | 10.0 | 14.0 |
          19.0 |             13.0 |           168.159 |    0.0868 |   661721.0 |  9.0 | 14.0 |
          19.0 |             13.0 |            205.47 |    0.0864 |   769705.0 | 11.0 | 14.0 |
          19.0 |             13.0 |           219.813 |     0.576 |   801462.0 | 12.0 | 14.0 |
          19.0 |             13.0 |           230.515 |    0.0792 |   822583.0 | 13.0 | 14.0 |
          19.0 |             13.0 |           127.312 |  6.24e-05 |   496255.0 |  7.0 | 15.0 |
          19.0 |             13.0 |           128.534 |   0.00043 |   503723.0 |  8.0 | 15.0 |
          19.0 |             13.0 |           161.289 |     0.244 |   661721.0 |  9.0 | 15.0 |
          19.0 |             13.0 |           195.305 |  0.000592 |   769705.0 | 11.0 | 15.0 |
          19.0 |             13.0 |           208.219 |    0.1512 |   801462.0 | 12.0 | 15.0 |
          19.0 |             13.0 |           217.798 |     0.262 |   822583.0 | 13.0 | 15.0 |
%CHIANTI
