 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          19.0 |             15.0 |          3446.256 |       0.0 |        0.0 |   1.0 |   2.0 |
          19.0 |             15.0 |           402.706 | 0.0002257 |        0.0 |   1.0 |   3.0 |
          19.0 |             15.0 |            455.99 | 0.0002958 |    29017.0 |   2.0 |   3.0 |
          19.0 |             15.0 |           385.164 | 1.905e-05 |        0.0 |   1.0 |   4.0 |
          19.0 |             15.0 |          8841.733 |       0.0 |   248320.0 |   3.0 |   4.0 |
          19.0 |             15.0 |           433.627 | 0.0001818 |    29017.0 |   2.0 |   4.0 |
          19.0 |             15.0 |          6863.418 |       0.0 |   259630.0 |   4.0 |   5.0 |
          19.0 |             15.0 |           407.859 |  0.001064 |    29017.0 |   2.0 |   5.0 |
          19.0 |             15.0 |           225.246 |    0.2408 |        0.0 |   1.0 |   6.0 |
          19.0 |             15.0 |           240.997 |    0.0191 |    29017.0 |   2.0 |   6.0 |
          19.0 |             15.0 |             240.1 |     0.353 |    29017.0 |   2.0 |   7.0 |
          19.0 |             15.0 |           180.878 |    0.1562 |        0.0 |   1.0 |   8.0 |
          19.0 |             15.0 |           190.897 |   0.03866 |    29017.0 |   2.0 |   8.0 |
          19.0 |             15.0 |           169.993 |   0.06259 |        0.0 |   1.0 |   9.0 |
          19.0 |             15.0 |           178.813 |    0.3312 |    29017.0 |   2.0 |   9.0 |
          19.0 |             15.0 |           166.923 |    0.1428 |        0.0 |   1.0 |  10.0 |
          19.0 |             15.0 |           175.419 |    0.8702 |    29017.0 |   2.0 |  10.0 |
          19.0 |             15.0 |            193.93 |    0.3948 |   259630.0 |   4.0 |  11.0 |
          19.0 |             15.0 |           301.823 | 0.0001274 |   443960.0 |   6.0 |  11.0 |
          19.0 |             15.0 |           567.537 |  0.001269 |   599080.0 |  10.0 |  11.0 |
          19.0 |             15.0 |           189.768 |    0.2036 |   248320.0 |   3.0 |  11.0 |
          19.0 |             15.0 |           199.569 |    0.5754 |   274200.0 |   5.0 |  11.0 |
          19.0 |             15.0 |           534.702 | 0.0003664 |   588260.0 |   9.0 |  11.0 |
          19.0 |             15.0 |             449.6 | 0.0002798 |   552860.0 |   8.0 |  11.0 |
          19.0 |             15.0 |           303.242 | 3.516e-05 |   445510.0 |   7.0 |  11.0 |
          19.0 |             15.0 |           162.684 |  0.002272 |   259630.0 |   4.0 |  12.0 |
          19.0 |             15.0 |           232.364 |    0.3588 |   443960.0 |   6.0 |  12.0 |
          19.0 |             15.0 |           363.319 |    0.0202 |   599080.0 |  10.0 |  12.0 |
          19.0 |             15.0 |           159.744 | 1.495e-05 |   248320.0 |   3.0 |  12.0 |
          19.0 |             15.0 |           349.577 |    0.2086 |   588260.0 |   9.0 |  12.0 |
          19.0 |             15.0 |           311.081 |      0.12 |   552860.0 |   8.0 |  12.0 |
          19.0 |             15.0 |           233.204 |    0.1102 |   445510.0 |   7.0 |  12.0 |
          19.0 |             15.0 |           161.873 | 0.0001748 |   259630.0 |   4.0 |  13.0 |
          19.0 |             15.0 |           230.712 |   0.08452 |   443960.0 |   6.0 |  13.0 |
          19.0 |             15.0 |           359.299 |      0.44 |   599080.0 |  10.0 |  13.0 |
          19.0 |             15.0 |           165.782 |  0.005936 |   274200.0 |   5.0 |  13.0 |
          19.0 |             15.0 |            231.54 |    0.6808 |   445510.0 |   7.0 |  13.0 |
          19.0 |             15.0 |           138.958 |  5.41e-05 |   259630.0 |   4.0 |  14.0 |
          19.0 |             15.0 |           186.808 |    0.2804 |   443960.0 |   6.0 |  14.0 |
          19.0 |             15.0 |           263.026 |   0.08316 |   599080.0 |  10.0 |  14.0 |
          19.0 |             15.0 |           136.808 | 0.0001379 |   248320.0 |   3.0 |  14.0 |
          19.0 |             15.0 |           255.748 |    0.1443 |   588260.0 |   9.0 |  14.0 |
          19.0 |             15.0 |           234.516 | 6.616e-05 |   552860.0 |   8.0 |  14.0 |
          19.0 |             15.0 |            137.73 |  0.001012 |   259630.0 |   4.0 |  15.0 |
          19.0 |             15.0 |           184.594 |   0.08342 |   443960.0 |   6.0 |  15.0 |
          19.0 |             15.0 |           258.659 |    0.6218 |   599080.0 |  10.0 |  15.0 |
          19.0 |             15.0 |           135.617 | 1.142e-05 |   248320.0 |   3.0 |  15.0 |
          19.0 |             15.0 |            140.55 | 0.0005382 |   274200.0 |   5.0 |  15.0 |
          19.0 |             15.0 |           251.617 | 1.767e-05 |   588260.0 |   9.0 |  15.0 |
          19.0 |             15.0 |           231.038 |     0.207 |   552860.0 |   8.0 |  15.0 |
          19.0 |             15.0 |           185.123 |     0.384 |   445510.0 |   7.0 |  15.0 |
          19.0 |             15.0 |           28.9786 |       0.0 |   443960.0 |   6.0 |  16.0 |
          19.0 |             15.0 |           25.6753 |   0.04117 |        0.0 |   1.0 |  16.0 |
          19.0 |             15.0 |           34.2993 | 2.936e-06 |   979270.0 |  14.0 |  16.0 |
          19.0 |             15.0 |           25.8681 |   0.08781 |    29017.0 |   2.0 |  16.0 |
          19.0 |             15.0 |           28.9916 |       0.0 |   445510.0 |   7.0 |  16.0 |
          19.0 |             15.0 |            34.375 |  9.08e-06 |   985690.0 |  15.0 |  16.0 |
          19.0 |             15.0 |           26.6188 | 3.843e-05 |   259630.0 |   4.0 |  17.0 |
          19.0 |             15.0 |           27.9923 |   0.01367 |   443960.0 |   6.0 |  17.0 |
          19.0 |             15.0 |           29.2629 | 0.0001627 |   599080.0 |  10.0 |  17.0 |
          19.0 |             15.0 |            822.48 |    0.1271 |  3894786.5 |  16.0 |  17.0 |
          19.0 |             15.0 |            26.539 | 7.932e-06 |   248320.0 |   3.0 |  17.0 |
          19.0 |             15.0 |           25.0793 |       0.0 |    29017.0 |   2.0 |  17.0 |
          19.0 |             15.0 |           29.1707 |  0.002038 |   588260.0 |   9.0 |  17.0 |
          19.0 |             15.0 |           28.8723 | 0.0004726 |   552860.0 |   8.0 |  17.0 |
          19.0 |             15.0 |           26.5621 | 1.081e-06 |   259630.0 |   4.0 |  18.0 |
          19.0 |             15.0 |           27.9296 |  0.002292 |   443960.0 |   6.0 |  18.0 |
          19.0 |             15.0 |           29.1944 |  0.002489 |   599080.0 |  10.0 |  18.0 |
          19.0 |             15.0 |           24.8485 |       0.0 |        0.0 |   1.0 |  18.0 |
          19.0 |             15.0 |           771.586 |    0.2696 |  3894786.5 |  16.0 |  18.0 |
          19.0 |             15.0 |           26.4826 |   1.6e-06 |   248320.0 |   3.0 |  18.0 |
          19.0 |             15.0 |            25.029 |       0.0 |    29017.0 |   2.0 |  18.0 |
          19.0 |             15.0 |           26.6653 | 0.0003127 |   274200.0 |   5.0 |  18.0 |
          19.0 |             15.0 |           29.1026 | 3.977e-05 |   588260.0 |   9.0 |  18.0 |
          19.0 |             15.0 |           28.8056 |  0.003844 |   552860.0 |   8.0 |  18.0 |
          19.0 |             15.0 |           27.9417 |   0.02422 |   445510.0 |   7.0 |  18.0 |
          19.0 |             15.0 |           24.2002 |     1.292 |        0.0 |   1.0 |  19.0 |
          19.0 |             15.0 |           30.6948 | 0.0001592 |   874320.0 |  12.0 |  19.0 |
          19.0 |             15.0 |           24.3713 |    0.2584 |    29017.0 |   2.0 |  19.0 |
          19.0 |             15.0 |           814.662 |     0.177 |  4016370.0 |  17.0 |  19.0 |
          19.0 |             15.0 |           871.608 |    0.0332 |  4024389.8 |  18.0 |  19.0 |
          19.0 |             15.0 |           30.6551 |  0.000229 |   877400.0 |  13.0 |  20.0 |
          19.0 |             15.0 |            24.328 |     2.324 |    29017.0 |   2.0 |  20.0 |
          19.0 |             15.0 |           853.282 |     0.307 |  4024389.8 |  18.0 |  20.0 |
          19.0 |             15.0 |           25.7563 |    0.1238 |   259630.0 |   4.0 |  21.0 |
          19.0 |             15.0 |           27.0401 | 0.0003496 |   443960.0 |   6.0 |  21.0 |
          19.0 |             15.0 |           28.2239 |  2.43e-05 |   599080.0 |  10.0 |  21.0 |
          19.0 |             15.0 |           404.217 |  0.000328 |  3894786.5 |  16.0 |  21.0 |
          19.0 |             15.0 |           25.6815 |   0.02493 |   248320.0 |   3.0 |  21.0 |
          19.0 |             15.0 |           28.1381 | 4.461e-05 |   588260.0 |   9.0 |  21.0 |
          19.0 |             15.0 |           27.8603 | 3.729e-06 |   552860.0 |   8.0 |  21.0 |
          19.0 |             15.0 |           25.6969 |   0.03794 |   259630.0 |   4.0 |  22.0 |
          19.0 |             15.0 |           26.9747 | 0.0007069 |   443960.0 |   6.0 |  22.0 |
          19.0 |             15.0 |           28.1527 | 3.423e-06 |   599080.0 |  10.0 |  22.0 |
          19.0 |             15.0 |           390.085 |  0.001951 |  3894786.5 |  16.0 |  22.0 |
          19.0 |             15.0 |           25.6225 |    0.1236 |   248320.0 |   3.0 |  22.0 |
          19.0 |             15.0 |           25.7935 |    0.1369 |   274200.0 |   5.0 |  22.0 |
          19.0 |             15.0 |           28.0673 | 6.429e-05 |   588260.0 |   9.0 |  22.0 |
          19.0 |             15.0 |           27.7909 | 8.935e-05 |   552860.0 |   8.0 |  22.0 |
          19.0 |             15.0 |            26.986 |  0.001013 |   445510.0 |   7.0 |  22.0 |
          19.0 |             15.0 |           25.5797 |    0.1398 |   259630.0 |   4.0 |  23.0 |
          19.0 |             15.0 |           26.8455 | 0.0001027 |   443960.0 |   6.0 |  23.0 |
          19.0 |             15.0 |            28.012 | 6.913e-05 |   599080.0 |  10.0 |  23.0 |
          19.0 |             15.0 |           25.6754 |    0.3177 |   274200.0 |   5.0 |  23.0 |
          19.0 |             15.0 |           26.8567 |  0.002053 |   445510.0 |   7.0 |  23.0 |
          19.0 |             15.0 |            25.347 | 0.0003263 |   259630.0 |   4.0 |  24.0 |
          19.0 |             15.0 |           26.5894 |   0.08542 |   443960.0 |   6.0 |  24.0 |
          19.0 |             15.0 |           27.7332 |  0.001355 |   599080.0 |  10.0 |  24.0 |
          19.0 |             15.0 |             322.5 |  0.008053 |  3894786.5 |  16.0 |  24.0 |
          19.0 |             15.0 |           30.0251 |       0.0 |   874320.0 |  12.0 |  24.0 |
          19.0 |             15.0 |           25.2746 | 3.002e-06 |   248320.0 |   3.0 |  24.0 |
          19.0 |             15.0 |          1521.057 |  0.004029 |  4132200.0 |  19.0 |  24.0 |
          19.0 |             15.0 |           23.9472 |       0.0 |    29017.0 |   2.0 |  24.0 |
          19.0 |             15.0 |           27.6504 | 2.686e-05 |   588260.0 |   9.0 |  24.0 |
          19.0 |             15.0 |           27.3821 |   0.03403 |   552860.0 |   8.0 |  24.0 |
          19.0 |             15.0 |           29.8769 |       0.0 |   877400.0 |  13.0 |  25.0 |
          19.0 |             15.0 |           25.2216 | 0.0005799 |   259630.0 |   4.0 |  25.0 |
          19.0 |             15.0 |           26.4514 |   0.01679 |   443960.0 |   6.0 |  25.0 |
          19.0 |             15.0 |           27.5832 |    0.0133 |   599080.0 |  10.0 |  25.0 |
          19.0 |             15.0 |           303.316 |   0.02644 |  3894786.5 |  16.0 |  25.0 |
          19.0 |             15.0 |            1206.4 |  0.007894 |  4139500.0 |  20.0 |  25.0 |
          19.0 |             15.0 |           25.1499 | 0.0006486 |   248320.0 |   3.0 |  25.0 |
          19.0 |             15.0 |           25.3147 | 0.0002286 |   274200.0 |   5.0 |  25.0 |
          19.0 |             15.0 |           27.5012 |   0.02676 |   588260.0 |   9.0 |  25.0 |
          19.0 |             15.0 |           27.2358 |   0.03831 |   552860.0 |   8.0 |  25.0 |
          19.0 |             15.0 |           26.4623 |    0.1705 |   445510.0 |   7.0 |  25.0 |
          19.0 |             15.0 |           25.0541 |       0.0 |   259630.0 |   4.0 |  26.0 |
          19.0 |             15.0 |           26.2672 |       0.0 |   443960.0 |   6.0 |  26.0 |
          19.0 |             15.0 |           23.5239 |   0.06818 |        0.0 |   1.0 |  26.0 |
          19.0 |             15.0 |          1001.532 |   0.01278 |  4151141.0 |  22.0 |  26.0 |
          19.0 |             15.0 |            29.615 |    0.0025 |   874320.0 |  12.0 |  26.0 |
          19.0 |             15.0 |            30.565 | 5.642e-05 |   979270.0 |  14.0 |  26.0 |
          19.0 |             15.0 |           28.7711 | 6.968e-06 |   775280.0 |  11.0 |  26.0 |
          19.0 |             15.0 |           919.035 |   0.08131 |  4142178.2 |  21.0 |  26.0 |
          19.0 |             15.0 |          2168.069 |  0.007124 |  4204864.0 |  24.0 |  26.0 |
          19.0 |             15.0 |           23.6856 |   0.02049 |    29017.0 |   2.0 |  26.0 |
          19.0 |             15.0 |           426.225 |  0.003629 |  4016370.0 |  17.0 |  26.0 |
          19.0 |             15.0 |           25.1459 |       0.0 |   274200.0 |   5.0 |  26.0 |
          19.0 |             15.0 |           26.2779 |       0.0 |   445510.0 |   7.0 |  26.0 |
          19.0 |             15.0 |           30.6251 | 1.562e-05 |   985690.0 |  15.0 |  26.0 |
          19.0 |             15.0 |            441.31 | 0.0009086 |  4024389.8 |  18.0 |  26.0 |
          19.0 |             15.0 |           29.5721 |  0.003282 |   877400.0 |  13.0 |  27.0 |
          19.0 |             15.0 |           25.0041 |       0.0 |   259630.0 |   4.0 |  27.0 |
          19.0 |             15.0 |           26.2123 |       0.0 |   443960.0 |   6.0 |  27.0 |
          19.0 |             15.0 |           23.4799 |   0.03629 |        0.0 |   1.0 |  27.0 |
          19.0 |             15.0 |           927.424 |     0.125 |  4151141.0 |  22.0 |  27.0 |
          19.0 |             15.0 |           29.5452 | 0.0002205 |   874320.0 |  12.0 |  27.0 |
          19.0 |             15.0 |           30.4907 | 6.022e-05 |   979270.0 |  14.0 |  27.0 |
          19.0 |             15.0 |           28.7052 | 4.127e-06 |   775280.0 |  11.0 |  27.0 |
          19.0 |             15.0 |           24.9337 |       0.0 |   248320.0 |   3.0 |  27.0 |
          19.0 |             15.0 |           856.251 |   0.07849 |  4142178.2 |  21.0 |  27.0 |
          19.0 |             15.0 |          1848.343 |  0.007457 |  4204864.0 |  24.0 |  27.0 |
          19.0 |             15.0 |           23.6409 |   0.09598 |    29017.0 |   2.0 |  27.0 |
          19.0 |             15.0 |           412.207 |  0.002697 |  4016370.0 |  17.0 |  27.0 |
          19.0 |             15.0 |           25.0956 |       0.0 |   274200.0 |   5.0 |  27.0 |
          19.0 |             15.0 |           26.2229 |       0.0 |   445510.0 |   7.0 |  27.0 |
          19.0 |             15.0 |             426.3 |  0.005317 |  4024389.8 |  18.0 |  27.0 |
