 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          19.0 |             16.0 |           396.011 | 0.0003174 |        0.0 |   1.0 |   3.0 |
          19.0 |             16.0 |           364.844 | 1.046e-10 |        0.0 |   1.0 |   4.0 |
          19.0 |             16.0 |          4635.639 | 2.173e-06 |   252518.0 |   3.0 |   4.0 |
          19.0 |             16.0 |          3271.181 | 2.207e-11 |   243520.0 |   2.0 |   4.0 |
          19.0 |             16.0 |           206.271 |    0.1956 |        0.0 |   1.0 |   5.0 |
          19.0 |             16.0 |           617.589 | 0.0002871 |   484800.0 |   5.0 |   6.0 |
          19.0 |             16.0 |           253.677 |   0.07272 |   252518.0 |   3.0 |   6.0 |
          19.0 |             16.0 |           570.125 |   9.3e-05 |   484800.0 |   5.0 |   7.0 |
          19.0 |             16.0 |           245.289 |   0.05616 |   252518.0 |   3.0 |   7.0 |
          19.0 |             16.0 |           239.992 |   0.07702 |   243520.0 |   2.0 |   7.0 |
          19.0 |             16.0 |           258.994 |   0.08845 |   274090.0 |   4.0 |   7.0 |
          19.0 |             16.0 |           521.648 |  0.006561 |   484800.0 |   5.0 |   8.0 |
          19.0 |             16.0 |           235.859 |   0.09828 |   252518.0 |   3.0 |   8.0 |
          19.0 |             16.0 |           248.503 |    0.2632 |   274090.0 |   4.0 |   8.0 |
          19.0 |             16.0 |           387.822 |    0.2205 |   484800.0 |   5.0 |   9.0 |
          19.0 |             16.0 |           204.027 |  0.001227 |   252518.0 |   3.0 |   9.0 |
          19.0 |             16.0 |            213.42 |    0.0172 |   274090.0 |   4.0 |   9.0 |
          19.0 |             16.0 |           239.257 |    0.1362 |   484800.0 |   5.0 |  10.0 |
          19.0 |             16.0 |           153.789 | 0.0001007 |   252518.0 |   3.0 |  10.0 |
          19.0 |             16.0 |            25.289 | 0.0003408 |   484800.0 |   5.0 |  11.0 |
          19.0 |             16.0 |            23.847 |   0.08598 |   252518.0 |   3.0 |  11.0 |
          19.0 |             16.0 |            23.792 |   0.02849 |   243520.0 |   2.0 |  11.0 |
          19.0 |             16.0 |            23.976 |    0.1457 |   274090.0 |   4.0 |  11.0 |
          19.0 |             16.0 |            24.991 |   0.03048 |   484800.0 |   5.0 |  12.0 |
          19.0 |             16.0 |            26.726 | 3.618e-06 |   742650.0 |   9.0 |  12.0 |
          19.0 |             16.0 |            23.582 | 3.642e-05 |   252518.0 |   3.0 |  12.0 |
          19.0 |             16.0 |            26.169 |   0.01819 |   742650.0 |   9.0 |  13.0 |
          19.0 |             16.0 |           877.609 |    0.0633 |  4446630.0 |  11.0 |  13.0 |
          19.0 |             16.0 |            24.515 | 5.406e-05 |   484800.0 |   5.0 |  13.0 |
          19.0 |             16.0 |            21.911 |    0.4127 |        0.0 |   1.0 |  13.0 |
          19.0 |             16.0 |            27.314 |  0.001136 |   902760.0 |  10.0 |  13.0 |
          19.0 |             16.0 |            23.194 | 1.178e-05 |   252518.0 |   3.0 |  13.0 |
          19.0 |             16.0 |            25.617 | 0.0004416 |   660200.0 |   7.0 |  13.0 |
          19.0 |             16.0 |            25.529 |  0.000436 |   646720.0 |   6.0 |  13.0 |
