 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          19.0 |              4.0 |       6101.7890625 | 2.2730500148782085e-08 |                0.0 |   1.0 |   4.0 |
          19.0 |              4.0 |  2593.507080078125 |   8.24349963290949e-11 |                0.0 |   1.0 |   5.0 |
          19.0 |              4.0 |  745.2579956054688 |     1.4454500675201416 |                0.0 |   1.0 |   6.0 |
          19.0 |              4.0 |    737.14599609375 |     0.4897800087928772 |                0.0 |   1.0 |   7.0 |
          19.0 |              4.0 |  584.3189697265625 |   0.007586000021547079 |                0.0 |   1.0 |   9.0 |
          19.0 |              4.0 |   526.448974609375 |     0.5370500087738037 |                0.0 |   1.0 |  11.0 |
          19.0 |              4.0 |  523.0040283203125 |     0.5248000025749207 |                0.0 |   1.0 |  12.0 |
          19.0 |              4.0 |  522.4660034179688 |   0.041687000542879105 |                0.0 |   1.0 |  13.0 |
          19.0 |              4.0 |  503.9320068359375 |   0.002089899964630604 |                0.0 |   1.0 |  14.0 |
          19.0 |              4.0 |  443.5669860839844 |     1.6218000650405884 |                0.0 |   1.0 |  21.0 |
          19.0 |              4.0 |  442.3169860839844 |      1.348949909210205 |                0.0 |   1.0 |  22.0 |
          19.0 |              4.0 | 412.41400146484375 |     0.5888500213623047 |                0.0 |   1.0 |  24.0 |
          19.0 |              4.0 |  400.2130126953125 |     2.9374001026153564 |                0.0 |   1.0 |  25.0 |
          19.0 |              4.0 | 390.57598876953125 |    0.28840500116348267 |                0.0 |   1.0 |  26.0 |
          19.0 |              4.0 |  388.9200134277344 |    0.13804000616073608 |                0.0 |   1.0 |  27.0 |
          19.0 |              4.0 | 383.27398681640625 |    0.13182500004768372 |                0.0 |   1.0 |  29.0 |
          19.0 |              4.0 |    382.22900390625 |    0.10090000182390213 |                0.0 |   1.0 |  30.0 |
          19.0 |              4.0 | 380.47601318359375 |    0.38904500007629395 |                0.0 |   1.0 |  31.0 |
          19.0 |              4.0 | 379.27899169921875 |   0.008511500433087349 |                0.0 |   1.0 |  32.0 |
          19.0 |              4.0 | 359.98199462890625 |    0.00807349942624569 |                0.0 |   1.0 |  37.0 |
          19.0 |              4.0 |   359.906005859375 |    0.12113000452518463 |                0.0 |   1.0 |  38.0 |
          19.0 |              4.0 |  359.7300109863281 |     0.6786500215530396 |                0.0 |   1.0 |  39.0 |
          19.0 |              4.0 |  351.0880126953125 |     0.6502000093460083 |                0.0 |   1.0 |  42.0 |
          19.0 |              4.0 |  340.7489929199219 |     0.1189500018954277 |                0.0 |   1.0 |  45.0 |
          19.0 |              4.0 |  340.4599914550781 |     0.3571600019931793 |                0.0 |   1.0 |  46.0 |
          19.0 |              4.0 |   280.302001953125 |  0.0002869849849957973 |                0.0 |   1.0 |  80.0 |
          19.0 |              4.0 |  271.8219909667969 |    0.15305998921394348 |                0.0 |   1.0 |  87.0 |
          19.0 |              4.0 |  269.3949890136719 |    0.00973500031977892 |                0.0 |   1.0 |  93.0 |
          19.0 |              4.0 |  268.6390075683594 |   0.004162949975579977 |                0.0 |   1.0 |  96.0 |
          19.0 |              4.0 |  268.3869934082031 |    0.01303200051188469 |                0.0 |   1.0 |  97.0 |
          19.0 |              4.0 |  261.3190002441406 |   0.005200500134378672 |                0.0 |   1.0 | 108.0 |
          19.0 |              4.0 |  260.7860107421875 |   0.010960999876260757 |                0.0 |   1.0 | 109.0 |
          19.0 |              4.0 | 254.42100524902344 |    0.17228999733924866 |                0.0 |   1.0 | 123.0 |
          19.0 |              4.0 | 247.33099365234375 |    0.11371000111103058 |                0.0 |   1.0 | 140.0 |
          19.0 |              4.0 |  244.5659942626953 |    0.04660150036215782 |                0.0 |   1.0 | 155.0 |
          19.0 |              4.0 | 241.84300231933594 |    0.08480000495910645 |                0.0 |   1.0 | 164.0 |
          19.0 |              4.0 | 241.24400329589844 |    0.06390000134706497 |                0.0 |   1.0 | 166.0 |
          19.0 |              4.0 |  240.5659942626953 |   0.008632499724626541 |                0.0 |   1.0 | 168.0 |
          19.0 |              4.0 | 238.66200256347656 |     0.0462380014359951 |                0.0 |   1.0 | 175.0 |
          19.0 |              4.0 | 238.16799926757812 |   0.009215000085532665 |                0.0 |   1.0 | 178.0 |
          19.0 |              4.0 |  235.4530029296875 |    0.05258500203490257 |                0.0 |   1.0 | 189.0 |
          19.0 |              4.0 | 234.94500732421875 |   0.051874998956918716 |                0.0 |   1.0 | 196.0 |
          19.0 |              4.0 | 234.27699279785156 |    0.04383999854326248 |                0.0 |   1.0 | 202.0 |
          19.0 |              4.0 | 230.24600219726562 |   0.033467501401901245 |                0.0 |   1.0 | 213.0 |
          19.0 |              4.0 | 229.59500122070312 |   0.025164499878883362 |                0.0 |   1.0 | 219.0 |
          19.0 |              4.0 | 229.58900451660156 |     0.0637499988079071 |                0.0 |   1.0 | 220.0 |
          19.0 |              4.0 | 229.11399841308594 |  0.0010458000469952822 |                0.0 |   1.0 | 222.0 |
          19.0 |              4.0 |  229.0050048828125 |   0.030976498499512672 |                0.0 |   1.0 | 224.0 |
          19.0 |              4.0 |  228.2689971923828 |   4.70355007564649e-05 |                0.0 |   1.0 | 238.0 |
          19.0 |              4.0 |  227.6479949951172 |   0.019122999161481857 |                0.0 |   1.0 | 248.0 |
          19.0 |              4.0 | 226.56500244140625 |   0.029551999643445015 |                0.0 |   1.0 | 253.0 |
