 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          19.0 |              9.0 |           636.325 |    0.3649 |        0.0 |  1.0 |   2.0 |
          19.0 |              9.0 |           621.452 |    0.7495 |        0.0 |  1.0 |   3.0 |
          19.0 |              9.0 |           467.391 |    0.1912 |   160913.5 |  3.0 |   4.0 |
          19.0 |              9.0 |           266.761 |       0.0 |        0.0 |  1.0 |   4.0 |
          19.0 |              9.0 |           459.317 |    0.9687 |   157152.4 |  2.0 |   4.0 |
          19.0 |              9.0 |           466.836 |     1.724 |   160913.5 |  3.0 |   5.0 |
          19.0 |              9.0 |            266.58 |       0.0 |        0.0 |  1.0 |   5.0 |
          19.0 |              9.0 |           185.881 |    0.3285 |   160913.5 |  3.0 |   6.0 |
          19.0 |              9.0 |            184.59 |    0.1598 |   157152.4 |  2.0 |   6.0 |
          19.0 |              9.0 |           167.407 |       0.0 |   160913.5 |  3.0 |   7.0 |
          19.0 |              9.0 |           260.828 |    0.2308 |   374867.1 |  4.0 |   7.0 |
          19.0 |              9.0 |           131.881 |   0.08869 |        0.0 |  1.0 |   7.0 |
          19.0 |              9.0 |          1684.381 |    0.5328 |   698892.8 |  6.0 |   7.0 |
          19.0 |              9.0 |           260.035 |    0.4097 |   375121.6 |  5.0 |   8.0 |
          19.0 |              9.0 |           167.009 |       0.0 |   160913.5 |  3.0 |   8.0 |
          19.0 |              9.0 |           259.863 |   0.04527 |   374867.1 |  4.0 |   8.0 |
          19.0 |              9.0 |           131.633 |    0.1715 |        0.0 |  1.0 |   8.0 |
          19.0 |              9.0 |           165.966 |       0.0 |   157152.4 |  2.0 |   8.0 |
          19.0 |              9.0 |          1644.945 |      1.09 |   698892.8 |  6.0 |   8.0 |
          19.0 |              9.0 |           147.939 |   0.06449 |   160913.5 |  3.0 |   9.0 |
          19.0 |              9.0 |           216.449 |       0.0 |   374867.1 |  4.0 |   9.0 |
          19.0 |              9.0 |          1295.611 |     0.294 |   759685.1 |  8.0 |   9.0 |
          19.0 |              9.0 |           119.493 |       0.0 |        0.0 |  1.0 |   9.0 |
          19.0 |              9.0 |            147.12 |    0.3133 |   157152.4 |  2.0 |   9.0 |
          19.0 |              9.0 |          1272.151 |     1.489 |   758261.8 |  7.0 |   9.0 |
          19.0 |              9.0 |           216.506 |       0.0 |   375121.6 |  5.0 |  10.0 |
          19.0 |              9.0 |           147.909 |    0.5775 |   160913.5 |  3.0 |  10.0 |
          19.0 |              9.0 |          1293.367 |     2.646 |   759685.1 |  8.0 |  10.0 |
          19.0 |              9.0 |           119.474 |       0.0 |        0.0 |  1.0 |  10.0 |
          19.0 |              9.0 |           205.877 |    0.2582 |   375121.6 |  5.0 |  11.0 |
          19.0 |              9.0 |          4193.587 |   0.03945 |   837002.7 | 10.0 |  11.0 |
          19.0 |              9.0 |            142.87 |       0.0 |   160913.5 |  3.0 |  11.0 |
          19.0 |              9.0 |           205.769 |     3.618 |   374867.1 |  4.0 |  11.0 |
          19.0 |              9.0 |          4170.174 |    0.5568 |   836868.8 |  9.0 |  11.0 |
          19.0 |              9.0 |           142.107 |       0.0 |   157152.4 |  2.0 |  11.0 |
          19.0 |              9.0 |            205.86 |     5.176 |   375121.6 |  5.0 |  12.0 |
          19.0 |              9.0 |          4186.465 |    0.7917 |   837002.7 | 10.0 |  12.0 |
          19.0 |              9.0 |           142.862 |       0.0 |   160913.5 |  3.0 |  12.0 |
          19.0 |              9.0 |           121.645 |   0.05881 |   160913.5 |  3.0 |  13.0 |
          19.0 |              9.0 |           447.844 |    0.5682 |   759685.1 |  8.0 |  13.0 |
          19.0 |              9.0 |           121.091 |    0.0285 |   157152.4 |  2.0 |  13.0 |
          19.0 |              9.0 |           445.007 |    0.2771 |   758261.8 |  7.0 |  13.0 |
          19.0 |              9.0 |           117.563 |       0.0 |   160913.5 |  3.0 |  14.0 |
          19.0 |              9.0 |           157.071 |   0.03074 |   374867.1 |  4.0 |  14.0 |
          19.0 |              9.0 |           572.569 |    0.4954 |   836868.8 |  9.0 |  14.0 |
          19.0 |              9.0 |           397.085 |       0.0 |   759685.1 |  8.0 |  14.0 |
          19.0 |              9.0 |            98.861 |   0.02941 |        0.0 |  1.0 |  14.0 |
