 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          19.0 |              6.0 |  710.5230102539062 |    0.08196700364351273 |                0.0 |   1.0 |   7.0 |
          19.0 |              6.0 |   611.864013671875 |    0.10860999673604965 |                0.0 |   1.0 |  11.0 |
          19.0 |              6.0 | 458.04901123046875 |     0.4449700117111206 |                0.0 |   1.0 |  14.0 |
          19.0 |              6.0 |  394.4729919433594 |     0.7575299739837646 |                0.0 |   1.0 |  18.0 |
          19.0 |              6.0 | 384.51300048828125 |     1.8636000156402588 |                0.0 |   1.0 |  20.0 |
          19.0 |              6.0 |  257.6549987792969 |    0.21177999675273895 |                0.0 |   1.0 |  40.0 |
          19.0 |              6.0 | 213.14100646972656 |  0.0002690799883566797 |                0.0 |   1.0 |  64.0 |
          19.0 |              6.0 | 196.21400451660156 |   0.003867099992930889 |                0.0 |   1.0 |  77.0 |
          19.0 |              6.0 | 196.10699462890625 |   0.056168001145124435 |                0.0 |   1.0 |  78.0 |
          19.0 |              6.0 | 195.66900634765625 |  4.732500201498624e-06 |                0.0 |   1.0 |  81.0 |
          19.0 |              6.0 | 194.94200134277344 |    0.09178099781274796 |                0.0 |   1.0 |  82.0 |
          19.0 |              6.0 | 194.24400329589844 |   0.010823000222444534 |                0.0 |   1.0 |  84.0 |
          19.0 |              6.0 |   192.802001953125 |   0.027953000739216805 |                0.0 |   1.0 |  87.0 |
          19.0 |              6.0 |  185.3000030517578 |   0.017237000167369843 |                0.0 |   1.0 |  95.0 |
          19.0 |              6.0 |  184.1580047607422 |   0.008182600140571594 |                0.0 |   1.0 |  98.0 |
          19.0 |              6.0 |  181.4709930419922 |   0.005475100129842758 |                0.0 |   1.0 | 108.0 |
          19.0 |              6.0 | 180.45599365234375 |    0.06695500016212463 |                0.0 |   1.0 | 111.0 |
          19.0 |              6.0 | 179.03399658203125 |   0.035353001207113266 |                0.0 |   1.0 | 115.0 |
          19.0 |              6.0 |  177.8560028076172 | 0.00030047999462112784 |                0.0 |   1.0 | 116.0 |
          19.0 |              6.0 | 173.71299743652344 |    0.04513999819755554 |                0.0 |   1.0 | 121.0 |
          19.0 |              6.0 | 173.41000366210938 |  0.0037720000836998224 |                0.0 |   1.0 | 122.0 |
          19.0 |              6.0 | 172.64999389648438 |   0.004445699974894524 |                0.0 |   1.0 | 126.0 |
          19.0 |              6.0 | 171.41200256347656 |   0.010614000260829926 |                0.0 |   1.0 | 132.0 |
          19.0 |              6.0 | 168.15899658203125 | 0.00028912999550811946 |                0.0 |   1.0 | 137.0 |
          19.0 |              6.0 | 167.43499755859375 |  0.0030708000995218754 |                0.0 |   1.0 | 141.0 |
          19.0 |              6.0 |  166.0989990234375 |  0.0012947999639436603 |                0.0 |   1.0 | 147.0 |
          19.0 |              6.0 | 164.13999938964844 |   5.18039996677544e-07 |                0.0 |   1.0 | 153.0 |
          19.0 |              6.0 | 162.75599670410156 |   0.007420999929308891 |                0.0 |   1.0 | 157.0 |
          19.0 |              6.0 | 161.83599853515625 |    0.10691999644041061 |                0.0 |   1.0 | 160.0 |
          19.0 |              6.0 |  160.2220001220703 |   0.030432000756263733 |                0.0 |   1.0 | 164.0 |
          19.0 |              6.0 | 159.20199584960938 |     0.0082742003723979 |                0.0 |   1.0 | 170.0 |
          19.0 |              6.0 |  159.1199951171875 |   0.004856400191783905 |                0.0 |   1.0 | 171.0 |
          19.0 |              6.0 |  158.3820037841797 | 0.00012243000674061477 |                0.0 |   1.0 | 172.0 |
          19.0 |              6.0 | 158.21600341796875 | 0.00015314000484067947 |                0.0 |   1.0 | 173.0 |
          19.0 |              6.0 |  157.2169952392578 | 2.2870999600854702e-05 |                0.0 |   1.0 | 177.0 |
          19.0 |              6.0 | 155.74200439453125 |  0.0006121299811638892 |                0.0 |   1.0 | 197.0 |
          19.0 |              6.0 | 154.81399536132812 | 0.00042746998951770365 |                0.0 |   1.0 | 207.0 |
          19.0 |              6.0 |  152.5449981689453 |    0.01510700024664402 |                0.0 |   1.0 | 215.0 |
          19.0 |              6.0 | 150.46600341796875 |   4.93270022161596e-07 |                0.0 |   1.0 | 222.0 |
          19.0 |              6.0 | 149.87899780273438 |  0.0024085999466478825 |                0.0 |   1.0 | 229.0 |
          19.0 |              6.0 |   148.552001953125 |   4.52130007033702e-05 |                0.0 |   1.0 | 240.0 |
          19.0 |              6.0 |  148.4409942626953 |    0.00198410009033978 |                0.0 |   1.0 | 241.0 |
          19.0 |              6.0 | 147.48300170898438 |  0.0013084999518468976 |                0.0 |   1.0 | 250.0 |
          19.0 |              6.0 | 146.64999389648438 |    0.02892100065946579 |                0.0 |   1.0 | 253.0 |
          19.0 |              6.0 | 146.53799438476562 |   0.009504400193691254 |                0.0 |   1.0 | 256.0 |
          19.0 |              6.0 | 145.58599853515625 |   0.008022099733352661 |                0.0 |   1.0 | 267.0 |
          19.0 |              6.0 |  144.5919952392578 |   0.039441000670194626 |                0.0 |   1.0 | 283.0 |
          19.0 |              6.0 | 144.11399841308594 |   0.016550999134778976 |                0.0 |   1.0 | 287.0 |
          19.0 |              6.0 | 143.02999877929688 |   0.012845000252127647 |                0.0 |   1.0 | 290.0 |
          19.0 |              6.0 | 140.05299377441406 |    0.02898699976503849 |                0.0 |   1.0 | 311.0 |
          19.0 |              6.0 | 139.89999389648438 |   0.009375300258398056 |                0.0 |   1.0 | 312.0 |
          19.0 |              6.0 | 139.04100036621094 |   0.000388449989259243 |                0.0 |   1.0 | 329.0 |
          19.0 |              6.0 | 139.02999877929688 | 3.7712001358158886e-05 |                0.0 |   1.0 | 331.0 |
          19.0 |              6.0 | 138.57000732421875 | 0.00014822000230196863 |                0.0 |   1.0 | 344.0 |
          19.0 |              6.0 | 137.78199768066406 |   0.005450900178402662 |                0.0 |   1.0 | 353.0 |
          19.0 |              6.0 | 136.60899353027344 |  0.0004591000033542514 |                0.0 |   1.0 | 369.0 |
          19.0 |              6.0 |  135.9929962158203 |    0.01923000067472458 |                0.0 |   1.0 | 381.0 |
          19.0 |              6.0 | 135.93099975585938 |   0.006108399946242571 |                0.0 |   1.0 | 385.0 |
          19.0 |              6.0 | 134.60699462890625 |  0.0035043000243604183 |                0.0 |   1.0 | 405.0 |
          19.0 |              6.0 | 133.41900634765625 |   0.013927999883890152 |                0.0 |   1.0 | 428.0 |
          19.0 |              6.0 | 133.38499450683594 |   0.004486700054258108 |                0.0 |   1.0 | 429.0 |
          19.0 |              6.0 |  132.5989990234375 |   0.000404930004151538 |                0.0 |   1.0 | 450.0 |
          19.0 |              6.0 | 132.39999389648438 |    0.00245189992710948 |                0.0 |   1.0 | 453.0 |
          19.0 |              6.0 | 132.26400756835938 |  0.0028389000799506903 |                0.0 |   1.0 | 455.0 |
