 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |   i |    j |
          19.0 |             12.0 |          5278.438 |       0.0 |        0.0 | 1.0 |  2.0 |
          19.0 |             12.0 |           4305.89 |       0.0 |        0.0 | 1.0 |  3.0 |
          19.0 |             12.0 |         23369.945 |       0.0 |    18945.0 | 2.0 |  3.0 |
          19.0 |             12.0 |          1256.455 |       0.0 |        0.0 | 1.0 |  4.0 |
          19.0 |             12.0 |          1648.968 |       0.0 |    18945.0 | 2.0 |  4.0 |
          19.0 |             12.0 |           613.994 |       0.0 |        0.0 | 1.0 |  5.0 |
          19.0 |             12.0 |           694.816 |       0.0 |    18945.0 | 2.0 |  5.0 |
          19.0 |             12.0 |          1200.783 |       0.0 |    79589.0 | 4.0 |  5.0 |
          19.0 |             12.0 |           174.403 |    0.4238 |        0.0 | 1.0 |  6.0 |
          19.0 |             12.0 |           180.362 |     0.139 |    18945.0 | 2.0 |  6.0 |
          19.0 |             12.0 |           202.513 |  0.007631 |    79589.0 | 4.0 |  6.0 |
          19.0 |             12.0 |           169.725 |    0.1501 |        0.0 | 1.0 |  7.0 |
          19.0 |             12.0 |           175.363 |   0.08572 |    18945.0 | 2.0 |  7.0 |
          19.0 |             12.0 |           176.689 |    0.1117 |    23224.0 | 3.0 |  7.0 |
          19.0 |             12.0 |           196.232 | 0.0001261 |    79589.0 | 4.0 |  7.0 |
          19.0 |             12.0 |           234.564 |  0.001419 |   162868.0 | 5.0 |  7.0 |
          19.0 |             12.0 |            172.58 |    0.1167 |    18945.0 | 2.0 |  8.0 |
          19.0 |             12.0 |           126.662 |   0.01114 |        0.0 | 1.0 |  9.0 |
          19.0 |             12.0 |           129.776 | 0.0003891 |    18945.0 | 2.0 |  9.0 |
          19.0 |             12.0 |           130.501 | 0.0008405 |    23224.0 | 3.0 |  9.0 |
          19.0 |             12.0 |           140.863 |    0.7201 |    79589.0 | 4.0 |  9.0 |
          19.0 |             12.0 |           159.583 |   0.06572 |   162868.0 | 5.0 |  9.0 |
          19.0 |             12.0 |           133.778 |  0.001634 |   589190.0 | 7.0 | 10.0 |
          19.0 |             12.0 |           182.749 |    0.3734 |   789501.0 | 9.0 | 10.0 |
%CHIANTI
