 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          19.0 |             14.0 |          7555.723 | 1.083e-06 |        0.0 |   1.0 |   2.0 |
          19.0 |             14.0 |          6671.114 | 1.465e-06 |    13235.0 |   2.0 |   3.0 |
          19.0 |             14.0 |          3542.958 | 2.056e-11 |        0.0 |   1.0 |   3.0 |
          19.0 |             14.0 |          1209.395 | 3.297e-07 |    13235.0 |   2.0 |   4.0 |
          19.0 |             14.0 |          1477.192 | 7.787e-07 |    28225.0 |   3.0 |   4.0 |
          19.0 |             14.0 |          1042.525 | 8.527e-12 |        0.0 |   1.0 |   4.0 |
          19.0 |             14.0 |          1204.921 | 1.893e-09 |    95921.0 |   4.0 |   5.0 |
          19.0 |             14.0 |           603.577 | 3.063e-07 |    13235.0 |   2.0 |   5.0 |
          19.0 |             14.0 |           663.618 | 1.753e-10 |    28225.0 |   3.0 |   5.0 |
          19.0 |             14.0 |           694.062 |  5.28e-06 |    95921.0 |   4.0 |   6.0 |
          19.0 |             14.0 |           434.403 | 0.0001737 |    13235.0 |   2.0 |   6.0 |
          19.0 |             14.0 |           466.481 | 0.0003422 |    28225.0 |   3.0 |   6.0 |
          19.0 |             14.0 |           275.609 | 0.0006615 |    95921.0 |   4.0 |   7.0 |
          19.0 |             14.0 |           224.457 |    0.1567 |    13235.0 |   2.0 |   7.0 |
          19.0 |             14.0 |           232.272 |   0.01118 |    28225.0 |   3.0 |   7.0 |
          19.0 |             14.0 |           275.045 |   0.00051 |    95921.0 |   4.0 |   8.0 |
          19.0 |             14.0 |           224.083 |   0.02779 |    13235.0 |   2.0 |   8.0 |
          19.0 |             14.0 |           231.872 | 0.0005505 |    28225.0 |   3.0 |   8.0 |
          19.0 |             14.0 |             356.4 | 0.0003246 |   178914.0 |   5.0 |   8.0 |
          19.0 |             14.0 |           217.629 |   0.07519 |        0.0 |   1.0 |   8.0 |
          19.0 |             14.0 |           273.912 |    0.0071 |    95921.0 |   4.0 |   9.0 |
          19.0 |             14.0 |           231.066 |    0.2145 |    28225.0 |   3.0 |   9.0 |
          19.0 |             14.0 |           190.779 |   0.05934 |    13235.0 |   2.0 |  10.0 |
          19.0 |             14.0 |           226.188 |  0.001627 |    95921.0 |   4.0 |  11.0 |
          19.0 |             14.0 |            190.55 |    0.0741 |    13235.0 |   2.0 |  11.0 |
          19.0 |             14.0 |           196.153 |   0.05405 |    28225.0 |   3.0 |  11.0 |
          19.0 |             14.0 |            278.46 | 0.0007935 |   178914.0 |   5.0 |  11.0 |
          19.0 |             14.0 |           185.863 |   0.04703 |        0.0 |   1.0 |  11.0 |
          19.0 |             14.0 |           225.217 |  0.000719 |    95921.0 |   4.0 |  12.0 |
          19.0 |             14.0 |            189.86 |   0.03504 |    13235.0 |   2.0 |  12.0 |
          19.0 |             14.0 |           195.422 |    0.2529 |    28225.0 |   3.0 |  12.0 |
          19.0 |             14.0 |           171.884 | 3.773e-05 |    95921.0 |   4.0 |  13.0 |
          19.0 |             14.0 |           150.495 |    0.1869 |    13235.0 |   2.0 |  13.0 |
          19.0 |             14.0 |           153.968 |    0.3616 |    28225.0 |   3.0 |  13.0 |
          19.0 |             14.0 |           200.483 |  0.001309 |   178914.0 |   5.0 |  13.0 |
          19.0 |             14.0 |           147.556 |   0.06106 |        0.0 |   1.0 |  13.0 |
          19.0 |             14.0 |           172.254 |    0.6485 |    95921.0 |   4.0 |  14.0 |
          19.0 |             14.0 |           150.778 | 0.0006783 |    13235.0 |   2.0 |  14.0 |
          19.0 |             14.0 |           154.265 |   0.01496 |    28225.0 |   3.0 |  14.0 |
          19.0 |             14.0 |           151.715 |    0.3839 |    95921.0 |   4.0 |  15.0 |
          19.0 |             14.0 |           134.804 |  0.006183 |    13235.0 |   2.0 |  15.0 |
          19.0 |             14.0 |           137.585 | 1.626e-05 |    28225.0 |   3.0 |  15.0 |
          19.0 |             14.0 |            173.57 |    0.1334 |   178914.0 |   5.0 |  15.0 |
          19.0 |             14.0 |           132.442 | 2.656e-05 |        0.0 |   1.0 |  15.0 |
          19.0 |             14.0 |            175.72 |    0.4683 |   461002.0 |   9.0 |  16.0 |
          19.0 |             14.0 |           175.257 |    0.0145 |   459498.0 |   8.0 |  16.0 |
          19.0 |             14.0 |           125.514 |  0.001045 |   243250.7 |   6.0 |  16.0 |
          19.0 |             14.0 |           203.228 |   0.05976 |   538032.0 |  11.0 |  16.0 |
          19.0 |             14.0 |           283.785 |    0.2504 |   677710.0 |  13.0 |  16.0 |
          19.0 |             14.0 |           363.583 |  0.001676 |   755050.0 |  15.0 |  16.0 |
          19.0 |             14.0 |           282.781 |  0.008998 |   676460.0 |  14.0 |  16.0 |
          19.0 |             14.0 |           175.028 |    0.1332 |   458754.0 |   7.0 |  16.0 |
          19.0 |             14.0 |           204.018 |    0.1037 |   539938.0 |  12.0 |  16.0 |
          19.0 |             14.0 |            169.17 |    0.1001 |   459498.0 |   8.0 |  17.0 |
          19.0 |             14.0 |           122.461 | 0.0002344 |   243250.7 |   6.0 |  17.0 |
          19.0 |             14.0 |           195.088 |  0.008813 |   538032.0 |  11.0 |  17.0 |
          19.0 |             14.0 |           268.161 |    0.1743 |   677710.0 |  13.0 |  17.0 |
          19.0 |             14.0 |           338.329 |  0.003648 |   755050.0 |  15.0 |  17.0 |
