 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          19.0 |             17.0 |           365.631 |    0.0496 |        0.0 |   1.0 |   2.0 |
          19.0 |             17.0 |           326.776 |    0.1117 |        0.0 |   1.0 |   3.0 |
          19.0 |             17.0 |           22.7403 |   0.07591 |   306020.0 |   3.0 |   4.0 |
          19.0 |             17.0 |           22.5734 |   0.03581 |   273500.0 |   2.0 |   4.0 |
          19.0 |             17.0 |           22.3635 |       0.0 |   306020.0 |   3.0 |   5.0 |
          19.0 |             17.0 |            20.931 |    0.2405 |        0.0 |   1.0 |   5.0 |
          19.0 |             17.0 |          1349.528 |   0.08356 |  4703500.0 |   4.0 |   5.0 |
          19.0 |             17.0 |            22.327 |       0.0 |   306020.0 |   3.0 |   6.0 |
          19.0 |             17.0 |           20.8991 |    0.4744 |        0.0 |   1.0 |   6.0 |
          19.0 |             17.0 |           22.1661 |       0.0 |   273500.0 |   2.0 |   6.0 |
          19.0 |             17.0 |          1228.501 |    0.1887 |  4703500.0 |   4.0 |   6.0 |
          19.0 |             17.0 |           22.1789 |    0.2712 |   306020.0 |   3.0 |   7.0 |
          19.0 |             17.0 |           20.7693 |       0.0 |        0.0 |   1.0 |   7.0 |
          19.0 |             17.0 |           22.0201 |     1.345 |   273500.0 |   2.0 |   7.0 |
          19.0 |             17.0 |           22.1632 |     2.437 |   306020.0 |   3.0 |   8.0 |
          19.0 |             17.0 |           20.7555 |       0.0 |        0.0 |   1.0 |   8.0 |
          19.0 |             17.0 |             66.93 |       0.0 |  4818000.0 |   8.0 |   9.0 |
          19.0 |             17.0 |           16.6473 |   0.01546 |   306020.0 |   3.0 |   9.0 |
          19.0 |             17.0 |            65.519 |    0.1746 |  4784900.0 |   6.0 |   9.0 |
          19.0 |             17.0 |            66.796 |       0.0 |  4814800.0 |   7.0 |   9.0 |
          19.0 |             17.0 |           16.5585 |  0.007044 |   273500.0 |   2.0 |   9.0 |
          19.0 |             17.0 |            65.117 |   0.08327 |  4777600.0 |   5.0 |   9.0 |
          19.0 |             17.0 |           16.5531 |       0.0 |   306020.0 |   3.0 |  10.0 |
          19.0 |             17.0 |            15.755 |   0.05897 |        0.0 |   1.0 |  10.0 |
          19.0 |             17.0 |            64.008 |       0.0 |  4784900.0 |   6.0 |  10.0 |
          19.0 |             17.0 |            65.257 |   0.04387 |  4814800.0 |   7.0 |  10.0 |
          19.0 |             17.0 |          3208.007 |    0.1158 |  6313364.0 |   9.0 |  10.0 |
          19.0 |             17.0 |            60.838 |    0.2627 |  4703500.0 |   4.0 |  10.0 |
          19.0 |             17.0 |            65.394 |   0.07734 |  4818000.0 |   8.0 |  11.0 |
          19.0 |             17.0 |           16.4644 |       0.0 |   273500.0 |   2.0 |  11.0 |
          19.0 |             17.0 |          2849.084 |    0.2607 |  6313364.0 |   9.0 |  11.0 |
          19.0 |             17.0 |             63.71 |       0.0 |  4777600.0 |   5.0 |  11.0 |
          19.0 |             17.0 |           16.5153 |   0.04855 |   306020.0 |   3.0 |  12.0 |
          19.0 |             17.0 |           15.7208 |       0.0 |        0.0 |   1.0 |  12.0 |
          19.0 |             17.0 |            64.675 |       0.0 |  4814800.0 |   7.0 |  12.0 |
          19.0 |             17.0 |            63.448 |    0.2355 |  4784900.0 |   6.0 |  12.0 |
          19.0 |             17.0 |           16.4271 |    0.2427 |   273500.0 |   2.0 |  12.0 |
          19.0 |             17.0 |            63.155 |     1.158 |  4777600.0 |   5.0 |  12.0 |
          19.0 |             17.0 |            60.332 |       0.0 |  4703500.0 |   4.0 |  12.0 |
          19.0 |             17.0 |            64.683 |       0.0 |  4818000.0 |   8.0 |  13.0 |
          19.0 |             17.0 |           16.5072 |    0.4387 |   306020.0 |   3.0 |  13.0 |
          19.0 |             17.0 |           15.7134 |       0.0 |        0.0 |   1.0 |  13.0 |
          19.0 |             17.0 |            63.327 |     2.113 |  4784900.0 |   6.0 |  13.0 |
          19.0 |             17.0 |            60.223 |       0.0 |  4703500.0 |   4.0 |  13.0 |
          19.0 |             17.0 |            64.662 |      0.29 |  4818000.0 |   8.0 |  14.0 |
          19.0 |             17.0 |           16.5058 |       0.0 |   306020.0 |   3.0 |  14.0 |
          19.0 |             17.0 |            63.307 |       0.0 |  4784900.0 |   6.0 |  14.0 |
          19.0 |             17.0 |            64.529 |     4.051 |  4814800.0 |   7.0 |  14.0 |
          19.0 |             17.0 |           16.4177 |       0.0 |   273500.0 |   2.0 |  14.0 |
          19.0 |             17.0 |            63.016 |       0.0 |  4777600.0 |   5.0 |  14.0 |
          19.0 |             17.0 |           16.4971 |       0.0 |   306020.0 |   3.0 |  15.0 |
          19.0 |             17.0 |            63.179 |       0.0 |  4784900.0 |   6.0 |  15.0 |
          19.0 |             17.0 |           44.7974 |       0.0 |  4818000.0 |   8.0 |  16.0 |
          19.0 |             17.0 |           14.8254 |  0.005532 |   306020.0 |   3.0 |  16.0 |
          19.0 |             17.0 |           144.988 |       0.0 |  6364000.0 |  13.0 |  16.0 |
          19.0 |             17.0 |           142.231 |    0.2787 |  6347200.0 |  11.0 |  16.0 |
          19.0 |             17.0 |           144.723 |       0.0 |  6361000.0 |  12.0 |  16.0 |
          19.0 |             17.0 |            44.737 |       0.0 |  4814800.0 |   7.0 |  16.0 |
          19.0 |             17.0 |           44.1606 |   0.03622 |  4784900.0 |   6.0 |  16.0 |
          19.0 |             17.0 |            14.755 |  0.002193 |   273500.0 |   2.0 |  16.0 |
          19.0 |             17.0 |           141.441 |    0.1329 |  6347200.0 |  10.0 |  16.0 |
          19.0 |             17.0 |           43.9776 |   0.01658 |  4777600.0 |   5.0 |  16.0 |
          19.0 |             17.0 |           14.7909 |       0.0 |   306020.0 |   3.0 |  17.0 |
          19.0 |             17.0 |           139.113 |       0.0 |  6347200.0 |  11.0 |  17.0 |
          19.0 |             17.0 |           141.496 |    0.1074 |  6361000.0 |  12.0 |  17.0 |
          19.0 |             17.0 |           14.1497 |    0.0227 |        0.0 |   1.0 |  17.0 |
          19.0 |             17.0 |           44.4239 |     0.008 |  4814800.0 |   7.0 |  17.0 |
          19.0 |             17.0 |           43.8554 |       0.0 |  4784900.0 |   6.0 |  17.0 |
          19.0 |             17.0 |          6346.386 |    0.1479 |  7051545.0 |  16.0 |  17.0 |
          19.0 |             17.0 |           132.637 |    0.2868 |  6313364.0 |   9.0 |  17.0 |
          19.0 |             17.0 |           42.2758 |   0.06682 |  4703500.0 |   4.0 |  17.0 |
          19.0 |             17.0 |           44.4443 |   0.01471 |  4818000.0 |   8.0 |  18.0 |
          19.0 |             17.0 |           14.7865 |       0.0 |   306020.0 |   3.0 |  18.0 |
          19.0 |             17.0 |           141.353 |    0.1902 |  6364000.0 |  13.0 |  18.0 |
          19.0 |             17.0 |           138.731 |       0.0 |  6347200.0 |  11.0 |  18.0 |
          19.0 |             17.0 |           141.101 |   0.02067 |  6361000.0 |  12.0 |  18.0 |
          19.0 |             17.0 |           14.1457 |   0.04606 |        0.0 |   1.0 |  18.0 |
          19.0 |             17.0 |           43.8174 |       0.0 |  4784900.0 |   6.0 |  18.0 |
          19.0 |             17.0 |           44.3849 |   0.00155 |  4814800.0 |   7.0 |  18.0 |
          19.0 |             17.0 |           14.7165 |       0.0 |   273500.0 |   2.0 |  18.0 |
          19.0 |             17.0 |           5638.25 |    0.3321 |  7051545.0 |  16.0 |  18.0 |
