 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          19.0 |             18.0 |            3.5708 |       0.0 |        0.0 |  1.0 |  2.0 |
          19.0 |             18.0 |           621.504 |   0.01359 | 28004980.0 |  2.0 |  4.0 |
          19.0 |             18.0 |            3.5495 |   0.01714 |        0.0 |  1.0 |  5.0 |
          19.0 |             18.0 |           596.338 |   0.04091 | 28004980.0 |  2.0 |  5.0 |
          19.0 |             18.0 |             3.546 |       0.0 |        0.0 |  1.0 |  6.0 |
          19.0 |             18.0 |           510.673 |   0.08269 | 28004980.0 |  2.0 |  6.0 |
          19.0 |             18.0 |             3.532 |    0.7561 |        0.0 |  1.0 |  7.0 |
          19.0 |             18.0 |           755.116 |       0.0 | 28180480.0 |  3.0 |  7.0 |
          19.0 |             18.0 |            20.056 |  0.001508 | 28165880.0 |  4.0 |  8.0 |
          19.0 |             18.0 |           20.0833 |   0.01296 | 28172670.0 |  5.0 |  8.0 |
          19.0 |             18.0 |           20.1974 |   0.03779 | 28200800.0 |  6.0 |  8.0 |
          19.0 |             18.0 |           20.4701 |   0.04074 | 28312910.0 |  7.0 |  9.0 |
          19.0 |             18.0 |           19.2628 |    0.1247 | 28004980.0 |  2.0 | 10.0 |
          19.0 |             18.0 |            3.0122 |  0.003275 |        0.0 |  1.0 | 11.0 |
          19.0 |             18.0 |            19.256 |    0.3657 | 28004980.0 |  2.0 | 11.0 |
          19.0 |             18.0 |           19.9295 |  0.008213 | 28180480.0 |  3.0 | 11.0 |
          19.0 |             18.0 |           19.2249 |    0.6252 | 28004980.0 |  2.0 | 12.0 |
          19.0 |             18.0 |            3.0087 |    0.1443 |        0.0 |  1.0 | 13.0 |
          19.0 |             18.0 |           19.1126 |  0.008581 | 28004980.0 |  2.0 | 13.0 |
          19.0 |             18.0 |           19.7759 |     0.356 | 28180480.0 |  3.0 | 13.0 |
          19.0 |             18.0 |           19.7097 |   0.07712 | 28165880.0 |  4.0 | 14.0 |
          19.0 |             18.0 |           19.7636 |    0.1734 | 28172670.0 |  5.0 | 14.0 |
          19.0 |             18.0 |           19.9031 |    0.8658 | 28200800.0 |  6.0 | 14.0 |
          19.0 |             18.0 |          2563.051 |     13.04 | 33196320.0 | 10.0 | 14.0 |
          19.0 |             18.0 |          2834.146 |     10.66 | 33198160.0 | 11.0 | 14.0 |
          19.0 |             18.0 |          3606.203 |     1.033 | 33206560.0 | 12.0 | 14.0 |
          19.0 |             18.0 |           19.7633 |    0.5206 | 28172670.0 |  5.0 | 15.0 |
          19.0 |             18.0 |           19.9028 |    0.2882 | 28200800.0 |  6.0 | 15.0 |
          19.0 |             18.0 |          2828.054 |     31.26 | 33198160.0 | 11.0 | 15.0 |
          19.0 |             18.0 |          3596.346 |     16.63 | 33206560.0 | 12.0 | 15.0 |
          19.0 |             18.0 |           19.8875 |      1.62 | 28200800.0 |  6.0 | 16.0 |
          19.0 |             18.0 |           20.3894 |     2.073 | 28312910.0 |  7.0 | 17.0 |
          19.0 |             18.0 |            14.781 | 0.0003378 | 28165880.0 |  4.0 | 18.0 |
          19.0 |             18.0 |           14.8113 |  0.002913 | 28172670.0 |  5.0 | 18.0 |
          19.0 |             18.0 |           14.8895 |  0.008463 | 28200800.0 |  6.0 | 18.0 |
          19.0 |             18.0 |            57.777 |  0.003573 | 33196320.0 | 10.0 | 18.0 |
          19.0 |             18.0 |            57.902 |   0.03069 | 33198160.0 | 11.0 | 18.0 |
          19.0 |             18.0 |            58.156 |    0.0895 | 33206560.0 | 12.0 | 18.0 |
          19.0 |             18.0 |           15.0704 |  0.009134 | 28312910.0 |  7.0 | 19.0 |
          19.0 |             18.0 |            58.436 |   0.09662 | 33237140.0 | 13.0 | 19.0 |
          19.0 |             18.0 |           14.4116 |   0.03103 | 28004980.0 |  2.0 | 20.0 |
          19.0 |             18.0 |            55.744 |    0.1613 | 33151930.0 |  8.0 | 20.0 |
          19.0 |             18.0 |            58.508 |   0.00366 | 33239492.0 | 14.0 | 20.0 |
          19.0 |             18.0 |            2.8612 |  0.001285 |        0.0 |  1.0 | 21.0 |
          19.0 |             18.0 |            14.407 |   0.09085 | 28004980.0 |  2.0 | 21.0 |
          19.0 |             18.0 |           14.7943 |  0.002186 | 28180480.0 |  3.0 | 21.0 |
          19.0 |             18.0 |            55.676 |    0.4847 | 33151930.0 |  8.0 | 21.0 |
          19.0 |             18.0 |            58.432 |  0.002745 | 33239492.0 | 14.0 | 21.0 |
          19.0 |             18.0 |            58.435 |   0.01373 | 33239568.0 | 15.0 | 21.0 |
          19.0 |             18.0 |           14.3989 |    0.1552 | 28004980.0 |  2.0 | 22.0 |
          19.0 |             18.0 |            55.555 |    0.8064 | 33151930.0 |  8.0 | 22.0 |
          19.0 |             18.0 |            58.298 |  0.008241 | 33239492.0 | 14.0 | 22.0 |
          19.0 |             18.0 |            58.301 |  0.004575 | 33239568.0 | 15.0 | 22.0 |
          19.0 |             18.0 |              2.86 |   0.05263 |        0.0 |  1.0 | 23.0 |
          19.0 |             18.0 |           14.3679 |  0.002252 | 28004980.0 |  2.0 | 23.0 |
          19.0 |             18.0 |           14.7396 |   0.08861 | 28180480.0 |  3.0 | 23.0 |
          19.0 |             18.0 |            56.599 |    0.4863 | 33198090.0 |  9.0 | 23.0 |
          19.0 |             18.0 |            58.115 |   0.05534 | 33247890.0 | 17.0 | 23.0 |
          19.0 |             18.0 |           14.7039 |   0.01353 | 28165880.0 |  4.0 | 24.0 |
          19.0 |             18.0 |           14.7338 |    0.0304 | 28172670.0 |  5.0 | 24.0 |
          19.0 |             18.0 |           14.8112 |    0.1516 | 28200800.0 |  6.0 | 24.0 |
          19.0 |             18.0 |            56.615 |   0.06838 | 33196320.0 | 10.0 | 24.0 |
          19.0 |             18.0 |            56.735 |    0.1535 | 33198160.0 | 11.0 | 24.0 |
          19.0 |             18.0 |            56.979 |    0.7683 | 33206560.0 | 12.0 | 24.0 |
          19.0 |             18.0 |           14.8063 |    0.2833 | 28200800.0 |  6.0 | 26.0 |
          19.0 |             18.0 |            56.906 |     1.436 | 33206560.0 | 12.0 | 26.0 |
          19.0 |             18.0 |           15.0937 |    0.3619 | 28312910.0 |  7.0 | 27.0 |
          19.0 |             18.0 |            58.107 |     1.833 | 33237140.0 | 13.0 | 27.0 |
          19.0 |             18.0 |            57.831 |    0.6113 | 33239492.0 | 14.0 | 28.0 |
          19.0 |             18.0 |            57.834 |    0.1885 | 33239568.0 | 15.0 | 28.0 |
          19.0 |             18.0 |            57.963 |    0.3694 | 33243416.0 | 16.0 | 28.0 |
          19.0 |             18.0 |              57.9 |     3.056 | 33243416.0 | 16.0 | 30.0 |
          19.0 |             18.0 |             58.05 |     5.095 | 33247890.0 | 17.0 | 31.0 |
          19.0 |             18.0 |             13.19 | 0.0001346 | 28165880.0 |  4.0 | 32.0 |
          19.0 |             18.0 |           13.2019 |  0.001164 | 28172670.0 |  5.0 | 32.0 |
          19.0 |             18.0 |           13.2511 |  0.003373 | 28200800.0 |  6.0 | 32.0 |
          19.0 |             18.0 |           39.1997 | 0.0008244 | 33196320.0 | 10.0 | 32.0 |
          19.0 |             18.0 |            39.228 |  0.007111 | 33198160.0 | 11.0 | 32.0 |
          19.0 |             18.0 |           39.3577 |   0.02065 | 33206560.0 | 12.0 | 32.0 |
          19.0 |             18.0 |           125.245 |   0.00588 | 34948670.0 | 20.0 | 32.0 |
          19.0 |             18.0 |           125.593 |   0.05081 | 34950880.0 | 21.0 | 32.0 |
          19.0 |             18.0 |           126.215 |     0.148 | 34954804.0 | 22.0 | 32.0 |
          19.0 |             18.0 |            13.434 |  0.003638 | 28312910.0 |  7.0 | 33.0 |
          19.0 |             18.0 |           39.6893 |   0.02224 | 33237140.0 | 13.0 | 33.0 |
          19.0 |             18.0 |           126.296 |    0.1585 | 34964920.0 | 23.0 | 33.0 |
          19.0 |             18.0 |           12.9004 |   0.01262 | 28004980.0 |  2.0 | 34.0 |
          19.0 |             18.0 |           38.3915 |   0.04028 | 33151930.0 |  8.0 | 34.0 |
          19.0 |             18.0 |           39.7532 | 0.0007346 | 33239492.0 | 14.0 | 34.0 |
          19.0 |             18.0 |           121.398 |    0.1819 | 34931270.0 | 18.0 | 34.0 |
          19.0 |             18.0 |           126.867 |  0.009222 | 34966788.0 | 24.0 | 34.0 |
          19.0 |             18.0 |            2.7966 | 0.0006264 |        0.0 |  1.0 | 35.0 |
          19.0 |             18.0 |           12.8997 |   0.03693 | 28004980.0 |  2.0 | 35.0 |
          19.0 |             18.0 |           13.1985 | 0.0009165 | 28180480.0 |  3.0 | 35.0 |
          19.0 |             18.0 |           38.3856 |    0.1212 | 33151930.0 |  8.0 | 35.0 |
          19.0 |             18.0 |           39.6873 | 0.0005531 | 33239492.0 | 14.0 | 35.0 |
          19.0 |             18.0 |           39.6885 |  0.002767 | 33239568.0 | 15.0 | 35.0 |
          19.0 |             18.0 |           120.785 |    0.5476 | 34931270.0 | 18.0 | 35.0 |
          19.0 |             18.0 |           126.198 |  0.006992 | 34966788.0 | 24.0 | 35.0 |
          19.0 |             18.0 |           12.8967 |    0.0631 | 28004980.0 |  2.0 | 36.0 |
