 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik |   E_i(cm^-1) |     i |     j |
           3.0 |              2.0 |  167.2100067138672 |  0.012363173067569733 |          0.0 | 333.0 | 666.0 |
           3.0 |              2.0 | 168.74000549316406 |  0.021697016432881355 |          0.0 | 333.0 | 666.0 |
           3.0 |              2.0 | 171.58001708984375 |   0.04367169365286827 |          0.0 | 333.0 | 666.0 |
           3.0 |              2.0 | 178.02000427246094 |   0.11064964532852173 |          0.0 | 333.0 | 666.0 |
           3.0 |              2.0 | 199.27999877929688 |   0.45668840408325195 |          0.0 | 333.0 | 666.0 |
           3.0 |              2.0 |              820.0 |   0.02290128916501999 | 476034.96875 | 333.0 | 666.0 |
           3.0 |              2.0 |              861.0 |  0.042667776346206665 | 476034.96875 | 333.0 | 666.0 |
           3.0 |              2.0 |              936.0 |  0.030203688889741898 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |              945.0 |   0.09583188593387604 | 476034.96875 | 333.0 | 666.0 |
           3.0 |              2.0 |              965.0 |  0.052372101694345474 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |              972.0 |  0.003992088139057159 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |              988.0 |  0.031542785465717316 | 491374.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |             1018.0 |   0.10527130961418152 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |             1032.0 |  0.008061018772423267 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |             1093.0 |   0.07279809564352036 | 491374.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |             1103.0 |    0.1281268149614334 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |             1109.0 |  0.007216223515570164 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 | 1132.0999755859375 |   0.12321397662162781 |  494266.5625 | 333.0 | 666.0 |
           3.0 |              2.0 | 1166.4000244140625 |  0.021477315574884415 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 | 1198.0899658203125 |  0.062339022755622864 | 476034.96875 | 333.0 | 666.0 |
           3.0 |              2.0 |             1238.0 |    0.3575855791568756 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 | 1253.7999267578125 |    0.0187443308532238 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 | 1420.8900146484375 |    0.2570396065711975 | 491374.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |  1492.929931640625 |    1.4049795866012573 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 |  1492.969970703125 |     2.623614549636841 |  494263.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |    1493.0400390625 |    0.6247122287750244 |  494266.5625 | 333.0 | 666.0 |
           3.0 |              2.0 | 1653.0799560546875 |   0.11710622161626816 | 494261.15625 | 333.0 | 666.0 |
           3.0 |              2.0 | 1653.1300048828125 |    0.1952090710401535 |  494263.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |    1653.2099609375 |   0.03904181346297264 |  494266.5625 | 333.0 | 666.0 |
           3.0 |              2.0 | 1681.6600341796875 |      2.13451886177063 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |     1755.330078125 |   0.09469128400087357 | 501808.59375 | 333.0 | 666.0 |
           3.0 |              2.0 |    2330.5498046875 |   0.04787072911858559 |  554754.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |   2403.06005859375 |   0.06405896693468094 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |    2430.5498046875 |  0.009336412884294987 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |  2507.699951171875 |  0.016884956508874893 |   561243.125 | 333.0 | 666.0 |
           3.0 |              2.0 |    2509.5400390625 |   0.10894567519426346 |   561273.625 | 333.0 | 666.0 |
           3.0 |              2.0 |            2540.25 |   0.08651472628116608 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |             2552.5 |  0.008289913646876812 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |             2560.0 |   0.03638647869229317 |   558777.875 | 333.0 | 666.0 |
           3.0 |              2.0 |   2605.85986328125 |   0.04040544852614403 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |     2658.080078125 |  0.018446331843733788 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |      2658.08984375 |  0.030746806412935257 |  559501.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |            2675.25 |   0.06142003461718559 |  554754.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |  2729.050048828125 |    0.0300386194139719 |   561243.125 | 333.0 | 666.0 |
           3.0 |              2.0 |   2729.10009765625 | 0.0008586377953179181 |    561243.75 | 333.0 | 666.0 |
           3.0 |              2.0 |    2729.1298828125 |   0.16227811574935913 |  561244.3125 | 333.0 | 666.0 |
           3.0 |              2.0 |   2731.27978515625 |   0.22431586682796478 |   561273.625 | 333.0 | 666.0 |
           3.0 |              2.0 |   2731.35986328125 |   0.04537326470017433 |   561273.625 | 333.0 | 666.0 |
           3.0 |              2.0 |   2767.81005859375 |   0.16864752769470215 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |  2791.130126953125 |  0.016215484589338303 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |             3030.0 |   0.09588706493377686 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |   3030.02001953125 |    0.0958782210946083 |  559501.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |   3156.22021484375 |   0.04798218235373497 |   559500.375 | 333.0 | 666.0 |
           3.0 |              2.0 |  3156.239990234375 |    0.0799742266535759 |  559501.4375 | 333.0 | 666.0 |
           3.0 |              2.0 |  3197.179931640625 |    0.5567753314971924 |   561243.125 | 333.0 | 666.0 |
           3.0 |              2.0 |            3197.25 |    1.0087882280349731 |    561243.75 | 333.0 | 666.0 |
           3.0 |              2.0 |  3197.280029296875 |    0.4708363711833954 |  561244.3125 | 333.0 | 666.0 |
           3.0 |              2.0 |            3200.25 |    0.6239790320396423 |   561273.625 | 333.0 | 666.0 |
           3.0 |              2.0 |   3200.35009765625 |    0.1594409942626953 |   561273.625 | 333.0 | 666.0 |
           3.0 |              2.0 |   3250.81005859375 |    0.4242091178894043 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |   3307.22998046875 |    0.0413275845348835 |  561752.8125 | 333.0 | 666.0 |
           3.0 |              2.0 |  3685.369873046875 |    0.3114081621170044 |  554754.4375 | 333.0 | 666.0 |
