 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |      E_i(cm^-1) |     i |     j |
           3.0 |              1.0 |     2334.66015625 | 0.00035645117168314755 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |   2340.8701171875 | 0.00022029261162970215 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  2348.93994140625 |  0.0005457578226923943 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  2359.64990234375 |  0.0006982325576245785 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 | 2374.260009765625 |   0.000324041087878868 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 | 2395.119873046875 |  0.0009164315415546298 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |    2426.169921875 |  0.0013489632401615381 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  2475.81005859375 |  0.0010539013892412186 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |    2563.080078125 |  0.0034665707498788834 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |    2742.009765625 |   0.005624706856906414 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 | 3233.590087890625 |  0.0031405084300786257 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 | 3719.800048828125 |   0.016707060858607292 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |   3795.7998046875 |    0.02627846598625183 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 | 3916.409912109375 |     0.0456562265753746 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |   3916.4599609375 |    0.08222425729036331 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 | 3986.610107421875 |    0.00411149812862277 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |    3986.669921875 |   0.008317639119923115 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  4133.72998046875 |    0.09332543611526489 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |   4133.7900390625 |    0.16672472655773163 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  4274.27001953125 |   0.008709637448191643 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |    4274.330078125 |   0.017338039353489876 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |   4604.1201171875 |    0.24603673815727234 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |  4604.18017578125 |    0.44279223680496216 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |   4973.0498046875 |   0.025656649842858315 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |  4973.14013671875 |    0.05130975693464279 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  6105.22998046875 |     1.2771737575531006 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |     6105.33984375 |    0.25542300939559937 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  6709.60986328125 |     0.9959326982498169 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |  6709.76025390625 |    0.49796634912490845 |             0.0 | 333.0 | 666.0 |
           3.0 |              1.0 |   8128.4599609375 |     0.2210090160369873 |  14903.66015625 | 333.0 | 666.0 |
           3.0 |              1.0 |      8128.6796875 |      0.441977322101593 |         14904.0 | 333.0 | 666.0 |
           3.0 |              1.0 |           12235.0 |    0.46881338953971863 | 30925.380859375 | 333.0 | 666.0 |
           3.0 |              1.0 |           12785.0 |      0.628347635269165 | 31283.080078125 | 333.0 | 666.0 |
           3.0 |              1.0 |           13570.0 |     0.1039920225739479 | 30925.380859375 | 333.0 | 666.0 |
           3.0 |              1.0 |           17557.0 |      1.879316806793213 | 30925.380859375 | 333.0 | 666.0 |
           3.0 |              1.0 |           18702.0 |      5.800961494445801 | 31283.119140625 | 333.0 | 666.0 |
           3.0 |              1.0 |           19300.0 |    0.05986872315406799 | 31283.080078125 | 333.0 | 666.0 |
           3.0 |              1.0 |   24473.701171875 |     0.8918668031692505 | 30925.380859375 | 333.0 | 666.0 |
%NIST
