 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          12.0 |              2.0 |          2803.531 |    0.6345 |        0.0 |  1.0 |   2.0 |
          12.0 |              2.0 |           2796.35 |     1.273 |        0.0 |  1.0 |   3.0 |
          12.0 |              2.0 |          2937.375 |    0.5943 |    35760.9 |  3.0 |   4.0 |
          12.0 |              2.0 |          2929.493 |    0.2962 |    35669.3 |  2.0 |   4.0 |
          12.0 |              2.0 |          2798.753 |    0.3872 |    35760.9 |  3.0 |   5.0 |
          12.0 |              2.0 |          1398.775 |       0.0 |        0.0 |  1.0 |   5.0 |
          12.0 |              2.0 |          2791.596 |     1.931 |    35669.3 |  2.0 |   5.0 |
          12.0 |              2.0 |          2798.823 |     3.483 |    35760.9 |  3.0 |   6.0 |
          12.0 |              2.0 |          1398.793 |       0.0 |        0.0 |  1.0 |   6.0 |
          12.0 |              2.0 |          9246.757 |    0.9327 |    69804.9 |  4.0 |   7.0 |
          12.0 |              2.0 |         10954.825 |    0.6019 |    71491.1 |  5.0 |   7.0 |
          12.0 |              2.0 |          1240.395 | 0.0003484 |        0.0 |  1.0 |   7.0 |
          12.0 |              2.0 |          2229.227 |       0.0 |    35760.9 |  3.0 |   7.0 |
          12.0 |              2.0 |          2227.712 |       0.0 |    35760.9 |  3.0 |   8.0 |
          12.0 |              2.0 |          9220.752 |     1.869 |    69804.9 |  4.0 |   8.0 |
          12.0 |              2.0 |         10918.344 |    0.1207 |    71491.1 |  5.0 |   8.0 |
          12.0 |              2.0 |         10917.273 |     1.086 |    71490.2 |  6.0 |   8.0 |
          12.0 |              2.0 |          1239.926 | 0.0006219 |        0.0 |  1.0 |   8.0 |
          12.0 |              2.0 |          2223.176 |       0.0 |    35669.3 |  2.0 |   8.0 |
          12.0 |              2.0 |          1753.475 |   0.07253 |    35760.9 |  3.0 |   9.0 |
          12.0 |              2.0 |          8236.893 |     1.076 |    80650.0 |  8.0 |   9.0 |
          12.0 |              2.0 |          8216.252 |    0.5364 |    80619.5 |  7.0 |   9.0 |
          12.0 |              2.0 |          1750.664 |   0.03624 |    35669.3 |  2.0 |   9.0 |
          12.0 |              2.0 |          7898.207 |    0.4991 |    80650.0 |  8.0 |  10.0 |
          12.0 |              2.0 |          1737.613 |   0.01542 |    35760.9 |  3.0 |  10.0 |
          12.0 |              2.0 |          7879.226 |     2.497 |    80619.5 |  7.0 |  10.0 |
          12.0 |              2.0 |          1071.684 |       0.0 |        0.0 |  1.0 |  10.0 |
          12.0 |              2.0 |          1734.852 |   0.07783 |    35669.3 |  2.0 |  10.0 |
          12.0 |              2.0 |          7898.519 |     4.509 |    80650.0 |  8.0 |  11.0 |
          12.0 |              2.0 |          1737.628 |    0.1388 |    35760.9 |  3.0 |  11.0 |
          12.0 |              2.0 |          4482.596 |     3.951 |    71491.1 |  5.0 |  12.0 |
          12.0 |              2.0 |          4482.416 |    0.2824 |    71490.2 |  6.0 |  12.0 |
          12.0 |              2.0 |          1720.273 |       0.0 |    35669.3 |  2.0 |  12.0 |
          12.0 |              2.0 |          1722.985 |       0.0 |    35760.9 |  3.0 |  13.0 |
          12.0 |              2.0 |          4482.395 |     5.637 |    71490.2 |  6.0 |  13.0 |
          12.0 |              2.0 |         24131.273 |     1.196 |    93311.1 | 10.0 |  14.0 |
          12.0 |              2.0 |           3616.61 | 0.0005864 |    69804.9 |  4.0 |  14.0 |
          12.0 |              2.0 |          3851.487 |   0.01535 |    71491.1 |  5.0 |  14.0 |
          12.0 |              2.0 |         21438.057 |     1.223 |    92790.5 |  9.0 |  14.0 |
          12.0 |              2.0 |          5950.574 |       0.0 |    80650.0 |  8.0 |  14.0 |
          12.0 |              2.0 |          1026.114 |  0.001063 |        0.0 |  1.0 |  14.0 |
