 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          12.0 |              3.0 |            234.94 |       0.0 |        0.0 |   1.0 |   2.0 |
          12.0 |              3.0 |           234.264 |   0.01076 |        0.0 |   1.0 |   3.0 |
          12.0 |              3.0 |         101626.02 |       0.0 |   426868.1 |   3.0 |   4.0 |
          12.0 |              3.0 |           231.734 |    0.2383 |        0.0 |   1.0 |   5.0 |
          12.0 |              3.0 |          2789.517 |  0.003153 |   431530.0 |   5.0 |   6.0 |
          12.0 |              3.0 |          2529.954 |   0.05781 |   427852.1 |   4.0 |   6.0 |
          12.0 |              3.0 |          2395.887 |    0.4362 |   425640.3 |   2.0 |   6.0 |
          12.0 |              3.0 |          2468.502 |    0.1975 |   426868.1 |   3.0 |   6.0 |
          12.0 |              3.0 |          2065.566 |     1.941 |   425640.3 |   2.0 |   7.0 |
          12.0 |              3.0 |          2318.841 |   0.01824 |   431530.0 |   5.0 |   8.0 |
          12.0 |              3.0 |           210.679 |       0.0 |        0.0 |   1.0 |   8.0 |
          12.0 |              3.0 |          2040.205 |    0.4838 |   425640.3 |   2.0 |   8.0 |
          12.0 |              3.0 |          2092.623 |    0.8825 |   426868.1 |   3.0 |   8.0 |
          12.0 |              3.0 |          2274.128 |   0.00121 |   431530.0 |   5.0 |   9.0 |
          12.0 |              3.0 |            2098.6 |      0.33 |   427852.1 |   4.0 |   9.0 |
          12.0 |              3.0 |          2005.511 |   0.05661 |   425640.3 |   2.0 |   9.0 |
          12.0 |              3.0 |           2056.14 |    0.4444 |   426868.1 |   3.0 |   9.0 |
          12.0 |              3.0 |          2178.379 |    0.8947 |   431530.0 |   5.0 |  10.0 |
          12.0 |              3.0 |           209.452 |       0.0 |        0.0 |   1.0 |  10.0 |
          12.0 |              3.0 |          1930.674 |     0.406 |   425640.3 |   2.0 |  10.0 |
          12.0 |              3.0 |          1977.551 |     0.106 |   426868.1 |   3.0 |  10.0 |
          12.0 |              3.0 |          2134.722 |    0.4438 |   431530.0 |   5.0 |  11.0 |
          12.0 |              3.0 |           1979.32 |    0.2312 |   427852.1 |   4.0 |  11.0 |
          12.0 |              3.0 |          1896.303 |     0.095 |   425640.3 |   2.0 |  11.0 |
          12.0 |              3.0 |          1941.506 |   0.07668 |   426868.1 |   3.0 |  11.0 |
