 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          12.0 |              5.0 |  2782.677978515625 |   1.08605000548323e-08 |                0.0 |   1.0 |   4.0 |
          12.0 |              5.0 |  1294.012939453125 |   6.27600011890439e-12 |                0.0 |   1.0 |   5.0 |
          12.0 |              5.0 |  353.0920104980469 |     0.5915499925613403 |                0.0 |   1.0 |   6.0 |
          12.0 |              5.0 |  351.0889892578125 |    0.19831499457359314 |                0.0 |   1.0 |   7.0 |
          12.0 |              5.0 | 146.08299255371094 |     0.2531999945640564 |                0.0 |   1.0 |  12.0 |
          12.0 |              5.0 | 137.41099548339844 |    0.30522000789642334 |                0.0 |   1.0 |  13.0 |
          12.0 |              5.0 | 137.40699768066406 |    0.05450500175356865 |                0.0 |   1.0 |  14.0 |
          12.0 |              5.0 |  137.4040069580078 |  0.0036337999626994133 |                0.0 |   1.0 |  15.0 |
          12.0 |              5.0 | 132.17599487304688 |    0.05142999812960625 |                0.0 |   1.0 |  20.0 |
          12.0 |              5.0 | 132.16299438476562 |     0.1543000042438507 |                0.0 |   1.0 |  21.0 |
          12.0 |              5.0 | 121.65799713134766 |   0.012933999300003052 |                0.0 |   1.0 |  30.0 |
          12.0 |              5.0 | 121.65599822998047 |     0.1940149962902069 |                0.0 |   1.0 |  31.0 |
          12.0 |              5.0 |  121.6449966430664 |     1.0865999460220337 |                0.0 |   1.0 |  32.0 |
          12.0 |              5.0 | 114.78199768066406 |     1.0217000246047974 |                0.0 |   1.0 |  42.0 |
          12.0 |              5.0 | 114.76399993896484 |     0.1824750006198883 |                0.0 |   1.0 |  43.0 |
          12.0 |              5.0 | 114.75900268554688 |   0.012165499851107597 |                0.0 |   1.0 |  44.0 |
          12.0 |              5.0 |   114.052001953125 |     1.0744500160217285 |                0.0 |   1.0 |  47.0 |
          12.0 |              5.0 | 113.98799896240234 |     0.3583449721336365 |                0.0 |   1.0 |  48.0 |
          12.0 |              5.0 |  113.6989974975586 |    0.48482000827789307 |                0.0 |   1.0 |  51.0 |
          12.0 |              5.0 | 111.23899841308594 |    0.06328999996185303 |                0.0 |   1.0 |  54.0 |
          12.0 |              5.0 | 111.18900299072266 |    0.18995000422000885 |                0.0 |   1.0 |  55.0 |
          12.0 |              5.0 | 110.84600067138672 |     0.8021999597549438 |                0.0 |   1.0 |  58.0 |
          12.0 |              5.0 |   110.802001953125 |    0.14330999553203583 |                0.0 |   1.0 |  59.0 |
          12.0 |              5.0 | 110.77100372314453 |   0.009556500241160393 |                0.0 |   1.0 |  60.0 |
          12.0 |              5.0 | 109.80000305175781 |    0.05390999838709831 |                0.0 |   1.0 |  63.0 |
          12.0 |              5.0 | 103.94200134277344 |     0.6536999940872192 |                0.0 |   1.0 |  72.0 |
          12.0 |              5.0 | 103.93900299072266 |    0.11674000322818756 |                0.0 |   1.0 |  73.0 |
          12.0 |              5.0 | 103.93800354003906 |   0.007782999891787767 |                0.0 |   1.0 |  74.0 |
          12.0 |              5.0 | 103.90599822998047 |   0.007785500027239323 |                0.0 |   1.0 |  75.0 |
          12.0 |              5.0 |  103.9020004272461 |     0.6539999842643738 |                0.0 |   1.0 |  77.0 |
          12.0 |              5.0 |  100.9489974975586 |    0.02028150111436844 |                0.0 |   1.0 |  86.0 |
          12.0 |              5.0 |   99.9729995727539 |     0.3904249966144562 |                0.0 |   1.0 |  94.0 |
          12.0 |              5.0 |  99.89700317382812 |     0.0884300023317337 |                0.0 |   1.0 |  95.0 |
          12.0 |              5.0 |  99.36199951171875 |   0.023136500269174576 |                0.0 |   1.0 |  96.0 |
          12.0 |              5.0 |  99.01899719238281 |    0.46216997504234314 |                0.0 |   1.0 |  98.0 |
          12.0 |              5.0 |  98.63500213623047 |    0.16395999491214752 |                0.0 |   1.0 | 102.0 |
          12.0 |              5.0 |  98.62899780273438 |    0.02928050048649311 |                0.0 |   1.0 | 103.0 |
          12.0 |              5.0 |   98.6259994506836 |  0.0019520999630913138 |                0.0 |   1.0 | 104.0 |
          12.0 |              5.0 |  98.26899719238281 |     0.1496649980545044 |                0.0 |   1.0 | 112.0 |
          12.0 |              5.0 |  98.23200225830078 |   0.049907002598047256 |                0.0 |   1.0 | 113.0 |
          12.0 |              5.0 |   98.1259994506836 |     0.1629599928855896 |                0.0 |   1.0 | 116.0 |
          12.0 |              5.0 |  97.39199829101562 |     0.2321700006723404 |                0.0 |   1.0 | 134.0 |
          12.0 |              5.0 |  95.91699981689453 |   0.030441999435424805 |                0.0 |   1.0 | 142.0 |
          12.0 |              5.0 |  95.89600372314453 |    0.09134500473737717 |                0.0 |   1.0 | 143.0 |
          12.0 |              5.0 |   95.7979965209961 |    0.31619998812675476 |                0.0 |   1.0 | 145.0 |
          12.0 |              5.0 |  95.40599822998047 |   0.008008499629795551 |                0.0 |   1.0 | 151.0 |
          12.0 |              5.0 |   94.6760025024414 |    0.01940999925136566 |                0.0 |   1.0 | 161.0 |
          12.0 |              5.0 |  94.17400360107422 |     0.1685200035572052 |                0.0 |   1.0 | 166.0 |
          12.0 |              5.0 |  93.10199737548828 |   0.006172999739646912 |                0.0 |   1.0 | 178.0 |
          12.0 |              5.0 |  92.56700134277344 |    0.04471550136804581 |                0.0 |   1.0 | 186.0 |
          12.0 |              5.0 |  92.43199920654297 |    0.04829300194978714 |                0.0 |   1.0 | 192.0 |
          12.0 |              5.0 |  92.35700225830078 |    0.07730499655008316 |                0.0 |   1.0 | 196.0 |
          12.0 |              5.0 |  92.34300231933594 |    0.17741499841213226 |                0.0 |   1.0 | 197.0 |
          12.0 |              5.0 |   92.1719970703125 |   0.005244500003755093 |                0.0 |   1.0 | 211.0 |
          12.0 |              5.0 |  92.16799926757812 |  6.284999835770577e-05 |                0.0 |   1.0 | 213.0 |
          12.0 |              5.0 |  91.71199798583984 |   0.002942100167274475 |                0.0 |   1.0 | 218.0 |
          12.0 |              5.0 |  91.56800079345703 |   0.007953000254929066 |                0.0 |   1.0 | 219.0 |
          12.0 |              5.0 |  91.31700134277344 |   0.008675999939441681 |                0.0 |   1.0 | 222.0 |
          12.0 |              5.0 |  91.24600219726562 |    0.06617999821901321 |                0.0 |   1.0 | 225.0 |
          12.0 |              5.0 |  90.80500030517578 |  0.0023580999113619328 |                0.0 |   1.0 | 235.0 |
          12.0 |              5.0 |   90.6510009765625 |   0.019632501527667046 |                0.0 |   1.0 | 239.0 |
          12.0 |              5.0 |  90.49400329589844 |   0.027585498988628387 |                0.0 |   1.0 | 241.0 |
          12.0 |              5.0 |  90.18199920654297 |  0.0018297999631613493 |                0.0 |   1.0 | 251.0 |
          12.0 |              5.0 |  90.14299774169922 |     0.0628499984741211 |                0.0 |   1.0 | 253.0 |
          12.0 |              5.0 |  90.08899688720703 |    0.12847499549388885 |                0.0 |   1.0 | 256.0 |
          12.0 |              5.0 |  89.95099639892578 |    0.06117499992251396 |                0.0 |   1.0 | 261.0 |
          12.0 |              5.0 |  89.53700256347656 |    0.10232999920845032 |                0.0 |   1.0 | 274.0 |
          12.0 |              5.0 |  88.41300201416016 |    0.00901000015437603 |                0.0 |   1.0 | 287.0 |
          12.0 |              5.0 |   87.8949966430664 |      0.063960000872612 |                0.0 |   1.0 | 300.0 |
          12.0 |              5.0 |  2928.010009765625 | 3.4400997606098827e-09 | 1783.0999755859375 |   2.0 |   4.0 |
          12.0 |              5.0 |  1324.574951171875 |  5.673600256272948e-09 | 1783.0999755859375 |   2.0 |   5.0 |
          12.0 |              5.0 |  355.3290100097656 |    0.19594800472259521 | 1783.0999755859375 |   2.0 |   6.0 |
          12.0 |              5.0 | 353.29998779296875 |    0.11824499070644379 | 1783.0999755859375 |   2.0 |   7.0 |
          12.0 |              5.0 | 352.20098876953125 |    0.15815100073814392 | 1783.0999755859375 |   2.0 |   8.0 |
          12.0 |              5.0 | 146.46499633789062 |    0.15152400732040405 | 1783.0999755859375 |   2.0 |  12.0 |
          12.0 |              5.0 |  137.7449951171875 |    0.16311600804328918 | 1783.0999755859375 |   2.0 |  14.0 |
          12.0 |              5.0 | 137.74099731445312 |   0.054371997714042664 | 1783.0999755859375 |   2.0 |  15.0 |
          12.0 |              5.0 | 132.49200439453125 |     0.0410429984331131 | 1783.0999755859375 |   2.0 |  19.0 |
          12.0 |              5.0 | 132.48800659179688 |   0.030783001333475113 | 1783.0999755859375 |   2.0 |  20.0 |
          12.0 |              5.0 | 132.47500610351562 |   0.051311999559402466 | 1783.0999755859375 |   2.0 |  21.0 |
          12.0 |              5.0 |  121.9229965209961 |    0.19359000027179718 | 1783.0999755859375 |   2.0 |  30.0 |
          12.0 |              5.0 |  121.9209976196289 |     0.5807700157165527 | 1783.0999755859375 |   2.0 |  31.0 |
