 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |      E_i(cm^-1) |     i |     j |
          12.0 |              1.0 |    4569.6572265625 |  5.500000042957254e-06 |             0.0 |   1.0 |   2.0 |
          12.0 |              1.0 |    2852.1259765625 |                   1.75 |             0.0 |   1.0 |   3.0 |
          12.0 |              1.0 |   2089.39306640625 |  9.799999816095806e-07 |             0.0 |   1.0 |   7.0 |
          12.0 |              1.0 |  2025.823974609375 |    0.12300000339746475 |             0.0 |   1.0 |   9.0 |
          12.0 |              1.0 |  1843.300048828125 | 3.4999999343199306e-07 |             0.0 |   1.0 |  14.0 |
          12.0 |              1.0 |   1827.93505859375 |    0.02850000001490116 |             0.0 |   1.0 |  17.0 |
          12.0 |              1.0 |    1747.7939453125 |   0.010300000198185444 |             0.0 |   1.0 |  25.0 |
          12.0 |              1.0 |   1707.06103515625 |   0.004879999905824661 |             0.0 |   1.0 |  36.0 |
          12.0 |              1.0 | 1683.4119873046875 |  0.0027199999894946814 |             0.0 |   1.0 |  48.0 |
          12.0 |              1.0 |  1668.428955078125 |  0.0016799999866634607 |             0.0 |   1.0 |  60.0 |
          12.0 |              1.0 |   1658.31201171875 |   0.001120000029914081 |             0.0 |   1.0 |  70.0 |
          12.0 |              1.0 | 1651.1639404296875 |  0.0007810000097379088 |             0.0 |   1.0 |  82.0 |
          12.0 |              1.0 |      1641.79296875 |  0.0005984699819236994 |             0.0 |   1.0 |  98.0 |
          12.0 |              1.0 |  1638.760009765625 |  0.0004578100051730871 |             0.0 |   1.0 | 100.0 |
          12.0 |              1.0 |  1636.362060546875 | 0.00035863000084646046 |             0.0 |   1.0 | 102.0 |
          12.0 |              1.0 | 1634.4320068359375 | 0.00028651999309659004 |             0.0 |   1.0 | 104.0 |
          12.0 |              1.0 |   1632.85595703125 | 0.00023273999977391213 |             0.0 |   1.0 | 106.0 |
          12.0 |              1.0 |  1631.552001953125 | 0.00019176999921910465 |             0.0 |   1.0 | 108.0 |
          12.0 |              1.0 | 1630.4610595703125 | 0.00015997000446077436 |             0.0 |   1.0 | 110.0 |
          12.0 |              1.0 | 1629.5379638671875 |  0.0001348999940091744 |             0.0 |   1.0 | 112.0 |
          12.0 |              1.0 |     1628.751953125 | 0.00011485000140964985 |             0.0 |   1.0 | 114.0 |
          12.0 |              1.0 |  1628.074951171875 |  9.860900172498077e-05 |             0.0 |   1.0 | 116.0 |
          12.0 |              1.0 |  1627.489990234375 |  8.531600178685039e-05 |             0.0 |   1.0 | 118.0 |
          12.0 |              1.0 |   1626.97900390625 |  7.432499842252582e-05 |             0.0 |   1.0 | 120.0 |
          12.0 |              1.0 |  1626.531005859375 |  6.515499990200624e-05 |             0.0 |   1.0 | 122.0 |
          12.0 |              1.0 |  1626.135986328125 | 5.7442000979790464e-05 |             0.0 |   1.0 | 124.0 |
          12.0 |              1.0 | 1625.7860107421875 |  5.090700142318383e-05 |             0.0 |   1.0 | 126.0 |
          12.0 |              1.0 | 1625.4739990234375 |  4.533099854597822e-05 |             0.0 |   1.0 | 127.0 |
          12.0 |              1.0 | 1625.1949462890625 |  4.054500095662661e-05 |             0.0 |   1.0 | 130.0 |
          12.0 |              1.0 | 1624.9439697265625 |  3.641199873527512e-05 |             0.0 |   1.0 | 132.0 |
          12.0 |              1.0 |  1624.718994140625 |  3.282499892520718e-05 |             0.0 |   1.0 | 134.0 |
          12.0 |              1.0 |   5174.52783203125 |     1.2200400829315186 | 21877.349609375 |   2.0 |   4.0 |
          12.0 |              1.0 |   3833.31298828125 |      5.619960308074951 | 21877.349609375 |   2.0 |   8.0 |
          12.0 |              1.0 |  3332.910888671875 |    0.14100301265716553 | 21877.349609375 |   2.0 |  10.0 |
          12.0 |              1.0 |   3093.64501953125 |     1.0899900197982788 | 21877.349609375 |   2.0 |  13.0 |
          12.0 |              1.0 |   2939.06689453125 |   0.048600003123283386 | 21877.349609375 |   2.0 |  18.0 |
          12.0 |              1.0 |  2848.905029296875 |     0.4370039999485016 | 21877.349609375 |   2.0 |  21.0 |
          12.0 |              1.0 |  2779.839111328125 |      5.759999752044678 | 21877.349609375 |   2.0 |  28.0 |
          12.0 |              1.0 |    2778.6669921875 |   0.022300200536847115 | 21877.349609375 |   2.0 |  29.0 |
          12.0 |              1.0 |  2734.009033203125 |      0.213003009557724 | 21877.349609375 |   2.0 |  32.0 |
          12.0 |              1.0 |  2695.679931640625 |   0.012400200590491295 | 21877.349609375 |   2.0 |  41.0 |
          12.0 |              1.0 |    2670.0439453125 |    0.12099599838256836 | 21877.349609375 |   2.0 |  44.0 |
          12.0 |              1.0 |   2646.68896484375 |  0.0076899598352611065 | 21877.349609375 |   2.0 |  53.0 |
          12.0 |              1.0 |  2630.529052734375 |    0.07630019634962082 | 21877.349609375 |   2.0 |  56.0 |
          12.0 |              1.0 |  2615.195068359375 |   0.005120010115206242 | 21877.349609375 |   2.0 |  65.0 |
          12.0 |              1.0 |  2604.322021484375 |    0.05130000039935112 | 21877.349609375 |   2.0 |  68.0 |
          12.0 |              1.0 |  2593.694091796875 |  0.0035800200421363115 | 21877.349609375 |   2.0 |  77.0 |
          12.0 |              1.0 |  2586.013916015625 |   0.036299701780080795 | 21877.349609375 |   2.0 |  80.0 |
          12.0 |              1.0 |  2572.699951171875 |    0.02478419989347458 | 21877.349609375 |   2.0 |  90.0 |
          12.0 |              1.0 |    2561.2548828125 |   0.021036600694060326 | 21877.349609375 |   2.0 |  97.0 |
          12.0 |              1.0 |      2553.87890625 |   0.016047898679971695 | 21877.349609375 |   2.0 |  99.0 |
          12.0 |              1.0 |  2548.055908203125 |   0.012544199824333191 | 21877.349609375 |   2.0 | 101.0 |
          12.0 |              1.0 |    2543.3779296875 |   0.010004399344325066 | 21877.349609375 |   2.0 | 103.0 |
          12.0 |              1.0 |   2539.56201171875 |   0.008115029893815517 | 21877.349609375 |   2.0 | 105.0 |
          12.0 |              1.0 |  2536.407958984375 |   0.006678630132228136 | 21877.349609375 |   2.0 | 107.0 |
