 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |  E_i(cm^-1) |     i |     j |
          12.0 |              4.0 |  320.9939880371094 |    0.34834399819374084 |         0.0 |   1.0 |   3.0 |
          12.0 |              4.0 | 180.61399841308594 |     0.4020400047302246 |         0.0 |   1.0 |   7.0 |
          12.0 |              4.0 | 180.06900024414062 |    0.08065199851989746 |         0.0 |   1.0 |   8.0 |
          12.0 |              4.0 | 171.65499877929688 |    0.25677600502967834 |         0.0 |   1.0 |   9.0 |
          12.0 |              4.0 |  171.6510009765625 |   0.028531599789857864 |         0.0 |   1.0 |  10.0 |
          12.0 |              4.0 | 160.22799682617188 |    0.05265999957919121 |         0.0 |   1.0 |  23.0 |
          12.0 |              4.0 |   147.052001953125 |     0.1313920021057129 |         0.0 |   1.0 |  43.0 |
          12.0 |              4.0 | 146.95199584960938 |     1.1833200454711914 |         0.0 |   1.0 |  44.0 |
          12.0 |              4.0 | 146.83799743652344 |   0.056432001292705536 |         0.0 |   1.0 |  45.0 |
          12.0 |              4.0 |  146.5260009765625 |    0.28275999426841736 |         0.0 |   1.0 |  46.0 |
          12.0 |              4.0 | 140.52200317382812 |     0.5493599772453308 |         0.0 |   1.0 |  51.0 |
          12.0 |              4.0 | 140.47300720214844 |    0.10990799963474274 |         0.0 |   1.0 |  52.0 |
          12.0 |              4.0 |  140.4250030517578 |     0.3163360059261322 |         0.0 |   1.0 |  53.0 |
          12.0 |              4.0 |  140.1719970703125 |      0.512719988822937 |         0.0 |   1.0 |  54.0 |
          12.0 |              4.0 |  140.1179962158203 |   0.056992001831531525 |         0.0 |   1.0 |  55.0 |
          12.0 |              4.0 | 138.26100158691406 |     0.0761599987745285 |         0.0 |   1.0 |  61.0 |
          12.0 |              4.0 | 137.96600341796875 |   0.015264799818396568 |         0.0 |   1.0 |  62.0 |
          12.0 |              4.0 | 132.81399536132812 |    0.16208399832248688 |         0.0 |   1.0 |  69.0 |
          12.0 |              4.0 | 132.80299377441406 |   0.018011199310421944 |         0.0 |   1.0 |  70.0 |
          12.0 |              4.0 | 132.12399291992188 |   0.009247999638319016 |         0.0 |   1.0 |  71.0 |
          12.0 |              4.0 |  132.1219940185547 |  0.0010275599779561162 |         0.0 |   1.0 |  72.0 |
          12.0 |              4.0 |    129.97900390625 |    0.03393679857254028 |         0.0 |   1.0 |  82.0 |
          12.0 |              4.0 | 129.96800231933594 |    0.06602799892425537 |         0.0 |   1.0 |  83.0 |
          12.0 |              4.0 | 129.85699462890625 |     0.5947200059890747 |         0.0 |   1.0 |  84.0 |
          12.0 |              4.0 |  129.7100067138672 |    0.17003600299358368 |         0.0 |   1.0 |  86.0 |
          12.0 |              4.0 |   126.802001953125 |   0.030949199572205544 |         0.0 |   1.0 |  98.0 |
          12.0 |              4.0 | 126.60099792480469 |   0.006199600175023079 |         0.0 |   1.0 |  99.0 |
          12.0 |              4.0 | 125.46199798583984 |    0.04496400058269501 |         0.0 |   1.0 | 102.0 |
          12.0 |              4.0 |  124.6500015258789 |    0.13524800539016724 |         0.0 |   1.0 | 108.0 |
          12.0 |              4.0 | 124.64099884033203 |   0.027051599696278572 |         0.0 |   1.0 | 109.0 |
          12.0 |              4.0 | 124.54000091552734 |    0.08656399697065353 |         0.0 |   1.0 | 111.0 |
          12.0 |              4.0 |  124.5250015258789 |    0.00961919967085123 |         0.0 |   1.0 | 112.0 |
          12.0 |              4.0 | 124.41600036621094 |    0.08816000074148178 |         0.0 |   1.0 | 113.0 |
          12.0 |              4.0 | 123.43900299072266 |      0.159403994679451 |         0.0 |   1.0 | 122.0 |
          12.0 |              4.0 | 123.26599884033203 |     0.3267279863357544 |         0.0 |   1.0 | 131.0 |
          12.0 |              4.0 | 121.97899627685547 |    0.01774119958281517 |         0.0 |   1.0 | 134.0 |
          12.0 |              4.0 |  121.5459976196289 |   0.001956840045750141 |         0.0 |   1.0 | 135.0 |
          12.0 |              4.0 | 120.23200225830078 |    0.05302400141954422 |         0.0 |   1.0 | 149.0 |
          12.0 |              4.0 |  120.2300033569336 |    0.15273599326610565 |         0.0 |   1.0 | 150.0 |
          12.0 |              4.0 | 119.37899780273438 |   0.010871600359678268 |         0.0 |   1.0 | 160.0 |
          12.0 |              4.0 | 118.50299835205078 |    0.06282799690961838 |         0.0 |   1.0 | 170.0 |
          12.0 |              4.0 | 118.48699951171875 |    0.03935360163450241 |         0.0 |   1.0 | 171.0 |
          12.0 |              4.0 | 118.47799682617188 |   0.007871200330555439 |         0.0 |   1.0 | 173.0 |
          12.0 |              4.0 | 118.42400360107422 |     0.0806640014052391 |         0.0 |   1.0 | 177.0 |
          12.0 |              4.0 | 118.41500091552734 |  0.0035482801031321287 |         0.0 |   1.0 | 179.0 |
          12.0 |              4.0 | 118.30899810791016 |    0.18675200641155243 |         0.0 |   1.0 | 182.0 |
          12.0 |              4.0 |  118.3030014038086 |    0.09537599980831146 |         0.0 |   1.0 | 184.0 |
          12.0 |              4.0 | 118.19499969482422 |  0.0003174720040988177 |         0.0 |   1.0 | 194.0 |
          12.0 |              4.0 |  117.8219985961914 |   0.006222799886018038 |         0.0 |   1.0 | 199.0 |
          12.0 |              4.0 | 117.16000366210938 |    0.02801240049302578 |         0.0 |   1.0 | 210.0 |
          12.0 |              4.0 | 117.15799713134766 |    0.08070400357246399 |         0.0 |   1.0 | 211.0 |
          12.0 |              4.0 | 117.04100036621094 |   0.006649599876254797 |         0.0 |   1.0 | 218.0 |
          12.0 |              4.0 | 116.81199645996094 |   0.004435199778527021 |         0.0 |   1.0 | 220.0 |
          12.0 |              4.0 | 116.36599731445312 |   0.015740400180220604 |         0.0 |   1.0 | 231.0 |
          12.0 |              4.0 | 116.36299896240234 |   0.050624001771211624 |         0.0 |   1.0 | 233.0 |
          12.0 |              4.0 | 116.12000274658203 |  0.0032614399679005146 |         0.0 |   1.0 | 243.0 |
          12.0 |              4.0 | 115.80599975585938 |   0.007203199900686741 |         0.0 |   1.0 | 254.0 |
          12.0 |              4.0 |  115.8030014038086 |    0.03108079917728901 |         0.0 |   1.0 | 255.0 |
          12.0 |              4.0 | 115.79100036621094 |   0.007269999943673611 |         0.0 |   1.0 | 256.0 |
          12.0 |              4.0 | 115.41799926757812 |   0.029680000618100166 |         0.0 |   1.0 | 262.0 |
          12.0 |              4.0 | 113.68199920654297 |   0.022609999403357506 |         0.0 |   1.0 | 263.0 |
          12.0 |              4.0 |  323.3070068359375 |    0.17292599380016327 |      2228.0 |   2.0 |   3.0 |
          12.0 |              4.0 |   181.343994140625 |    0.08008400350809097 |      2228.0 |   2.0 |   7.0 |
          12.0 |              4.0 |  180.7949981689453 |     0.1606539934873581 |      2228.0 |   2.0 |   8.0 |
          12.0 |              4.0 | 172.30999755859375 |    0.14211200177669525 |      2228.0 |   2.0 |  10.0 |
          12.0 |              4.0 |   160.802001953125 |   0.026235999539494514 |      2228.0 |   2.0 |  23.0 |
          12.0 |              4.0 | 147.53500366210938 |     0.6547999978065491 |      2228.0 |   2.0 |  43.0 |
          12.0 |              4.0 | 147.32000732421875 |    0.11249600350856781 |      2228.0 |   2.0 |  45.0 |
