 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
          12.0 |              6.0 |  1806.489013671875 | 1.5851599546867767e-11 |           -0.0 |   1.0 |   2.0 |
          12.0 |              6.0 | 1805.9410400390625 |  2.346960126242692e-10 |           -0.0 |   1.0 |   3.0 |
          12.0 |              6.0 | 1191.6109619140625 |  2.256479891826757e-09 |           -0.0 |   1.0 |   4.0 |
          12.0 |              6.0 |  1190.073974609375 | 1.1041199954320291e-08 |           -0.0 |   1.0 |   5.0 |
          12.0 |              6.0 | 403.30999755859375 |    0.40432000160217285 |           -0.0 |   1.0 |   6.0 |
          12.0 |              6.0 |     400.6669921875 |     0.2713319957256317 |           -0.0 |   1.0 |   7.0 |
          12.0 |              6.0 |   399.281005859375 |      0.136135995388031 |           -0.0 |   1.0 |   8.0 |
          12.0 |              6.0 | 111.86399841308594 |    0.08314800262451172 |           -0.0 |   1.0 |  16.0 |
          12.0 |              6.0 | 111.74600219726562 |    0.16647200286388397 |           -0.0 |   1.0 |  17.0 |
          12.0 |              6.0 |   111.552001953125 |     0.2501400113105774 |           -0.0 |   1.0 |  18.0 |
          12.0 |              6.0 |  95.48300170898438 |     2.5196399688720703 |           -0.0 |   1.0 |  43.0 |
          12.0 |              6.0 |   95.4209976196289 |      1.680840015411377 |           -0.0 |   1.0 |  45.0 |
          12.0 |              6.0 |  95.38500213623047 |      0.840719997882843 |           -0.0 |   1.0 |  47.0 |
          12.0 |              6.0 |  90.89700317382812 |     0.2244279980659485 |           -0.0 |   1.0 |  61.0 |
          12.0 |              6.0 |  83.60199737548828 |   0.014977999962866306 |           -0.0 |   1.0 |  84.0 |
          12.0 |              6.0 |  83.58799743652344 |   0.029961200430989265 |           -0.0 |   1.0 |  85.0 |
          12.0 |              6.0 |  83.55999755859375 |    0.04495599865913391 |           -0.0 |   1.0 |  86.0 |
          12.0 |              6.0 |   82.0009994506836 |    0.03420880064368248 |           -0.0 |   1.0 |  92.0 |
          12.0 |              6.0 |  79.85700225830078 |     0.4428800046443939 |           -0.0 |   1.0 | 111.0 |
          12.0 |              6.0 |  79.83000183105469 |    0.29534798860549927 |           -0.0 |   1.0 | 112.0 |
          12.0 |              6.0 |  79.81700134277344 |     0.1476999968290329 |           -0.0 |   1.0 | 114.0 |
          12.0 |              6.0 |  79.81600189208984 |     0.5365599989891052 |           -0.0 |   1.0 | 115.0 |
          12.0 |              6.0 |  75.93000030517578 |    0.01746240071952343 |           -0.0 |   1.0 | 166.0 |
          12.0 |              6.0 |  75.88999938964844 |     0.0349435992538929 |           -0.0 |   1.0 | 168.0 |
          12.0 |              6.0 |  75.83399963378906 |   0.052452001720666885 |           -0.0 |   1.0 | 169.0 |
          12.0 |              6.0 |  75.48500061035156 |    0.21442799270153046 |           -0.0 |   1.0 | 174.0 |
          12.0 |              6.0 |   74.5739974975586 |   0.018491199240088463 |           -0.0 |   1.0 | 187.0 |
          12.0 |              6.0 |  74.39399719238281 |      0.709119975566864 |           -0.0 |   1.0 | 195.0 |
          12.0 |              6.0 |  72.50599670410156 |    0.01376319956034422 |           -0.0 |   1.0 | 224.0 |
          12.0 |              6.0 |   71.7239990234375 |     0.3081800043582916 |           -0.0 |   1.0 | 251.0 |
          12.0 |              6.0 |    70.677001953125 |  0.0076696001924574375 |           -0.0 |   1.0 | 272.0 |
          12.0 |              6.0 |  70.21399688720703 |                 0.1875 |           -0.0 |   1.0 | 285.0 |
          12.0 |              6.0 |  69.57099914550781 |   0.005266000051051378 |           -0.0 |   1.0 | 324.0 |
          12.0 |              6.0 |  69.27100372314453 |    0.12965600192546844 |           -0.0 |   1.0 | 336.0 |
          12.0 |              6.0 |   69.2030029296875 |    0.07540000230073929 |           -0.0 |   1.0 | 352.0 |
          12.0 |              6.0 |  68.85199737548828 |  0.0006901600281707942 |           -0.0 |   1.0 | 358.0 |
          12.0 |              6.0 |  68.64099884033203 |     0.0975399985909462 |           -0.0 |   1.0 | 371.0 |
          12.0 |              6.0 |   68.6259994506836 |   0.004777200054377317 |           -0.0 |   1.0 | 373.0 |
          12.0 |              6.0 |  68.50199890136719 |   0.004059200175106525 |           -0.0 |   1.0 | 391.0 |
          12.0 |              6.0 |   68.3270034790039 |   0.005854399874806404 |           -0.0 |   1.0 | 399.0 |
          12.0 |              6.0 |   68.1969985961914 |   0.057844001799821854 |           -0.0 |   1.0 | 425.0 |
          12.0 |              6.0 |  3499.908935546875 |  5.512439948951453e-10 |        55356.0 |   2.0 |   4.0 |
          12.0 |              6.0 |  3486.677001953125 | 1.7506799565580877e-08 |        55356.0 |   2.0 |   5.0 |
          12.0 |              6.0 |  349.1679992675781 |     0.6649200320243835 |        55356.0 |   2.0 |   9.0 |
          12.0 |              6.0 | 349.11700439453125 |   0.047501400113105774 |        55356.0 |   2.0 |  10.0 |
          12.0 |              6.0 |  270.3919982910156 |     1.0049400329589844 |        55356.0 |   2.0 |  12.0 |
          12.0 |              6.0 | 116.96700286865234 |    0.27827998995780945 |        55356.0 |   2.0 |  20.0 |
          12.0 |              6.0 | 113.19000244140625 |   0.023173799738287926 |        55356.0 |   2.0 |  21.0 |
          12.0 |              6.0 |  101.5530014038086 |     0.1339620053768158 |        55356.0 |   2.0 |  35.0 |
          12.0 |              6.0 |  100.9020004272461 |    0.05124540254473686 |        55356.0 |   2.0 |  40.0 |
          12.0 |              6.0 | 100.78800201416016 |     1.0773600339889526 |        55356.0 |   2.0 |  44.0 |
          12.0 |              6.0 |  100.7020034790039 |      1.026960015296936 |        55356.0 |   2.0 |  46.0 |
          12.0 |              6.0 |  99.33499908447266 |    0.04782779887318611 |        55356.0 |   2.0 |  50.0 |
          12.0 |              6.0 |  99.27899932861328 |     0.6699600219726562 |        55356.0 |   2.0 |  51.0 |
          12.0 |              6.0 |  97.27799987792969 |     3.3215999603271484 |        55356.0 |   2.0 |  53.0 |
          12.0 |              6.0 |   97.2490005493164 |      0.166128009557724 |        55356.0 |   2.0 |  54.0 |
          12.0 |              6.0 |   96.9729995727539 |    0.08093399554491043 |        55356.0 |   2.0 |  56.0 |
          12.0 |              6.0 |  96.94000244140625 |     1.1334599256515503 |        55356.0 |   2.0 |  57.0 |
          12.0 |              6.0 |  96.25599670410156 |     0.2833380103111267 |        55356.0 |   2.0 |  59.0 |
          12.0 |              6.0 |   93.4990005493164 |  0.0014516999945044518 |        55356.0 |   2.0 |  68.0 |
          12.0 |              6.0 |   87.6989974975586 |    0.30435600876808167 |        55356.0 |   2.0 |  83.0 |
          12.0 |              6.0 |  87.40399932861328 |   0.004442639648914337 |        55356.0 |   2.0 |  89.0 |
          12.0 |              6.0 |  85.62200164794922 |     0.6033000349998474 |        55356.0 |   2.0 |  94.0 |
          12.0 |              6.0 |  85.57499694824219 |   0.030181199312210083 |        55356.0 |   2.0 |  95.0 |
          12.0 |              6.0 |  85.46600341796875 |     0.2965559959411621 |        55356.0 |   2.0 |  97.0 |
          12.0 |              6.0 |  84.72200012207031 |   0.015898799523711205 |        55356.0 |   2.0 | 100.0 |
          12.0 |              6.0 |  83.86699676513672 | 0.00037982402136549354 |        55356.0 |   2.0 | 105.0 |
          12.0 |              6.0 |  83.63300323486328 |    0.03283020108938217 |        55356.0 |   2.0 | 110.0 |
          12.0 |              6.0 |  83.51799774169922 |    0.02880600094795227 |        55356.0 |   2.0 | 113.0 |
          12.0 |              6.0 |  83.44400024414062 |    0.00403187982738018 |        55356.0 |   2.0 | 116.0 |
          12.0 |              6.0 |  83.40299987792969 |      0.576911985874176 |        55356.0 |   2.0 | 117.0 |
          12.0 |              6.0 |   83.1240005493164 |      0.138497993350029 |        55356.0 |   2.0 | 124.0 |
          12.0 |              6.0 |  81.10600280761719 |     0.6792600154876709 |        55356.0 |   2.0 | 147.0 |
          12.0 |              6.0 |  80.93000030517578 |    0.02305079996585846 |        55356.0 |   2.0 | 151.0 |
          12.0 |              6.0 |   80.7239990234375 |    0.09773999452590942 |        55356.0 |   2.0 | 155.0 |
          12.0 |              6.0 |  79.24299621582031 |   0.048163801431655884 |        55356.0 |   2.0 | 167.0 |
          12.0 |              6.0 |  79.07099914550781 |   0.005127899814397097 |        55356.0 |   2.0 | 171.0 |
          12.0 |              6.0 |  79.00399780273438 |    0.10363799333572388 |        55356.0 |   2.0 | 172.0 |
          12.0 |              6.0 |  78.58200073242188 |    0.05990460142493248 |        55356.0 |   2.0 | 176.0 |
          12.0 |              6.0 |  78.23799896240234 |  9.106200013775378e-05 |        55356.0 |   2.0 | 182.0 |
          12.0 |              6.0 |   77.6500015258789 |  0.0056968796998262405 |        55356.0 |   2.0 | 193.0 |
          12.0 |              6.0 |  77.51000213623047 |    0.01640459895133972 |        55356.0 |   2.0 | 196.0 |
          12.0 |              6.0 |  77.40499877929688 |     0.3285360038280487 |        55356.0 |   2.0 | 197.0 |
          12.0 |              6.0 |  77.38200378417969 |    0.07248599827289581 |        55356.0 |   2.0 | 199.0 |
          12.0 |              6.0 |  77.33999633789062 | 1.1621399607975036e-05 |        55356.0 |   2.0 | 201.0 |
          12.0 |              6.0 |  76.86199951171875 |   0.011381399817764759 |        55356.0 |   2.0 | 209.0 |
          12.0 |              6.0 |  76.81600189208984 |    0.00868619978427887 |        55356.0 |   2.0 | 210.0 |
          12.0 |              6.0 |  76.14199829101562 |  0.0009584400104358792 |        55356.0 |   2.0 | 213.0 |
          12.0 |              6.0 |   75.7239990234375 |  0.0004822139744646847 |        55356.0 |   2.0 | 223.0 |
          12.0 |              6.0 |   75.4540023803711 |   0.021445199847221375 |        55356.0 |   2.0 | 225.0 |
          12.0 |              6.0 |  75.33399963378906 |   0.009307799860835075 |        55356.0 |   2.0 | 229.0 |
          12.0 |              6.0 |  75.24800109863281 |   0.011150999926030636 |        55356.0 |   2.0 | 231.0 |
          12.0 |              6.0 |  75.24400329589844 |   0.035102397203445435 |        55356.0 |   2.0 | 233.0 |
