 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          12.0 |             11.0 |            9.3143 | 2.585e-09 |        0.0 |   1.0 |   2.0 |
          12.0 |             11.0 |         1043.3186 |    0.0209 |        0.0 |   2.0 |   3.0 |
          12.0 |             11.0 |            9.2312 |   0.00114 |        0.0 |   1.0 |   4.0 |
          12.0 |             11.0 |         1034.3293 |    0.0632 |        0.0 |   2.0 |   4.0 |
          12.0 |             11.0 |            9.2282 |       0.0 |        0.0 |   1.0 |   5.0 |
          12.0 |             11.0 |          997.4664 |     0.109 |        0.0 |   2.0 |   5.0 |
          12.0 |             11.0 |         16820.857 |  6.13e-06 |        0.0 |   4.0 |   6.0 |
          12.0 |             11.0 |            9.1687 |      0.75 |        0.0 |   1.0 |   7.0 |
          12.0 |             11.0 |           53.7872 |    0.0168 |        0.0 |   3.0 |   8.0 |
          12.0 |             11.0 |           53.8113 |    0.0504 |        0.0 |   4.0 |   8.0 |
          12.0 |             11.0 |           53.9149 |    0.0839 |        0.0 |   5.0 |   8.0 |
          12.0 |             11.0 |           56.0365 |  7.34e-05 |        0.0 |   7.0 |   8.0 |
          12.0 |             11.0 |           50.4713 |     0.123 |        0.0 |   2.0 |   9.0 |
          12.0 |             11.0 |           53.1613 |      1.83 |        0.0 |   5.0 |   9.0 |
          12.0 |             11.0 |             7.863 |  0.000247 |        0.0 |   1.0 |  10.0 |
          12.0 |             11.0 |           50.4646 |     0.369 |        0.0 |   2.0 |  10.0 |
          12.0 |             11.0 |           53.2209 |   0.00062 |        0.0 |   6.0 |  10.0 |
          12.0 |             11.0 |           50.4377 |     0.617 |        0.0 |   2.0 |  11.0 |
          12.0 |             11.0 |           53.0369 |  8.65e-05 |        0.0 |   4.0 |  12.0 |
          12.0 |             11.0 |           55.1972 |    0.0547 |        0.0 |   7.0 |  12.0 |
          12.0 |             11.0 |           50.0741 |      12.7 |        0.0 |   2.0 |  13.0 |
          12.0 |             11.0 |           52.5986 |     0.674 |        0.0 |   3.0 |  13.0 |
          12.0 |             11.0 |           52.6216 |     0.505 |        0.0 |   4.0 |  13.0 |
          12.0 |             11.0 |           52.7207 |    0.0336 |        0.0 |   5.0 |  13.0 |
          12.0 |             11.0 |           54.7476 |  0.000743 |        0.0 |   7.0 |  13.0 |
          12.0 |             11.0 |            7.8535 |     0.729 |        0.0 |   1.0 |  14.0 |
          12.0 |             11.0 |           50.0731 |      19.6 |        0.0 |   2.0 |  14.0 |
          12.0 |             11.0 |           52.6205 |      1.44 |        0.0 |   4.0 |  14.0 |
          12.0 |             11.0 |           52.7196 |     0.467 |        0.0 |   5.0 |  14.0 |
          12.0 |             11.0 |           54.7464 |     0.121 |        0.0 |   7.0 |  14.0 |
          12.0 |             11.0 |           50.0636 |      29.7 |        0.0 |   2.0 |  15.0 |
          12.0 |             11.0 |           52.7091 |      2.83 |        0.0 |   5.0 |  15.0 |
          12.0 |             11.0 |            7.8528 |      9.17 |        0.0 |   1.0 |  16.0 |
          12.0 |             11.0 |           52.5908 |    0.0775 |        0.0 |   4.0 |  16.0 |
          12.0 |             11.0 |           52.6898 |    0.0372 |        0.0 |   5.0 |  16.0 |
          12.0 |             11.0 |           54.7142 |      1.98 |        0.0 |   7.0 |  16.0 |
          12.0 |             11.0 |            7.8505 |     0.156 |        0.0 |   1.0 |  17.0 |
          12.0 |             11.0 |           52.6527 |     0.397 |        0.0 |   6.0 |  17.0 |
          12.0 |             11.0 |           39.5257 |   0.00332 |        0.0 |   3.0 |  18.0 |
          12.0 |             11.0 |           39.5387 |   0.00993 |        0.0 |   4.0 |  18.0 |
          12.0 |             11.0 |           39.5946 |    0.0165 |        0.0 |   5.0 |  18.0 |
          12.0 |             11.0 |            40.727 |  1.47e-05 |        0.0 |   7.0 |  18.0 |
          12.0 |             11.0 |          155.1528 |    0.0404 |        0.0 |   9.0 |  18.0 |
          12.0 |             11.0 |          155.2164 |     0.121 |        0.0 |  10.0 |  18.0 |
          12.0 |             11.0 |          155.4714 |     0.201 |        0.0 |  11.0 |  18.0 |
          12.0 |             11.0 |          160.2603 |  0.000183 |        0.0 |  17.0 |  18.0 |
          12.0 |             11.0 |           37.9265 |      0.03 |        0.0 |   2.0 |  19.0 |
          12.0 |             11.0 |          146.7024 |     0.135 |        0.0 |   8.0 |  19.0 |
          12.0 |             11.0 |          156.3382 |     0.022 |        0.0 |  13.0 |  19.0 |
          12.0 |             11.0 |            7.4778 |   9.9e-05 |        0.0 |   1.0 |  20.0 |
          12.0 |             11.0 |           37.9249 |    0.0897 |        0.0 |   2.0 |  20.0 |
          12.0 |             11.0 |           39.4607 |  0.000167 |        0.0 |   6.0 |  20.0 |
          12.0 |             11.0 |          146.6783 |     0.405 |        0.0 |   8.0 |  20.0 |
          12.0 |             11.0 |           152.758 |  0.000712 |        0.0 |  12.0 |  20.0 |
          12.0 |             11.0 |          156.3108 |    0.0165 |        0.0 |  13.0 |  20.0 |
          12.0 |             11.0 |          156.3206 |    0.0468 |        0.0 |  14.0 |  20.0 |
          12.0 |             11.0 |          156.5837 |   0.00264 |        0.0 |  16.0 |  20.0 |
          12.0 |             11.0 |           39.3677 |  2.05e-05 |        0.0 |   4.0 |  21.0 |
          12.0 |             11.0 |           40.5456 |    0.0131 |        0.0 |   7.0 |  21.0 |
          12.0 |             11.0 |           152.614 |  0.000197 |        0.0 |  10.0 |  21.0 |
          12.0 |             11.0 |          157.4875 |     0.121 |        0.0 |  17.0 |  21.0 |
          12.0 |             11.0 |           37.9185 |      0.15 |        0.0 |   2.0 |  22.0 |
          12.0 |             11.0 |          146.5829 |     0.677 |        0.0 |   8.0 |  22.0 |
          12.0 |             11.0 |          156.2024 |    0.0011 |        0.0 |  13.0 |  22.0 |
          12.0 |             11.0 |          156.2122 |    0.0153 |        0.0 |  14.0 |  22.0 |
          12.0 |             11.0 |           156.305 |    0.0923 |        0.0 |  15.0 |  22.0 |
          12.0 |             11.0 |          156.4749 |   0.00121 |        0.0 |  16.0 |  22.0 |
          12.0 |             11.0 |           39.2558 |     0.122 |        0.0 |   3.0 |  23.0 |
          12.0 |             11.0 |           39.2686 |    0.0913 |        0.0 |   4.0 |  23.0 |
          12.0 |             11.0 |           39.3238 |   0.00609 |        0.0 |   5.0 |  23.0 |
          12.0 |             11.0 |           40.4405 |  0.000136 |        0.0 |   7.0 |  23.0 |
          12.0 |             11.0 |          151.0757 |     0.584 |        0.0 |   9.0 |  23.0 |
          12.0 |             11.0 |          151.1359 |     0.437 |        0.0 |  10.0 |  23.0 |
          12.0 |             11.0 |          151.3778 |    0.0291 |        0.0 |  11.0 |  23.0 |
          12.0 |             11.0 |          155.9141 |  0.000667 |        0.0 |  17.0 |  23.0 |
          12.0 |             11.0 |            7.4742 |     0.246 |        0.0 |   1.0 |  24.0 |
          12.0 |             11.0 |           39.2684 |     0.266 |        0.0 |   4.0 |  24.0 |
          12.0 |             11.0 |           39.3236 |    0.0868 |        0.0 |   5.0 |  24.0 |
          12.0 |             11.0 |           40.4403 |    0.0133 |        0.0 |   7.0 |  24.0 |
          12.0 |             11.0 |          151.1325 |      1.27 |        0.0 |  10.0 |  24.0 |
          12.0 |             11.0 |          151.3743 |     0.415 |        0.0 |  11.0 |  24.0 |
          12.0 |             11.0 |          155.9104 |    0.0697 |        0.0 |  17.0 |  24.0 |
          12.0 |             11.0 |           39.3211 |     0.512 |        0.0 |   5.0 |  25.0 |
          12.0 |             11.0 |          151.3372 |      2.45 |        0.0 |  11.0 |  25.0 |
          12.0 |             11.0 |            39.248 |      5.96 |        0.0 |   3.0 |  26.0 |
          12.0 |             11.0 |           39.2608 |      5.95 |        0.0 |   4.0 |  26.0 |
          12.0 |             11.0 |          154.6288 |      3.05 |        0.0 |  13.0 |  26.0 |
          12.0 |             11.0 |          154.6384 |     0.523 |        0.0 |  14.0 |  26.0 |
          12.0 |             11.0 |          154.7293 |    0.0161 |        0.0 |  15.0 |  26.0 |
          12.0 |             11.0 |          154.8959 |    0.0415 |        0.0 |  16.0 |  26.0 |
          12.0 |             11.0 |           39.2622 |      7.65 |        0.0 |   4.0 |  27.0 |
          12.0 |             11.0 |           39.3173 |      3.51 |        0.0 |   5.0 |  27.0 |
          12.0 |             11.0 |           40.4337 |       7.1 |        0.0 |   7.0 |  27.0 |
          12.0 |             11.0 |          154.6597 |      3.86 |        0.0 |  14.0 |  27.0 |
          12.0 |             11.0 |          154.7506 |     0.333 |        0.0 |  15.0 |  27.0 |
          12.0 |             11.0 |          154.9172 |     0.891 |        0.0 |  16.0 |  27.0 |
          12.0 |             11.0 |            7.4739 |      4.66 |        0.0 |   1.0 |  28.0 |
          12.0 |             11.0 |           39.2618 |   0.00882 |        0.0 |   4.0 |  28.0 |
          12.0 |             11.0 |           39.3169 |   0.00459 |        0.0 |   5.0 |  28.0 |
          12.0 |             11.0 |           40.4333 |     0.351 |        0.0 |   7.0 |  28.0 |
          12.0 |             11.0 |          151.0344 |     0.041 |        0.0 |  10.0 |  28.0 |
