 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          12.0 |             12.0 |            8.4244 |      0.0 |        0.0 |  1.0 |  2.0 |
          12.0 |             12.0 |            8.4246 |   0.2772 |        0.0 |  1.0 |  3.0 |
          12.0 |             12.0 |            8.4192 |   0.5552 |        0.0 |  1.0 |  4.0 |
          12.0 |             12.0 |           45.4355 |  0.02718 | 11869988.0 |  3.0 |  5.0 |
          12.0 |             12.0 |           45.5935 |  0.05436 | 11877615.0 |  4.0 |  5.0 |
          12.0 |             12.0 |            7.1069 |  0.05268 |        0.0 |  1.0 |  6.0 |
          12.0 |             12.0 |           45.4438 |   0.2896 | 11870297.0 |  2.0 |  6.0 |
          12.0 |             12.0 |            7.1058 |   0.1055 |        0.0 |  1.0 |  7.0 |
          12.0 |             12.0 |           45.3972 |   0.5802 | 11870297.0 |  2.0 |  7.0 |
          12.0 |             12.0 |           45.3909 |    1.392 | 11869988.0 |  3.0 |  8.0 |
          12.0 |             12.0 |           45.5486 |   0.2783 | 11877615.0 |  4.0 |  8.0 |
          12.0 |             12.0 |            45.533 |    2.505 | 11877615.0 |  4.0 |  9.0 |
          12.0 |             12.0 |           33.6604 |  0.00609 | 11869988.0 |  3.0 | 10.0 |
          12.0 |             12.0 |           33.7471 |  0.01218 | 11877615.0 |  4.0 | 10.0 |
          12.0 |             12.0 |           129.867 |   0.0645 | 14070818.0 |  6.0 | 10.0 |
          12.0 |             12.0 |           130.249 |    0.129 | 14073078.0 |  7.0 | 10.0 |
          12.0 |             12.0 |            6.7382 |  0.01931 |        0.0 |  1.0 | 11.0 |
          12.0 |             12.0 |           33.6644 |  0.06846 | 11870297.0 |  2.0 | 11.0 |
          12.0 |             12.0 |           129.889 |   0.3228 | 14070911.0 |  5.0 | 11.0 |
          12.0 |             12.0 |           130.255 |  0.03663 | 14073074.0 |  8.0 | 11.0 |
          12.0 |             12.0 |            6.7377 |  0.03867 |        0.0 |  1.0 | 12.0 |
          12.0 |             12.0 |           33.6536 |   0.1371 | 11870297.0 |  2.0 | 12.0 |
          12.0 |             12.0 |           129.729 |   0.6466 | 14070911.0 |  5.0 | 12.0 |
          12.0 |             12.0 |           130.094 | 0.007328 | 14073074.0 |  8.0 | 12.0 |
          12.0 |             12.0 |           130.221 |  0.06594 | 14073825.0 |  9.0 | 12.0 |
          12.0 |             12.0 |           33.6501 |   0.2436 | 11869988.0 |  3.0 | 13.0 |
          12.0 |             12.0 |           33.7367 |  0.04872 | 11877615.0 |  4.0 | 13.0 |
          12.0 |             12.0 |           129.713 |    1.237 | 14070818.0 |  6.0 | 13.0 |
          12.0 |             12.0 |           130.095 |   0.2473 | 14073078.0 |  7.0 | 13.0 |
          12.0 |             12.0 |           33.7331 |   0.4385 | 11877615.0 |  4.0 | 14.0 |
          12.0 |             12.0 |           130.041 |    2.226 | 14073078.0 |  7.0 | 14.0 |
          12.0 |             12.0 |           130.168 |   0.2909 | 14073825.0 |  9.0 | 15.0 |
          12.0 |             12.0 |           130.141 |    5.817 | 14073825.0 |  9.0 | 16.0 |
          12.0 |             12.0 |           30.0563 | 0.002426 | 11869988.0 |  3.0 | 17.0 |
          12.0 |             12.0 |           30.1254 | 0.004852 | 11877615.0 |  4.0 | 17.0 |
          12.0 |             12.0 |             88.79 |  0.01486 | 14070818.0 |  6.0 | 17.0 |
          12.0 |             12.0 |            88.968 |  0.02971 | 14073078.0 |  7.0 | 17.0 |
          12.0 |             12.0 |            280.68 |   0.1058 | 14840798.0 | 11.0 | 17.0 |
          12.0 |             12.0 |           281.432 |   0.2116 | 14841751.0 | 12.0 | 17.0 |
          12.0 |             12.0 |            6.5802 | 0.009284 |        0.0 |  1.0 | 18.0 |
