 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |   E_i(cm^-1) |     i |     j |
          25.0 |              7.0 |  279.5820007324219 |  1.321279978583334e-05 |          0.0 |   1.0 |   4.0 |
          25.0 |              7.0 |  278.9419860839844 | 0.00015240399807225913 |          0.0 |   1.0 |   5.0 |
          25.0 |              7.0 | 277.86199951171875 |   6.57640021017869e-06 |          0.0 |   1.0 |   6.0 |
          25.0 |              7.0 |  263.5060119628906 |  4.742400051327422e-05 |          0.0 |   1.0 |  11.0 |
          25.0 |              7.0 |  259.4110107421875 | 0.00010471200221218169 |          0.0 |   1.0 |  12.0 |
          25.0 |              7.0 |  258.1650085449219 |   0.007244400214403868 |          0.0 |   1.0 |  13.0 |
          25.0 |              7.0 |  257.6820068359375 |  7.345199719566153e-07 |          0.0 |   1.0 |  14.0 |
          25.0 |              7.0 |   257.385986328125 |  0.0028707999736070633 |          0.0 |   1.0 |  16.0 |
          25.0 |              7.0 |  256.4100036621094 | 0.00035974799538962543 |          0.0 |   1.0 |  18.0 |
          25.0 |              7.0 |  254.6320037841797 |   0.006011600140482187 |          0.0 |   1.0 |  19.0 |
          25.0 |              7.0 |  253.6540069580078 |   0.021281199529767036 |          0.0 |   1.0 |  20.0 |
          25.0 |              7.0 | 253.64100646972656 |   0.010185999795794487 |          0.0 |   1.0 |  21.0 |
          25.0 |              7.0 | 252.75999450683594 |    0.28314000368118286 |          0.0 |   1.0 |  22.0 |
          25.0 |              7.0 |  250.1280059814453 |    0.04245999827980995 |          0.0 |   1.0 |  24.0 |
          25.0 |              7.0 | 247.47300720214844 |    0.03372880071401596 |          0.0 |   1.0 |  25.0 |
          25.0 |              7.0 |  244.9340057373047 |   0.011587600223720074 |          0.0 |   1.0 |  27.0 |
          25.0 |              7.0 | 238.61700439453125 |    0.09572000056505203 |          0.0 |   1.0 |  32.0 |
          25.0 |              7.0 |    236.22900390625 | 5.7279999055026565e-06 |          0.0 |   1.0 |  34.0 |
          25.0 |              7.0 | 235.13699340820312 |  0.0009484000038355589 |          0.0 |   1.0 |  35.0 |
          25.0 |              7.0 | 234.11399841308594 |  0.0014190400252118707 |          0.0 |   1.0 |  36.0 |
          25.0 |              7.0 | 227.56700134277344 | 0.00010447199747432023 |          0.0 |   1.0 |  37.0 |
          25.0 |              7.0 | 225.90699768066406 |   0.003176880069077015 |          0.0 |   1.0 |  38.0 |
          25.0 |              7.0 | 223.97000122070312 |  0.0003311320033390075 |          0.0 |   1.0 |  40.0 |
          25.0 |              7.0 | 223.95399475097656 |  0.0006561600021086633 |          0.0 |   1.0 |  41.0 |
          25.0 |              7.0 |  213.6580047607422 | 0.00019815200357697904 |          0.0 |   1.0 |  43.0 |
          25.0 |              7.0 | 209.81500244140625 |   0.012852800078690052 |          0.0 |   1.0 |  44.0 |
          25.0 |              7.0 | 204.11700439453125 |     3.7067999839782715 |          0.0 |   1.0 |  45.0 |
          25.0 |              7.0 | 184.53799438476562 |      2.529279947280884 |          0.0 |   1.0 |  49.0 |
          25.0 |              7.0 | 183.70799255371094 |    0.46452000737190247 |          0.0 |   1.0 |  50.0 |
          25.0 |              7.0 |  182.6929931640625 |     0.5662400126457214 |          0.0 |   1.0 |  51.0 |
          25.0 |              7.0 | 182.49899291992188 |      5.807600021362305 |          0.0 |   1.0 |  52.0 |
          25.0 |              7.0 | 162.33599853515625 |      2.930880069732666 |          0.0 |   1.0 |  54.0 |
          25.0 |              7.0 |   155.406005859375 |   0.005164000205695629 |          0.0 |   1.0 |  56.0 |
          25.0 |              7.0 | 155.12899780273438 |  0.0009840000420808792 |          0.0 |   1.0 |  57.0 |
          25.0 |              7.0 | 144.48899841308594 |  0.0014554399531334639 |          0.0 |   1.0 |  58.0 |
          25.0 |              7.0 | 144.07200622558594 |  0.0015848800539970398 |          0.0 |   1.0 |  59.0 |
          25.0 |              7.0 | 143.28900146484375 | 0.00021577600273303688 |          0.0 |   1.0 |  60.0 |
          25.0 |              7.0 | 142.61500549316406 |    0.14454400539398193 |          0.0 |   1.0 |  63.0 |
          25.0 |              7.0 | 141.75900268554688 |    0.03741120174527168 |          0.0 |   1.0 |  64.0 |
          25.0 |              7.0 |   140.322998046875 |   0.032284799963235855 |          0.0 |   1.0 |  67.0 |
          25.0 |              7.0 | 139.86199951171875 |   0.005152400117367506 |          0.0 |   1.0 |  68.0 |
          25.0 |              7.0 |  138.4409942626953 |     0.5407599806785583 |          0.0 |   1.0 |  70.0 |
          25.0 |              7.0 |  135.6529998779297 |  0.0070143998600542545 |          0.0 |   1.0 |  72.0 |
          25.0 |              7.0 | 135.53199768066406 |   0.012764399871230125 |          0.0 |   1.0 |  73.0 |
          25.0 |              7.0 |  135.3939971923828 |  0.0005754400044679642 |          0.0 |   1.0 |  74.0 |
          25.0 |              7.0 | 135.36099243164062 |     0.8298400044441223 |          0.0 |   1.0 |  75.0 |
          25.0 |              7.0 |  135.1479949951172 |    0.04130399972200394 |          0.0 |   1.0 |  77.0 |
          25.0 |              7.0 |  134.9720001220703 |    0.07464399933815002 |          0.0 |   1.0 |  79.0 |
          25.0 |              7.0 | 134.38600158691406 |  0.0016180799575522542 |          0.0 |   1.0 |  80.0 |
          25.0 |              7.0 | 133.63600158691406 |    0.25822800397872925 |          0.0 |   1.0 |  84.0 |
          25.0 |              7.0 | 133.41700744628906 |   0.047972001135349274 |          0.0 |   1.0 |  85.0 |
          25.0 |              7.0 | 132.30099487304688 |   0.009268400259315968 |          0.0 |   1.0 |  86.0 |
          25.0 |              7.0 | 132.20199584960938 |  0.0022387199569493532 |          0.0 |   1.0 |  87.0 |
          25.0 |              7.0 | 123.79000091552734 |     0.1698240041732788 |          0.0 |   1.0 | 120.0 |
          25.0 |              7.0 | 122.41899871826172 |   0.005874800030142069 |          0.0 |   1.0 | 130.0 |
          25.0 |              7.0 | 122.37100219726562 |  0.0013396800495684147 |          0.0 |   1.0 | 131.0 |
          25.0 |              7.0 | 117.79299926757812 |   0.018281200900673866 |          0.0 |   1.0 | 160.0 |
          25.0 |              7.0 | 117.56300354003906 |    0.03162280097603798 |          0.0 |   1.0 | 165.0 |
          25.0 |              7.0 | 117.55799865722656 |   0.008375200442969799 |          0.0 |   1.0 | 166.0 |
          25.0 |              7.0 | 116.73699951171875 |   0.007244400214403868 |          0.0 |   1.0 | 172.0 |
          25.0 |              7.0 | 116.71600341796875 |  0.0019860800821334124 |          0.0 |   1.0 | 173.0 |
          25.0 |              7.0 | 114.20500183105469 |  0.0009225599933415651 |          0.0 |   1.0 | 178.0 |
          25.0 |              7.0 |  113.7770004272461 | 0.00017458399815950543 |          0.0 |   1.0 | 187.0 |
          25.0 |              7.0 | 113.75800323486328 | 2.2961599825066514e-05 |          0.0 |   1.0 | 188.0 |
          25.0 |              7.0 |            112.125 |     0.1049560010433197 |          0.0 |   1.0 | 191.0 |
          25.0 |              7.0 | 111.66600036621094 | 0.00021877599647268653 |          0.0 |   1.0 | 202.0 |
          25.0 |              7.0 | 111.65399932861328 | 2.5118799385381863e-05 |          0.0 |   1.0 | 203.0 |
          25.0 |              7.0 | 111.58000183105469 | 0.00042267999378964305 |          0.0 |   1.0 | 204.0 |
          25.0 |              7.0 | 111.43399810791016 |  0.0003647519915830344 |          0.0 |   1.0 | 205.0 |
          25.0 |              7.0 | 110.98300170898438 |  0.0009885600302368402 |          0.0 |   1.0 | 207.0 |
          25.0 |              7.0 | 110.83799743652344 |   0.006998400203883648 |          0.0 |   1.0 | 209.0 |
          25.0 |              7.0 |  110.8270034790039 |   0.012502400204539299 |          0.0 |   1.0 | 210.0 |
          25.0 |              7.0 |  110.6780014038086 | 2.9040400477242656e-05 |          0.0 |   1.0 | 213.0 |
          25.0 |              7.0 | 110.61799621582031 |   0.015031600371003151 |          0.0 |   1.0 | 214.0 |
          25.0 |              7.0 | 110.51799774169922 |    0.07227600365877151 |          0.0 |   1.0 | 216.0 |
          25.0 |              7.0 | 110.34400177001953 |  5.457600127556361e-05 |          0.0 |   1.0 | 221.0 |
          25.0 |              7.0 |  110.2490005493164 |   0.004226800054311752 |          0.0 |   1.0 | 223.0 |
          25.0 |              7.0 | 110.18499755859375 |  0.0009908400243148208 |          0.0 |   1.0 | 224.0 |
