 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          25.0 |              8.0 |           266.163 | 0.0003317 |        0.0 |  1.0 |  3.0 |
          25.0 |              8.0 |           263.163 |       0.0 |        0.0 |  1.0 |  4.0 |
          25.0 |              8.0 |          23348.12 |       0.0 |   375710.0 |  3.0 |  4.0 |
          25.0 |              8.0 |          8443.806 |       0.0 |   379993.0 |  4.0 |  5.0 |
          25.0 |              8.0 |           253.215 |       0.0 |        0.0 |  1.0 |  6.0 |
          25.0 |              8.0 |          5205.351 |       0.0 |   375710.0 |  3.0 |  6.0 |
          25.0 |              8.0 |          6698.821 |       0.0 |   379993.0 |  4.0 |  6.0 |
          25.0 |              8.0 |          32414.91 |       0.0 |   391836.0 |  5.0 |  6.0 |
          25.0 |              8.0 |           250.901 |       0.0 |        0.0 |  1.0 |  7.0 |
          25.0 |              8.0 |          4015.097 |       0.0 |   373658.0 |  2.0 |  7.0 |
          25.0 |              8.0 |          4375.602 |       0.0 |   375710.0 |  3.0 |  7.0 |
          25.0 |              8.0 |           5384.74 |       0.0 |   379993.0 |  4.0 |  7.0 |
          25.0 |              8.0 |         27449.904 |       0.0 |   394921.0 |  6.0 |  7.0 |
          25.0 |              8.0 |           238.451 |       0.0 |        0.0 |  1.0 |  8.0 |
          25.0 |              8.0 |          2290.216 |       0.0 |   375710.0 |  3.0 |  8.0 |
          25.0 |              8.0 |          2539.296 |       0.0 |   379993.0 |  4.0 |  8.0 |
          25.0 |              8.0 |          3631.346 |       0.0 |   391836.0 |  5.0 |  8.0 |
          25.0 |              8.0 |          4089.478 |       0.0 |   394921.0 |  6.0 |  8.0 |
          25.0 |              8.0 |          4805.382 |       0.0 |   398564.0 |  7.0 |  8.0 |
          25.0 |              8.0 |           235.493 |       0.0 |        0.0 |  1.0 |  9.0 |
          25.0 |              8.0 |          1961.438 |       0.0 |   373658.0 |  2.0 |  9.0 |
          25.0 |              8.0 |          2043.694 |       0.0 |   375710.0 |  3.0 |  9.0 |
          25.0 |              8.0 |          2239.742 |       0.0 |   379993.0 |  4.0 |  9.0 |
          25.0 |              8.0 |          3048.316 |       0.0 |   391836.0 |  5.0 |  9.0 |
          25.0 |              8.0 |          3364.738 |       0.0 |   394921.0 |  6.0 |  9.0 |
          25.0 |              8.0 |          3834.797 |       0.0 |   398564.0 |  7.0 |  9.0 |
          25.0 |              8.0 |          18986.14 |       0.0 |   419374.0 |  8.0 |  9.0 |
          25.0 |              8.0 |           236.218 |  0.004452 |        0.0 |  1.0 | 10.0 |
          25.0 |              8.0 |          2099.649 |       0.0 |   375710.0 |  3.0 | 10.0 |
          25.0 |              8.0 |           238.199 |       0.0 |        0.0 |  1.0 | 11.0 |
          25.0 |              8.0 |          2166.425 |       0.0 |   373658.0 |  2.0 | 11.0 |
          25.0 |              8.0 |          2267.214 |       0.0 |   375710.0 |  3.0 | 11.0 |
          25.0 |              8.0 |          2511.049 |       0.0 |   379993.0 |  4.0 | 11.0 |
          25.0 |              8.0 |          3573.854 |       0.0 |   391836.0 |  5.0 | 11.0 |
          25.0 |              8.0 |           4016.71 |       0.0 |   394921.0 |  6.0 | 11.0 |
          25.0 |              8.0 |          4705.218 |       0.0 |   398564.0 |  7.0 | 11.0 |
          25.0 |              8.0 |         225733.62 |       0.0 |   419374.0 |  8.0 | 11.0 |
          25.0 |              8.0 |           233.901 |       0.0 |        0.0 |  1.0 | 12.0 |
          25.0 |              8.0 |           1929.72 |       0.0 |   375710.0 |  3.0 | 12.0 |
          25.0 |              8.0 |           2103.58 |       0.0 |   379993.0 |  4.0 | 12.0 |
          25.0 |              8.0 |          2801.513 |       0.0 |   391836.0 |  5.0 | 12.0 |
          25.0 |              8.0 |          3066.544 |       0.0 |   394921.0 |  6.0 | 12.0 |
          25.0 |              8.0 |          3452.204 |       0.0 |   398564.0 |  7.0 | 12.0 |
          25.0 |              8.0 |         12259.409 |       0.0 |   419374.0 |  8.0 | 12.0 |
          25.0 |              8.0 |         34602.074 |       0.0 |   424641.0 |  9.0 | 12.0 |
          25.0 |              8.0 |         12963.443 |       0.0 |   419817.0 | 11.0 | 12.0 |
          25.0 |              8.0 |           185.455 |     3.266 |        0.0 |  1.0 | 13.0 |
%CHIANTI
