 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          25.0 |             16.0 |           18.9863 |       0.0 |        0.0 |   1.0 |   2.0 |
          25.0 |             16.0 |           18.9351 |    0.1216 |        0.0 |   1.0 |   3.0 |
          25.0 |             16.0 |          1182.648 |       0.0 |  5266964.0 |   2.0 |   4.0 |
          25.0 |             16.0 |          1422.081 |       0.0 |  5281200.5 |   3.0 |   4.0 |
          25.0 |             16.0 |           18.6539 |    0.1068 |        0.0 |   1.0 |   5.0 |
          25.0 |             16.0 |           697.088 |  0.002974 |  5351520.0 |   4.0 |   6.0 |
          25.0 |             16.0 |           18.1984 |       0.0 |        0.0 |   1.0 |   6.0 |
          25.0 |             16.0 |           745.298 |  0.003755 |  5360799.5 |   5.0 |   6.0 |
          25.0 |             16.0 |           467.785 |   0.01525 |  5281200.5 |   3.0 |   6.0 |
          25.0 |             16.0 |           438.577 |     0.254 |  5266964.0 |   2.0 |   6.0 |
          25.0 |             16.0 |           18.1058 |       0.0 |        0.0 |   1.0 |   7.0 |
          25.0 |             16.0 |           616.137 |   7.3e-05 |  5360799.5 |   5.0 |   7.0 |
          25.0 |             16.0 |           413.393 |    0.2995 |  5281200.5 |   3.0 |   7.0 |
          25.0 |             16.0 |           390.416 |    0.2616 |  5266964.0 |   2.0 |   7.0 |
          25.0 |             16.0 |           376.204 |     0.836 |  5266964.0 |   2.0 |   8.0 |
          25.0 |             16.0 |           524.554 |  0.001206 |  5351520.0 |   4.0 |   9.0 |
          25.0 |             16.0 |           551.394 | 3.358e-05 |  5360799.5 |   5.0 |   9.0 |
          25.0 |             16.0 |           383.204 |    0.3261 |  5281200.5 |   3.0 |   9.0 |
          25.0 |             16.0 |            363.38 |   0.02483 |  5266964.0 |   2.0 |   9.0 |
          25.0 |             16.0 |           18.0016 |       0.0 |        0.0 |   1.0 |  10.0 |
          25.0 |             16.0 |           514.799 |  0.006411 |  5360799.5 |   5.0 |  10.0 |
          25.0 |             16.0 |           365.164 |    0.2793 |  5281200.5 |   3.0 |  10.0 |
          25.0 |             16.0 |           347.119 |    0.3604 |  5266964.0 |   2.0 |  10.0 |
          25.0 |             16.0 |           425.242 |   0.03354 |  5360799.5 |   5.0 |  11.0 |
          25.0 |             16.0 |           317.231 |    0.1005 |  5281200.5 |   3.0 |  11.0 |
          25.0 |             16.0 |            363.92 |    0.1408 |  5351520.0 |   4.0 |  12.0 |
          25.0 |             16.0 |           376.639 |    0.1889 |  5360799.5 |   5.0 |  12.0 |
          25.0 |             16.0 |           289.767 |  0.001798 |  5281200.5 |   3.0 |  12.0 |
          25.0 |             16.0 |           278.287 | 0.0002357 |  5266964.0 |   2.0 |  12.0 |
          25.0 |             16.0 |           396.403 |    0.2073 |  5351520.0 |   4.0 |  13.0 |
          25.0 |             16.0 |           17.8451 |       0.0 |        0.0 |   1.0 |  13.0 |
          25.0 |             16.0 |           411.541 |    0.1363 |  5360799.5 |   5.0 |  13.0 |
          25.0 |             16.0 |           309.993 | 0.0001068 |  5281200.5 |   3.0 |  13.0 |
          25.0 |             16.0 |           296.891 |   0.02923 |  5266964.0 |   2.0 |  13.0 |
          25.0 |             16.0 |           17.7667 |       0.0 |        0.0 |   1.0 |  14.0 |
          25.0 |             16.0 |           373.524 |    0.5984 |  5360799.5 |   5.0 |  14.0 |
          25.0 |             16.0 |           287.919 |  0.005729 |  5281200.5 |   3.0 |  14.0 |
          25.0 |             16.0 |           276.582 |  0.006807 |  5266964.0 |   2.0 |  14.0 |
          25.0 |             16.0 |           259.084 |    0.1345 |  5360799.5 |   5.0 |  15.0 |
          25.0 |             16.0 |           214.572 |   0.08239 |  5281200.5 |   3.0 |  15.0 |
          25.0 |             16.0 |           460.611 | 8.448e-05 |  5626305.5 |  12.0 |  16.0 |
          25.0 |             16.0 |            331.95 |  0.006216 |  5542158.0 |   9.0 |  16.0 |
          25.0 |             16.0 |           286.998 |     0.126 |  5494974.0 |   6.0 |  16.0 |
          25.0 |             16.0 |           417.327 |  0.005516 |  5603788.5 |  13.0 |  16.0 |
          25.0 |             16.0 |           173.477 |       0.0 |  5266964.0 |   2.0 |  16.0 |
          25.0 |             16.0 |           451.002 |  0.003101 |  5628520.0 |  14.0 |  17.0 |
          25.0 |             16.0 |           281.472 |    0.3104 |  5494974.0 |   6.0 |  17.0 |
          25.0 |             16.0 |            324.58 |  0.003344 |  5542158.0 |   9.0 |  17.0 |
          25.0 |             16.0 |           305.673 |   0.02948 |  5523101.0 |   7.0 |  17.0 |
          25.0 |             16.0 |           338.755 |    0.0525 |  5555050.0 |  10.0 |  17.0 |
          25.0 |             16.0 |           17.0933 |  0.008512 |        0.0 |   1.0 |  17.0 |
          25.0 |             16.0 |           405.745 |  0.004863 |  5603788.5 |  13.0 |  17.0 |
          25.0 |             16.0 |           388.185 |   0.01191 |  5598737.0 |  11.0 |  17.0 |
