 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          25.0 |             21.0 |          1006.441 |       0.0 |        0.0 |   1.0 |   2.0 |
          25.0 |             21.0 |           263.394 |  0.001078 |        0.0 |   1.0 |   3.0 |
          25.0 |             21.0 |           356.761 |  0.000673 |    99360.0 |   2.0 |   3.0 |
          25.0 |             21.0 |           235.305 | 0.0001013 |        0.0 |   1.0 |   4.0 |
          25.0 |             21.0 |          2206.531 |       0.0 |   379660.0 |   3.0 |   4.0 |
          25.0 |             21.0 |           307.106 | 0.0007384 |    99360.0 |   2.0 |   4.0 |
          25.0 |             21.0 |          2188.663 |       0.0 |   424980.0 |   4.0 |   5.0 |
          25.0 |             21.0 |           269.317 |   0.00639 |    99360.0 |   2.0 |   5.0 |
          25.0 |             21.0 |           145.446 |    0.2536 |        0.0 |   1.0 |   6.0 |
          25.0 |             21.0 |           170.016 |  0.003436 |    99360.0 |   2.0 |   6.0 |
          25.0 |             21.0 |           165.336 |     0.295 |    99360.0 |   2.0 |   7.0 |
          25.0 |             21.0 |            124.08 |    0.1816 |        0.0 |   1.0 |   8.0 |
          25.0 |             21.0 |           141.529 |   0.01662 |    99360.0 |   2.0 |   8.0 |
          25.0 |             21.0 |           123.226 |    0.2846 |    99360.0 |   2.0 |   9.0 |
          25.0 |             21.0 |           108.142 |   0.09676 |        0.0 |   1.0 |  10.0 |
          25.0 |             21.0 |           121.161 |    0.7646 |    99360.0 |   2.0 |  10.0 |
          25.0 |             21.0 |           132.899 |    0.3164 |   424980.0 |   4.0 |  11.0 |
          25.0 |             21.0 |           204.127 |  0.003456 |   687540.0 |   6.0 |  11.0 |
          25.0 |             21.0 |           395.695 |  0.003684 |   924710.0 |  10.0 |  11.0 |
          25.0 |             21.0 |           269.179 |  0.006412 |   805930.0 |   8.0 |  11.0 |
          25.0 |             21.0 |           125.349 |    0.1807 |   379660.0 |   3.0 |  11.0 |
          25.0 |             21.0 |           375.164 | 0.0003412 |   910880.0 |   9.0 |  11.0 |
          25.0 |             21.0 |           141.491 |    0.4566 |   470670.0 |   5.0 |  11.0 |
          25.0 |             21.0 |           211.309 | 0.0001452 |   704190.0 |   7.0 |  11.0 |
          25.0 |             21.0 |           112.878 |   0.01902 |   424980.0 |   4.0 |  12.0 |
          25.0 |             21.0 |           160.424 |    0.2442 |   687540.0 |   6.0 |  12.0 |
          25.0 |             21.0 |           258.947 |  0.007746 |   924710.0 |  10.0 |  12.0 |
          25.0 |             21.0 |           198.035 |    0.3164 |   805930.0 |   8.0 |  12.0 |
          25.0 |             21.0 |           107.385 | 0.0001184 |   379660.0 |   3.0 |  12.0 |
