 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          25.0 |             23.0 |           266.913 |   0.03708 |        0.0 |   1.0 |   2.0 |
          25.0 |             23.0 |            206.93 |   0.09633 |        0.0 |   1.0 |   3.0 |
          25.0 |             23.0 |           12.4351 |   0.07237 |   483255.0 |   3.0 |   4.0 |
          25.0 |             23.0 |           12.2716 |   0.03249 |   374654.0 |   2.0 |   4.0 |
          25.0 |             23.0 |           12.2765 |       0.0 |   483255.0 |   3.0 |   5.0 |
          25.0 |             23.0 |           11.5905 |    0.2496 |        0.0 |   1.0 |   5.0 |
          25.0 |             23.0 |           962.631 |   0.06272 |  8523866.0 |   4.0 |   5.0 |
          25.0 |             23.0 |           12.2298 |       0.0 |   483255.0 |   3.0 |   6.0 |
          25.0 |             23.0 |           11.5488 |    0.4853 |        0.0 |   1.0 |   6.0 |
          25.0 |             23.0 |           12.0716 |       0.0 |   374654.0 |   2.0 |   6.0 |
          25.0 |             23.0 |           740.647 |    0.1639 |  8523866.0 |   4.0 |   6.0 |
          25.0 |             23.0 |           12.1683 |    0.2715 |   483255.0 |   3.0 |   7.0 |
          25.0 |             23.0 |            11.494 |       0.0 |        0.0 |   1.0 |   7.0 |
          25.0 |             23.0 |           12.0117 |     1.341 |   374654.0 |   2.0 |   7.0 |
          25.0 |             23.0 |           12.1534 |     2.437 |   483255.0 |   3.0 |   8.0 |
          25.0 |             23.0 |           11.4807 |       0.0 |        0.0 |   1.0 |   8.0 |
          25.0 |             23.0 |           36.4028 |       0.0 |  8710296.0 |   8.0 |   9.0 |
          25.0 |             23.0 |            9.1114 |   0.01458 |   483255.0 |   3.0 |   9.0 |
          25.0 |             23.0 |            9.0234 |  0.006034 |   374654.0 |   2.0 |   9.0 |
          25.0 |             23.0 |            35.734 |    0.1664 |  8658883.0 |   6.0 |   9.0 |
          25.0 |             23.0 |           36.2692 |       0.0 |  8700182.0 |   7.0 |   9.0 |
          25.0 |             23.0 |           35.3408 |   0.07607 |  8627748.0 |   5.0 |   9.0 |
          25.0 |             23.0 |            9.0761 |       0.0 |   483255.0 |   3.0 |  10.0 |
          25.0 |             23.0 |            8.6956 |   0.05895 |        0.0 |   1.0 |  10.0 |
          25.0 |             23.0 |           35.1962 |       0.0 |  8658883.0 |   6.0 |  10.0 |
          25.0 |             23.0 |           35.7154 |   0.04331 |  8700182.0 |   7.0 |  10.0 |
          25.0 |             23.0 |          2338.962 |   0.08688 | 11457341.0 |   9.0 |  10.0 |
          25.0 |             23.0 |           33.5996 |    0.2733 |  8523866.0 |   4.0 |  10.0 |
          25.0 |             23.0 |           35.6802 |   0.07534 |  8710296.0 |   8.0 |  11.0 |
          25.0 |             23.0 |            9.0655 |       0.0 |   483255.0 |   3.0 |  11.0 |
          25.0 |             23.0 |            8.6859 |    0.1178 |        0.0 |   1.0 |  11.0 |
          25.0 |             23.0 |            8.9783 |       0.0 |   374654.0 |   2.0 |  11.0 |
          25.0 |             23.0 |           35.0375 |       0.0 |  8658883.0 |   6.0 |  11.0 |
          25.0 |             23.0 |            35.552 |   0.00801 |  8700182.0 |   7.0 |  11.0 |
          25.0 |             23.0 |           1797.72 |    0.2268 | 11457341.0 |   9.0 |  11.0 |
          25.0 |             23.0 |           34.6594 |       0.0 |  8627748.0 |   5.0 |  11.0 |
          25.0 |             23.0 |           33.4549 |    0.5278 |  8523866.0 |   4.0 |  11.0 |
          25.0 |             23.0 |           35.4637 |       0.0 |  8710296.0 |   8.0 |  12.0 |
          25.0 |             23.0 |            9.0515 |   0.04807 |   483255.0 |   3.0 |  12.0 |
          25.0 |             23.0 |             8.673 |       0.0 |        0.0 |   1.0 |  12.0 |
          25.0 |             23.0 |            8.9645 |    0.2396 |   374654.0 |   2.0 |  12.0 |
          25.0 |             23.0 |           34.8287 |    0.2374 |  8658883.0 |   6.0 |  12.0 |
          25.0 |             23.0 |            35.337 |       0.0 |  8700182.0 |   7.0 |  12.0 |
          25.0 |             23.0 |           34.4551 |     1.151 |  8627748.0 |   5.0 |  12.0 |
          25.0 |             23.0 |           33.2645 |       0.0 |  8523866.0 |   4.0 |  12.0 |
          25.0 |             23.0 |           35.4105 |       0.0 |  8710296.0 |   8.0 |  13.0 |
          25.0 |             23.0 |             9.048 |    0.4356 |   483255.0 |   3.0 |  13.0 |
