 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          25.0 |             10.0 |          9977.849 |       0.0 |        0.0 |  1.0 |  2.0 |
          25.0 |             10.0 |          8478.456 |       0.0 |        0.0 |  1.0 |  3.0 |
          25.0 |             10.0 |          56420.67 |       0.0 |    10022.2 |  2.0 |  3.0 |
          25.0 |             10.0 |          2956.953 |       0.0 |        0.0 |  1.0 |  4.0 |
          25.0 |             10.0 |          4202.316 |       0.0 |    10022.2 |  2.0 |  4.0 |
          25.0 |             10.0 |          4540.501 |       0.0 |    11794.6 |  3.0 |  4.0 |
          25.0 |             10.0 |          1359.812 |       0.0 |        0.0 |  1.0 |  5.0 |
          25.0 |             10.0 |          1574.372 |       0.0 |    10022.2 |  2.0 |  5.0 |
          25.0 |             10.0 |           2517.56 |       0.0 |    33818.6 |  4.0 |  5.0 |
          25.0 |             10.0 |           383.036 |    0.2414 |        0.0 |  1.0 |  6.0 |
          25.0 |             10.0 |           398.327 |   0.08162 |    10022.2 |  2.0 |  6.0 |
          25.0 |             10.0 |           440.037 |  0.006708 |    33818.6 |  4.0 |  6.0 |
          25.0 |             10.0 |           371.921 |   0.08592 |        0.0 |  1.0 |  7.0 |
          25.0 |             10.0 |           386.321 |    0.0492 |    10022.2 |  2.0 |  7.0 |
          25.0 |             10.0 |           388.985 |   0.06289 |    11794.6 |  3.0 |  7.0 |
          25.0 |             10.0 |           425.432 | 6.887e-05 |    33818.6 |  4.0 |  7.0 |
          25.0 |             10.0 |           511.943 |   0.00208 |    73539.6 |  5.0 |  7.0 |
          25.0 |             10.0 |           379.373 |   0.06605 |    10022.2 |  2.0 |  8.0 |
          25.0 |             10.0 |           299.938 |  0.006726 |        0.0 |  1.0 |  9.0 |
          25.0 |             10.0 |           309.234 | 0.0005013 |    10022.2 |  2.0 |  9.0 |
          25.0 |             10.0 |           310.938 | 0.0003913 |    11794.6 |  3.0 |  9.0 |
          25.0 |             10.0 |           333.797 |    0.3467 |    33818.6 |  4.0 |  9.0 |
          25.0 |             10.0 |           384.819 |  0.002167 |    73539.6 |  5.0 |  9.0 |
          25.0 |             10.0 |           296.632 | 0.0008828 |    10022.2 |  2.0 | 10.0 |
          25.0 |             10.0 |           287.982 |   0.00123 |        0.0 |  1.0 | 11.0 |
          25.0 |             10.0 |           296.512 | 0.0008855 |    10022.2 |  2.0 | 11.0 |
          25.0 |             10.0 |           297.954 | 0.0002506 |    11794.6 |  3.0 | 11.0 |
          25.0 |             10.0 |           322.593 | 1.141e-05 |    33818.6 |  4.0 | 11.0 |
          25.0 |             10.0 |           360.716 | 4.363e-06 |    73539.6 |  5.0 | 11.0 |
          25.0 |             10.0 |            287.81 |  0.002608 |        0.0 |  1.0 | 12.0 |
          25.0 |             10.0 |           296.331 | 4.729e-06 |    10022.2 |  2.0 | 12.0 |
