 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          25.0 |             12.0 |             188.63 |   0.00588843655355589 |        0.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             199.06 |   0.08709635899560805 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             210.43 |    2.9512092266663856 |    42140.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             218.56 |    3.0902954325135905 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             223.56 |    1.1748975549395295 |    82830.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 232.34000000000003 |   0.08511380382023763 |    42140.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             329.28 |   0.05370317963702527 |        0.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 336.94000000000005 |   0.03548133892335755 |     7200.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 337.28999999999996 |   0.07762471166286916 |     7200.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 346.03999999999996 |   0.23988329190194904 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 |              346.4 |  0.046773514128719815 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 386.27000000000004 |   0.06760829753919818 |        0.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             388.58 |   0.13489628825916536 |     7200.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 397.29999999999995 |  0.022908676527677734 |     7200.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 397.46000000000004 |   0.18197008586099836 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             400.74 |  0.007585775750291836 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 | 410.03999999999996 | 0.0007413102413009177 |    15010.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             445.49 |  0.010715193052376065 |    42140.0 | 1.0 | 2.0 |
          25.0 |             12.0 |             452.78 | 0.0012882495516931337 |    82830.0 | 1.0 | 2.0 |
%NIST
